number,address,description 
1021717,4753 UNIVERSITY VIEW PL NE,PROVIDE PLAN REVISIONS FOR CHANGES TO GARAGE
1021716,8017 MERIDIAN AVE N,"Open to entry in 3 locations, pictures in file.  Appears to be at least six inches of water in the basement & it seems to be coming through the floors.  Exterior North wall bay window push-out leaking through wall & floor. Various deteriorated assemblies, see Warning."
1021715,5033 37TH AVE S,02/03/10 bg - No electricity in Unit 214 for 4 days.  Emergency Order
1021714,2616 HARVARD AVE E,Vegetation growing over the road surface.
1021713,323 NE 76TH ST,Weeds and Vegetation Ordinance Violation
1021712,329 NE 76TH ST,Weeds and Vegetation Ordinance Violation
1021711,2005 SW THISTLE ST,Violation of Land Use- Illegal dwelling unit
1021710,5056 RENTON AVE S,VIOLATION OF THE SEATTLE WEEDS AND VEGETATION ORDINANCE OBSERVED (OVERGROWTH OBSTRUCTING PUBLIC USE OF THE SIDEWALK ALONG RENTON AVE SOUTH)
1021709,846 NE 88TH ST,Land Use Code Violation
1021708,918 2ND AVE W,"3 built-in garages open to entry, pictures in file."
1021707,411 W PROSPECT ST,2/3/10 kb inspected property and Weeds violation exists. Hedges in front of property covering up to a 1/3 of the sidewalk.
1021706,5445 37TH AVE SW,Violation of Weeds & Vegetation Ordinance-
1021705,949 20TH AVE,Violation of the Land Use Code.
1021704,901 NW 64TH ST,ELECTRICAL PERMIT REQUIRED
1021703,1728 12TH AVE,Violation of the Land Use Code.
1021702,5441 37TH AVE SW,Violation of Weeds & Vegetation ord-
1021701,403 W PROSPECT ST,2/3/10 KB inspected property and Weeds violation exists. Tall ivy hedge covering 1/3 of sidewalk.
1021700,2600 HARVARD AVE E,The planting strip hedge is growing over the street.
1021699,4202 E LYNN ST,Application for a Tenant Relocation License. Total units:3;total units occupied:3. Demolition.
1021698,2320 E JOHN ST,A large amount of vegetation and blackberry's over the sidewalk and the vegetation on this lot has created a rodent harborage.
1021697,1917 EASTLAKE AVE E,Bed bugs.
1021696,612 2ND AVE,2/3/10 JS recieved complaint contractor was working in alley at 5 a.m.on my VM.
1021693,2107 NE 54TH ST,Violation of Land Use Code observed.
1021692,9406 17TH AVE NE,Land Use Code Violation
1021691,1815 5TH AVE N,inops on prop
1021690,7911 37TH AVE SW,2/2/10 EJ -Inspection shows outdoor junk storage such but not limited to inoperable vehicle.
1021689,26 S HANFORD ST,Violation of the Land Use & Zoning Code.
1021688,7936 16TH AVE SW,"2/2/10 ej- Inspection shows outdoor junk storage such as but not limited to bags of garbage, broken screen door, vegetation rubbish and other miscellaneous items."
1021687,5233 KENSINGTON PL N,Hm Occ Standards Violation - Business in single family res zone
1021686,5210 BROOKLYN AVE NE,Housing Building and Maintenance Code violations observed.
1021685,6514 15TH AVE NE,zoning
1021684,5033 37TH AVE S,01/29/10 bg - HBMC violations in Unit 105 & 108.
1021683,2012 NW 58TH ST,"PERMIT REQUIRED FOR REMODEL--NEW DOOR, WINDOWS, STAIRS, INTERIOR WORK, ETC."
1021682,2004 SW THISTLE ST,"Violation of Land Use- Parking in required front yard, parking of more than 3 vehicles on single family lot, and outdoor junk storage"
1021681,7035 12TH AVE SW,Violation of Land Use- Outdoor junk storage
1021680,2829 SW YANCY ST,Temporary Erosion & Sedimentation Control (TESC) is per Permit 6163600 as of 2/8/10.
1021679,3600 WALLINGFORD AVE N,Observed violation of Land Use Code.
1021678,1107 N 50TH ST,canopy over 120sf not allowed
1021677,6310 ELLIS AVE S,"1/29/10 ej- Inspection shows outdoor junk storage such as but not limited to windows, lawn mower bags, bags of rubbish and piles of miscellaneous items."
1021676,3702 S BURNS ST,"1/29/10 ej- Inspection shows housing code violation such as but not limited to mold and moisture located throughout the house, inoperable widows, inoperable vent fan, broken cabinet doors, missing grout and other items."
1021675,3230 42ND AVE W,PERMIT REQUIRED FOR INTERIOR REMODEL OF MAIN FLOOR AND BASEMENT--PLAN SHOULD INCLUDE USE OF SPRAY APPLIED INSULATION
1021674,8831 30TH AVE SW,Permit 6238690 was issued 1/22/10 and received final approval 1/29/10 for work originally started without a permit.
1021673,2547 29TH AVE W,1/20/10 KB inspected property and Weeds violation exists in alley.
1021672,2541 29TH AVE W,1/20/10 kb inspected property and Weeds violation exists in alley.
1021671,1134 38TH AVE,Violation of the Weed & Veg Ord.
1021670,2701 5TH AVE S,Violation of the Land Use & Zoning Code
1021669,136 28TH AVE,Minor Violations of the HBMC
1021668,4510 54TH AVE NE,Violation of Land Use Code observed.
1021667,1620 13TH AVE,Violation of HBMC
1021666,3706 W TILDEN ST,1/28/10 KB inspected property and Land Use violation exists.  Parking in front yard.
1021665,1706 19TH AVE S,Violation of the Land Use & Zone code.
1021664,11747 22ND AVE NE,Land Use Code Violation
1021663,11746 22ND AVE NE,Land Use Code Violation
1021662,1007 1ST AVE,All required work has been completed & inspections approved under Permits 6081417 & 6273267. Authorization was given to issue the related Certificate of Occupancy (C of O) on 2/2/11.
1021661,3207 CALIFORNIA AVE SW,STOP WORK POSTED--SERVICE INSTALLED BEFORE PERMIT IS ISSUED
1021660,3427 25TH AVE S,Permit 6239717 was issued 3/29/10 & Permit 6249568 was issued 5/20/10 for work originally started without a permit. Inspections not complete as of 5/21/12.
1021659,2209 E ROANOKE ST,Outdoor storage in the back yard.
1021658,2209 E ROANOKE ST,Tenants in basement rooms without legal egress windows.
1021520,517 30TH AVE E,PERMIT REQUIRED FOR RETAINING WALL IN ECA
1021657,9203 42ND AVE S,Observed over 7 chickens (amount allowed for property) and small amount of junk storage.
1021656,9414 STONE AVE N,"Graffiti, lots of outdoor storage, piles of cut brush, litter, bottles of urine and broken windows."
1021655,1541 VALENTINE PL S,"01/25/10 bg - Outdoor junk storage - Garbage and debris in front, side and rear yards. photos taken"
1021654,1541 VALENTINE PL S,"01/25/10 bg - Outdoor junk storage - Garbage and debris in front, side and rear yards. photos taken"
1021653,6746 35TH AVE SW,1/28/10 ej- Inspection shows signs of some living in the mobile home in the driveway.
1021652,8432 42ND AVE SW,1/28/10 ej- Inspection shows vegetation encroaching into the sidewalk.
1021651,4062 NE 88TH ST,PERMIT IS REQUIRED FOR CONCRETE WALL (APPROX. 12 FEET TALL) AND NEW STAIRS IN FRONT YARD SET BACK--ALSO NEW DECK IN REAR YARD
1021650,9239 INTERLAKE AVE N,"HBMC violations, triplex"
1021649,3020 4TH AVE W,1/21/10 KB Tom Bradrick inspected property and Junk Storage exists in alley.  garage structure has no closing door and all items are exposed.
1021648,3042 4TH AVE W,1/21/10 KB Tom Bradrick inspected proeprty and Junk Storage exists in alley.  Lumber and other construction type materials stored in driveway.
1021647,1953 25TH AVE E,"Outdoor junk storage. Piles of salvaged lumber, fencing material, many bags of gravel/stone etc."
1021646,1829 S LANE ST,CASE CLOSED 7/28/10. CORRECT COMPLAINT ADDRESS IS ABUTTING WEST VACANT LOT. SEE CASE #10211759
1021645,219 HARVARD AVE E,"Housing violations including a hole in the bathroom ceiling, grout and tile caulk in need of maintenance and the toilet base leaks."
1021644,3013 SW ADMIRAL WAY,Issuance of Owner's Certification of Occupancy or No Displacement.
1021643,13519 15TH PL NE,Weeds and Vegetation Ordinance Violation
1021641,733 S ELMGROVE ST,"1/21/10 EJ -Inspection shows 5th-wheel trailer extended with the utilities connected, signs of someone living in the trailer."
1021640,1730 DEXTER AVE N,Living room heaters are tripping the circuit breakers and a palm tree interferes with the egress window opening in the bedroom.
1021639,506 10TH AVE E,Outdoor junk storage. Sent to research.
1021638,4600 FREMONT AVE N,NEW SHED IS LARGER THAN 120 SQUARE FEET AND REQUIRES A PERMIT
1021636,506 N 75TH ST,Secure; deterioration includes what appears to be a collapsed upper balcony roof assembly.
1021635,506 N 75TH ST,Secure; outdoor storage; deterioration.
1021634,4200 S WEBSTER ST,"VIOLATION OF THE SEATTLE LAND USE AND ZONING CODE OBSERVED(MATTRESS,TOILET BOWL APPLIANCE,IN YARD AND ON EXTERRIOR CORRIDOR)."
1021633,300 QUEEN ANNE AVE N,1/20/10 KB inspected property and Weeds violation exists in alley.  NC3-65 zoning
1021632,10429 ALDERBROOK PL NW,housing violations
1021631,1650 E OLIVE WAY,Application for a tenant relocation license.  Total units:8; total units occupied: 8.  Demolition.
1021630,4514 SW GRAHAM ST,Violation of Land Use- Parking in the required front yard and structure in required side yard.
1021629,4834 S ORCAS ST,"VIOLATION OF THE SEATTLE LAND USE AND ZONING CODE OBSERVED (VEHICLE WITH FLAT TIRES, SCRAP METAL, PAINT CANS IN DRIVEWAY). TOOK PHOTOS AND LEFT DOOR HANGER."
1021628,4212 36TH AVE S,01/26/10 bg - HBMC violations in Unit A.  photos taken
1021627,4618 S JUNEAU ST,"VIOLATIONS OF THE SEATTLE LAND USE AND ZONING CODE OBSERVED (VEHICLES IN REQUIRED FRON YARD, AUTOP TIRES IN YARD). TOOK PHOTOS"
1021626,4703 S JUNEAU ST,"VIOLATION OF THE SEATTLE LAND USE AND ZONING CODE OBSERVED (WOOD DESK, PLASTIC, SCRAP WOOD AND OTHER MATERIALS OBSERVED IN DRIVEWAY AND YARDS). TOOK PHOTOS"
1021625,4702 S JUNEAU ST,VIOLATION OF THE SEATTLE LAND USE AND ZONING CODE OBSERVED (SCRAP WOOD AUTO TIRES AND OTHER MATERIALS OBSERVED YARDS). TOOK PHOTOS
1021624,559 N 82ND ST,Zoning violation
1021623,314 QUEEN ANNE AVE N,1/20/10 KB inspected property and weeds violation exists in the front sidewalk area.  NC3-65 zoning
1021622,1821 5TH AVE N,"Small amount of outdoor storage in rear yard, picture in file.  Inop. vehicles on ajoining property so complaint filed for 1813-17  5th Ave. N."
1021621,5237 39TH AVE S,Issuance of Owner's Certification of Occupancy or No Displacement.
1021620,6603 34TH AVE NW,Weeds and vegetation violation.
1021619,1619 S LANE ST,"outdoor storage includes touilet, lumber, furniture, bicycles, carts, stereo equipment & other items, pictures in file."
1021618,723 22ND AVE,Violation of the Weed & Veg Code
1021617,1619 S LANE ST,"Open to entry via front door & upper level windows on rear wall with access via a ladder, pictures in file."
1021616,3838 BEACH DR SW,Violation of HBMC
1021615,2908 HARRIS PL S,"01/20/10 bg - Parking in front yard, one vehicle in the driveway inoperable - flat tires. photo taken"
1021614,11221 PALATINE AVE N,salvaged wood in sf zone
1021613,3423 SOUND VIEW DR W,RESTORATION IS REQUIRED FOR VEGETATION REMOVAL IN ECA
1021612,8331 M L KING JR WAY S,"01/06/10 bg - Two vehicles in front yard, 4 vehicles in rear yard, tires, construction debris and junk at the rear of the property.  photos taken"
1021611,3423 SOUND VIEW DR W,GRADING PERMIT IS NEEDED FOR GRADING MORE THAN 25 CUBIC YARDS OF MATERIAL ON A STEEP SLOPE ECA
1021610,3614 S FINDLAY ST,"Outdoor storage includes pallets, pipe, sports equipment, tarps, wrought iron, doors, bathtubs, glass, hot water tanks, barrels, buckets,toilet, tires & window frames, pictures in file."
1021609,3614 S FINDLAY ST,deterioration of structural & non-structural components of bldg.
1021608,1104 SW HENDERSON ST,"Violation of Land Use- Outdoor junk storage, number of vehicles parked in single family zone and parking in required yards."
1021607,1765 19TH AVE S,01/22/10 bg - Storage of junk along north side of the garage.  photos taken
1021606,3614 S FINDLAY ST,"Open to entry, pictures in file."
1021605,6747 16TH AVE SW,"Rear shed open to entry, pictures in file."
1021604,6747 16TH AVE SW,"Outdoor storage of vehicle, lumber, furniture, plumbing fixtures & cooking equipment, pictures in file."
1021603,300 QUEEN ANNE AVE N,1/20/10 KB inspected property and Weeds violation exists in alley.  NC3-65 zoning
1021602,314 QUEEN ANNE AVE N,1/20/10 KB inspected property and weeds violation exists in the front sidewalk area.  NC3-65 zoning
1021601,4142 12TH AVE NE,"Minor housing violations including, the refrigerator drain leaks on the floor, a piece of countertop laminate has pulled loose and the shower drains slowly."
1021600,849 NW 60TH ST,EXCEPTIONAL MONKEY PUZZLE TREE (DIAMETER GREATER THAN 22 INCHES IN SF LOT LARGER THAN 5000 SQUARE FEET) HAS BEEN REMOVED
1021599,5526 17TH AVE NE,PERMIT REQUIRED FOR MINOR STRUCTURAL ALTERATIONS TO KITCHEN AND DECK
1021598,8834 11TH AVE SW,"1/21/10 EJ- Inspection shows outdoor junk storage such as but not limited inoperable vehicle, wood, debris, metal and other miscellaneous items."
1021597,8830 11TH AVE SW,"1/21/10 ej-Inspection shows outdoor junk storage such as but not limited to wood, debris and other miscellaneous items and parking in the required front yard."
1021596,108 NW 84TH ST,"outdoor storage, pictures in file."
1021595,108 NW 84TH ST,"Fire damaged, unsecured SFR, outdoor storage, pictures in file."
1021594,2535 29TH AVE W,1/21/10 KB inspected property and Weeds violation exists in alley.  Very large laurel in alley.
1021593,1125 8TH AVE W,1/21/10 KB inspected property and Weeds violation exists in alley/sidewalk corner.
1021592,108 NW 84TH ST,"unsecured SFR, pictures in file."
1021591,8022 15TH AVE NW,Zoning violation
1021590,9505 MARY AVE NW,Zoning violation
1021589,3005 NW 80TH ST,Weeds and vegetation violation.
1021588,3247 S EDMUNDS ST,Permit 6238552 was issued 1/21/10 and received final approval 2/18/10 for work originally started without a permit and inspections.
1021587,10022 ASHWORTH AVE N,Zoning violations: eliminated parking & using basement as housing unit guest room.
1021586,10022 ASHWORTH AVE N,HBMC violations including defective plumbing & electric with no permits
1021585,4614 50TH AVE S,01/14/10 bg - Vegetation encroaching into sidewalk. photos taken
1021584,306 QUEEN ANNE AVE N,1/12/10 kb inspected property and weed violation exists in front and alley. NC3-65
1021583,4105 44TH AVE SW,Violation of Land Use- Outdoor junk storage
1021582,4620 50TH AVE S,01/14/10 bg - Vegetation encroaching onto the sidewalk. photo taken
1021581,4140 UNIVERSITY WAY NE,Violation of Land Use Code observed.
1021580,7732 16TH AVE NE,Land Use Code Violation
1021579,4434 46TH AVE S,"Deck and addition/shed in side yard require zoning approval, permits and inspections from DPD."
1021578,7400 8TH AVE S,"Non-water dependent cargo and non-water-dependent recycling uses are both prohibited in the UI Shoreline Environment.  Workers on-site said that Cedar Grove has operated at this loaction for about 2 months, hauling compost to and from the site for distribution in Seattle.  Wood waste appears to be processed on site within 200' of shoreline."
1021577,830 NE 55TH ST,STOP WORK POSTED--PERMITS NEEDED FOR NEW ROOMS IN BASEMENT
1021576,5033 37TH AVE S,HBMC violations in Unit 308
1021575,918 N 80TH ST,Violation of Land Use Code observed.
1021574,1623 BELLEVUE AVE,Application for a Tenant Relocation License. Total units:11;total units occupied:11. Demolition.
1021573,1502 5TH AVE N,1/12/10 KB inspected property and Weeds violation exists on west and south sidewalk.
1021572,2701 S BRADFORD ST,"unsecured shed; deflected garages/carports, outdoor storage, pictures in file."
1021571,3312 RAINIER AVE S,"This commercial building, remodeled without permits, has been demolished under Permit 6286623."
1021570,7557 40TH AVE NE,Weeds and Vegetation Ordinance Violation
1021569,7557 40TH AVE NE,Land Use Code Violation
1021568,927 N 80TH ST,veg o/g on & over sidewalk
1021567,931 N 80TH ST,veg o/g on & over sidewalk
1021566,13716 15TH AVE NE,Land Use Code Violation
1021565,305 NE 77TH ST,BUILDING PERMIT REQUIRED
1021564,7035 BEACH DR SW,1/14/10 ej- Inspection shows violation of the home occupation standards.
1021563,7035 BEACH DR SW,1/14/10 ej- Inspection shows violation of the home occupation standards.
1021562,2032 YALE AVE E,Application for a Tenant Relocation License.  Total units: 12; total units occupied: 12. Substantial rehabilitation.
1021561,7055 18TH AVE SW,"1/14/10 EJ-Inspection shows outdoor junk storage such as but not limited  to inoperable vehicle, pallets, car parts and other miscellaneous items."
1021560,7751 HIGHLAND PARK WAY SW,"1/14/10 ej-Inspection shows outdoor junk storage such as but not limited to bags of garbage, wood, plastic buckets and other miscellaneous items."
1021559,817 NE 60TH ST,"Outdoor junk storage, including but not limited to, litter, furniture, carpet, a gasoline container, and a toaster."
1021558,223 YESLER WAY,Violation of HBMC
1021557,745 SUMMIT AVE E,Violation of the light and glare provision of the Seattle Municipal Code.
1021556,525 E ROY ST,Outdoor junk storage including trash and mattresses.
1021555,1420 BROADMOOR DR E,PERMIT REQUIRED FOR STORM DRAIN REPLACEMENT
1021554,422 BELLEVUE AVE E,"Minor junk storage, a mattress and a couch."
1021553,3302 NE 60TH ST,"Big outdoor storage, a repeat offender. Including but not limited to piles of junk and trash in the driveway, 30 or 40 empty paint cans, hand tools, logs, and a pile of cut brush the size of a Volkswagen."
1021552,11026 28TH AVE NE,Land Use Code Violation
1021551,1526 NE NORTHGATE WAY,Weeds and Vegetation Ordinance Violation
1021550,4334 32ND AVE W,"Large amounts of outdoor storage, including concrete block, empty plastic containers, tools etc."
1021549,10461 57TH AVE S,"outdoor storage, pictures in file."
1021548,10461 57TH AVE S,"Garage unsecured, pictures in file."
1021547,5041 25TH AVE SW,Violation of Land use- Outdoor junk storage
1021546,1012 NE 62ND ST,Violation of Land Use Code observed.
1021545,3710 CALIFORNIA AVE SW,Violation of Land use- Outdoor junk storage
1021544,12724 23RD AVE NE,Land Use Code Violation
1021543,2351 NE 130TH ST,Weeds and Vegetation Ordinance Violation
1021542,1213 E SHELBY ST,Issuance of Owner's Certification of Occupancy or No Displacement.
1021541,12807 23RD AVE NE,Weeds and Vegetation Ordinance Violation
1021540,12723 23RD AVE NE,Weeds and Vegetation Ordinance Violation
1021128,9417 LINDEN AVE N,"junk storage, L2 zone"
1021539,12729 23RD AVE NE,1/12/10 HOU - trailer parked in driveway within required front yard.
1021538,12729 23RD AVE NE,Weeds and Vegetation Ordinance Violation
1021537,4919 S ANGELINE ST,Temporary Erosion & Sedimentation Control (TESC) is per Permit 6225999 as of 1/20/10.
1021536,614 1ST AVE,THERE IS A NEW SIGN AND A NEW BUSINESS AT THIS ADDRESS--A NEW SIGN PERMIT IS NEEDED--MUST ALSO GET PIONEER SQUARE PRESERVATION BOARD APPROVAL
1021535,3312 RAINIER AVE S,"01/12/10 bg - Outdoor storage of junk including but not limited to bed frame, wood/construction debris. photos taken"
1021534,7516 25TH AVE NW,DECK HAS NOT BEEN BUILT PER PLAN BECAUSE THE APPROVED PLAN FOR PERMIT #6073068 SHOWS A LARGER FRONT YARD THAN ACTUALLY EXISTS--THE DECK AS SHOWN ON THE PLAN IS BUILT INTO THE FRONT YARD SETBACK--SUBMIT REVISED PLANS OR REMOVE THE DECK
1021533,2212 1ST AVE,Violations of the HBMC
1021532,722 25TH AVE S,Permit 6237903 was issued 1/13/10 and received final approval 7/9/10 for work originally started without a permit.
1021531,317 CORYELL CT E,PERMIT REQUIRED FOR NEW DECKS AND OTHER NEW CONSTRUCTION
1021530,9708 3RD AVE NW,HBMC Housing violations
1021529,2238 E CRESCENT DR,PERMITS ARE REQUIRED FOR NEW ADDITION
1021528,523 30TH AVE E,HOUSE HAS BEEN BEEN REMOVED--PERMIT WITH COMPLETE PLANS IS REQUIRED
1021527,5615 ROOSEVELT WAY NE,SIGN FACE MUST BE CHANGED TO ADVERTISE PRODUCTS OR SERVICES FOUND ON PREMISES OR SIGN MUST BE REMOVED
1021526,1609 FAIRVIEW AVE E,PERMIT REQUIRED TO BUILD A NEW DOCK IN SHORELINE ECA
1021525,2425 E LEE ST,PERMIT REQUIRED FOR CLEARING VEGETATION (INCLUDING TREES) AND GRADING ON AN UNDEVELOPED LOT IN A STEEP SLOPE ECA
1021524,4507 S HOLLY ST,"VIOLATION OF THE SEATTLE LAND USE AND ZONING CODE OBSERVED. (TWO VENDING MACHINES ON FRONT PORCH FOR SALES TO SCHOOL CHILDREN, AUTO TIRES,LUMBER AND OTHER MATERIALS IN YARDS."
1021523,4020 12TH AVE S,"01/07/10 bg - Recycling/gargage containers stored on planting strip, bags of garbage in rear yard on second story deck and in front yard. photos taken."
1021522,7251 46TH AVE S,VIOLATION OF THE SEATTLE LAND USE AND ZONING CODE OBSERVED (MATTRESSES AND OTHER JUNK STORAGE IN REAR YARD).
1021521,10426 WATERS AVE S,"Inop. veh. stored in front yard, pictures in file."
1021519,11414 8TH AVE NE,Land Use Code Violation
1021518,6802 45TH AVE S,"01/06/10 bg - Outdoor junk storage, four vehicles on the property, one vehicle parked in required front yard. photos taken"
1021517,11248 WOODLEY AVE S,01/06/10 bg - Garbage containers being stored on the planting strip.  photos taken
1021516,11414 8TH AVE NE,Land Use Code Violation
1021515,523 BROADWAY E,"Int Insp 9/9/09 DG I went to the site and spoke to Kyle, gave him my card and told him of the complaint regarding early starts. The complaint has dates from the previous month, and I explained the complaint on the sheet was from August. He will have the superintendent call me."
1021514,3239 38TH AVE SW,"Violation of Land Use- Outdoor junk storage, parking in the required front yard."
1021513,UNADDRESSABLE,Concrete cutting before 7 AM
1021512,2307 N 122ND ST,PERMIT REQUIRED FOR ELECTRICAL WORK
1021511,2466 WESTLAKE AVE N,Grossruck floating structure. Use for the Record inspection NOV requirement. DPD project # 6193296.
1021510,2018 25TH AVE E,Pampas grass growing over the sidewalk.
1021509,6002 37TH AVE SW,Violation of Weeds & Vegetation Ordinance-
1021508,310 N 73RD ST,Issuance of an Owner's Certification of Exemption. Total units: 3; total units occupied: 3.
1021507,4836 S HOLDEN ST,"01/06/10 bg - Outdoor junk storage including furniture, tires and household debris.  Vegetation is overgrown onto sidewalk along S Holden St.  photos taken"
1021506,1338 S DAWSON ST,VIOLATION ALERT (VIOLATION OF THE SEATTLE LAND USE AND ZONING CODE CONFIRMED (PERMIT FOR  TWO STORY ADDITION TO SFR 720765 EXPIRED 11/18/02/) TOOK PHOTOS.
1021505,3302 W ELMORE ST,Evergreen trees completely blocking the sidewalk.
1021504,5403 COLUMBIA DR S,(VIOLATION OF THE SEATTLE LAND USE AND ZONING CODE OBSERVED (FOUR VEHICLES PARKED ON LOT;TRUSK LEGALLY PARKED IN DRIVEWAY).
1021503,1338 S DAWSON ST,VIOLATION OF THE SEATTLE WEEDS AND VEGETATION  ORDINANCE OBSERVED (TREE BRANCHES FROM PLANTING STRIP 3'6 TO  5'4  FEET ABOVE SIDEWALK ALONG S DAWSON ST) TOOK PHOTOS.
1021502,4806 S FLETCHER ST,VIOLATION OF THE SEATTLE WEEDS AND VEGETATION  ORDINANCE OBSERVED (OVERGROWTH   OVERHANGING & OBSTRUCTING PUBLIC USE OF 49TH AVENUE S) TOOK PHOTOS.
1021501,1829 S LANE ST,"(VIOLATION OF THE SEATTLE LAND USE AND ZONING CODE OBSERVED (AUTO TIRES,PLASTIC AND OTHER JUNK STORAGE ON VACANT LOT). COMPLAINT ADDRESS CORRECTED (CHANGED FROM 1829 S LANE ST TO 1827 S LANE ST.)"
1021500,2718 20TH AVE S,VIOLATION OF THE SEATTLE WEEDS AND VEGETATION  ORDINANCE OBSERVED (OVERGROWTH   OVERHANGING & OBSTRUCTING PUBLIC USE OF 20TH AVENUE S) TOOK PHOTOS.
1021499,559 N 82ND ST,Zoning violation
1021498,536 N 102ND ST,"veh over 10,000 GVW on property"
1021497,12204 11TH AVE NW,Zoning violation
1021496,8558 18TH AVE NW,Zoning violations.
1021495,5903 25TH AVE S,"Open to entry & weather with outdoor storage & vegetation blocking the sidewalk, pictures in file."
1021494,12740 GREENWOOD AVE N,Housing violations.
1021493,2416 S JUNEAU ST,"Rear entry door unsecured, picture in file; deterioration.  Tall veg. in yard areas only not on any ROW."
1021492,1425 11TH AVE,VIOLATION OF THE WEED & VEG ORDINANCE.
1021491,3838 FREMONT AVE N,veg issue resolved
1021490,606 N 39TH ST,veg in compliance
1021489,609 N BOWDOIN PL,veg violation
1021488,7938 34TH AVE SW,"1/5/2010 EJ-Inspection shows outdoor junk storage such as but not limited to inoperable vehicle, plastic buckets and other household items."
1021487,6501 39TH AVE SW,1/5/2010 EJ-Inspection shows tree limbs hanging lower than 8feet above the sidewalk.
1021486,6351 38TH AVE SW,1/5/2010 ej-Inspection shows vegetation encroaching onto the sidewalk.
1021485,2501 FAIRVIEW AVE E,"Float reappeared by second (December) inspection, which had been prompted by a second complaint."
1021484,1915 25TH AVE S,"Unfinished new construction, open to entry, pictures in file.  Outdoor storage."
1021483,5119 CLOVERDALE PL S,Open to weather via various windows on both the East & West walls; plywood siding lacks paint or protective cover; pictures in file.
1021482,10426 WATERS AVE S,"Deflected & collapsing roof & rear wall, pictures in file."
1021481,618 NW 58TH ST,Housing violations.
1021480,2029 24TH AVE S,Violation of the Zone Ord.
1021479,4516 7TH AVE NE,Building not open to entry
1021478,700 N 103RD ST,fire damaged sfr
1021477,1037 S CLOVERDALE ST,"outdoor storage includes swim pool & equipmentcoolers, cooking equipment, furniture, tires, lumber, cushions fencing, fabric, roofing materials, lumber, auto parts, mattress, fire debris & ladders, pictures in file."
1021476,10323 9TH AVE NW,"outdoor storage includes black plastic bags, carpeting, kitchen equipment, chairs, lawn mower, wheelbarrow & lumber, pictures in file."
1021475,3512 NE 105TH ST,"outdoor storage in yard areas & on open porches, pictures in file."
1021474,3512 NE 105TH ST,"fire damaged house, pictures in file."
1021473,6450 CARLETON AVE S,12/31/09 ej- Inspection shows vegetation encroaching into the street and sidewalk.
1021472,4232 WALLINGFORD AVE N,veg over sidewalk
1021471,14335 LINDEN AVE N,HMBC violation
1021470,733 N 104TH ST,HBMC violations
1021469,5211 21ST AVE NE,PERMIT IS REQUIRED FOR NEW RETAINING WALL BUILT IN STEEP SLOPE ECA
1021468,1425 26TH AVE,Violation of the Land Use & Zone Code/Inspec find in field.
1021467,1617 S LANE ST,Violation of the Land Use Code.
1021466,7204 DUMAR WAY SW,"12/31/09 EJ-Inspection shows outdoor junk storage such as but not limited to inoperable vehicle, motor scooters, bags of garbage and other miscellaneous items."
1021465,8137 17TH AVE SW,"12/31/09 ej- Inspection shows outdoor junk storage such as but not limited to car parts, tires, inoperable vehicles and more than the allowed 3 vehicles not in an enclosed area."
1021464,1908 29TH AVE S,VIOLATION OF THE LAND USE CODE
1021463,3033 20TH AVE S,Violation of the Weed & Veg Ordinance
1021462,1634 30TH AVE,Violation of Weed & Veg Ordinance
1021461,1820 N 51ST ST,"junk storage, sf"
1021460,6327 22ND AVE SW,Constructing an addition to a single family residence requires permits & inspections from DPD.
1021459,8829 ROOSEVELT WAY NE,Land Use Code Violation
1021458,1459 22ND AVE,Violation of Land Use & Zone Code
1021457,4142 53RD AVE SW,Violation of Land Use- Outdoor junk storage
1021456,3119 WALNUT AVE SW,Permit 6237582 was issued 1/8/10 and received final approval 5/24/10 for work originally started without a permit and inspections.
1021455,8013 8TH AVE NW,Zoning violation
1021454,4512 14TH AVE S,12/29/09 ej- Inspection shows structure built in the required setback in the rear yard.
1021453,1037 S CLOVERDALE ST,"Bldg. secure but not shed; outdoor storage, pictures in file."
1021452,214 NW 72ND ST,Weeds and vegetation violation.
1021451,8107 8TH AVE NW,Weeds and vegetation encroaching into the sidewalk
1021450,8107 8TH AVE NW,Weeds and vegetation encroaching into the sidewalk
1021449,11410 RENTON AVE S,Permit 6238604 was issued 4/21/11 and received final approval 10/12/11 for work originally started without a permit & inspections.
1021448,102 N 83RD ST,Zoning violation
1021447,6264 52ND AVE NE,Violation of Weeds and Vegetation Ordinance
1021446,6021 29TH AVE NE,Violation of Land Use Code
1021445,8400 ISLAND DR S,Permit never obtained for installing two thousand square feet or more of new plus replaced impervious surface.
1021444,1022 SW PORTLAND ST,Violation of Land Use- Outdoor junk storage
1021443,5416 31ST AVE SW,Violation of Land use- Outdoor junk storage
1020407,4117 AURORA AVE N,Lack of approved an source of electricity
1021442,9708 3RD AVE NW,"principle structure expansion, elim off st pking & 2nd dwelling unit in rear"
1021441,7408 RAINIER AVE S,VIOLATION OF THE SEATTLE LAND USE AND ZONING CODE OBSERVED (INOPERABLE VEHICLE WITH   FRONT END COLLISION DAMAGE IN PARKING LOT).
1021440,7408 RAINIER AVE S,VIOLATION OF THE SEATTLE HOUSING AND BUILDING MAINTERNANCE CODE OBSERVED (MISSING SMOKE DETECTOR UNIT 7 MISSING PEEP=HOLES UNITS 1-7) TOOK PHOTOS.
