id,Action Type,Work Type,Value,Location_id 
25560,NEW,Plan Review,$314336.00,
25561,NEW,Plan Review,$156699.00,
25562,NEW,Plan Review,$552706.00,
25563,NEW,Plan Review,$6000.00,
25564,ALTER,Plan Review,$30000.00,
25565,NEW,Plan Review,$343899.00,
25566,NEW,Plan Review,$343899.00,
25567,NEW,Plan Review,$372590.00,
25568,ADD/ALT,Plan Review,$2605.00,
25569,ADD/ALT,No plan review,$16673.00,
25570,ADD/ALT,Plan Review,$35000.00,
25571,ADD/ALT,Plan Review,$69170.00,
25572,NEW,Plan Review,$6000.00,
25573,NEW,Plan Review,$14300.00,
25574,ADD/ALT,No plan review,$1.00,
25575,ADD/ALT,No plan review,$10000.00,
25576,ADD/ALT,No plan review,$50000.00,
25577,ADD/ALT,Plan Review,$50000.00,
25578,ADD/ALT,No plan review,$20000.00,
25579,ADD/ALT,No plan review,$3500.00,
25580,ADD/ALT,No plan review,$6000.00,
25581,ADD/ALT,No plan review,$200000.00,
25582,ADD/ALT,No plan review,$42333.00,
25583,ADD/ALT,No plan review,$42333.00,
25584,ADD/ALT,No plan review,$42333.00,
25585,ADD/ALT,No plan review,$23000.00,
25586,ADD/ALT,No plan review,$85000.00,
25587,,Plan Review,$0.00,
25588,TREE/VEGETATION MAINT/RESTORE,No plan review,$0.00,
25589,ADD/ALT,Plan Review,$4100.00,
25590,ADD/ALT,Plan Review,$5400.00,
25591,NEW,Plan Review,$6000.00,
25592,NEW,Plan Review,$6000.00,
25593,ADD/ALT,Plan Review,$5050.00,
25594,ADD/ALT,Plan Review,$3000.00,
25595,ADD/ALT,Plan Review,$4350.00,
25596,TREE/VEGETATION MAINT/RESTORE,No plan review,$0.00,
25597,ADD/ALT,No plan review,$25000.00,
25598,ADD/ALT,No plan review,$18950.00,
25599,ADD/ALT,No plan review,$96010.00,
25600,DEMOLITION,Plan Review,$0.00,
25601,NEW,Plan Review,$294852.00,
25602,DEMOLITION,No plan review,$0.00,
25603,NEW,Plan Review,$314938.00,
25604,NEW,Plan Review,$314938.00,
25605,NEW,Plan Review,$229009.00,
25606,NEW,Plan Review,$314938.00,
25607,NEW,Plan Review,$229009.00,
25608,NEW,Plan Review,$229321.00,
25609,NEW,Plan Review,$229321.00,
25610,ADD/ALT,Plan Review,$35000.00,
25611,ADD/ALT,Plan Review,$350000.00,
25612,DEMOLITION,No plan review,$0.00,
25613,NEW,Plan Review,$373553.00,
25614,ADD/ALT,Plan Review,$85000.00,
25615,ADD/ALT,Plan Review,$20000.00,
25616,ADD/ALT,Plan Review,$20000.00,
25617,ADD/ALT,Plan Review,$330000.00,
25618,NEW,Plan Review,$5818738.00,
25619,ADD/ALT,Plan Review,$25000.00,
25620,ADD/ALT,Plan Review,$2476908.00,
25621,CURB CUT,No plan review,$0.00,
25622,ADD/ALT,No plan review,$33651.00,
25623,ADD/ALT,No plan review,$28637.00,
25624,ADD/ALT,No plan review,$21054.00,
25625,ADD/ALT,Plan Review,$45000.00,
25626,ADD/ALT,Plan Review,$47000.00,
25627,ADD/ALT,Plan Review,$90000.00,
25628,ADD/ALT,No plan review,$18000.00,
25629,ADD/ALT,No plan review,$75000.00,
25630,ADD/ALT,No plan review,$13500.00,
25631,,Plan Review,$0.00,
25632,ALTER,Plan Review,$24500.00,
25633,NEW,Plan Review,$172665.00,
25634,NEW,Plan Review,$143913.00,
25635,NEW,Plan Review,$36678888.00,
25636,ADD/ALT,Plan Review,$8000.00,
25637,ADD/ALT,Plan Review,$50000.00,
25638,ADD/ALT,No plan review,$15000.00,
25639,TREE/VEGETATION MAINT/RESTORE,No plan review,$0.00,
25640,ADD/ALT,Plan Review,$133237.00,
25641,ADD/ALT,No plan review,$33000.00,
25642,NEW,Plan Review,$169232.00,
25643,ADD/ALT,Plan Review,$10000.00,
25644,ADD/ALT,No plan review,$17000.00,
25645,ADD/ALT,Plan Review,$75000.00,
25646,TREE/VEGETATION MAINT/RESTORE,No plan review,$0.00,
25647,ADD/ALT,Plan Review,$28000.00,
25648,ADD/ALT,No plan review,$12000.00,
25649,ADD/ALT,No plan review,$130000.00,
25650,ADD/ALT,No plan review,$2500.00,
25651,ADD/ALT,No plan review,$30075.00,
25652,ADD/ALT,No plan review,$34140.00,
25653,ADD/ALT,No plan review,$12885.00,
25654,ADD/ALT,No plan review,$15304.00,
25655,ADD/ALT,No plan review,$1200.00,
25656,ADD/ALT,No plan review,$20000.00,
25657,ADD/ALT,No plan review,$35000.00,
25658,ADD/ALT,No plan review,$1000.00,
25659,ADD/ALT,No plan review,$10000.00,
25660,ADD/ALT,No plan review,$90000.00,
25661,ADD/ALT,No plan review,$80000.00,
25662,ADD/ALT,No plan review,$28882.00,
25663,ADD/ALT,No plan review,$19937.00,
25664,ADD/ALT,No plan review,$26000.00,
25665,ADD/ALT,No plan review,$20960.00,
25666,ADD/ALT,Plan Review,$1.00,
25667,ADD/ALT,Plan Review,$56985.00,
25668,ADD/ALT,Plan Review,$25000.00,
25669,NEW,Plan Review,$323677.00,
25670,DEMOLITION,No plan review,$0.00,
25671,NEW,Plan Review,$323677.00,
25672,ADD/ALT,No plan review,$4500.00,
25673,ADD/ALT,No plan review,$235000.00,
25674,ADD/ALT,No plan review,$19105.00,
25675,ALTER,Plan Review,$175000.00,
25676,ADD/ALT,Plan Review,$23000.00,
25677,ADD/ALT,No plan review,$30000.00,
25678,ADD/ALT,No plan review,$140000.00,
25679,ADD/ALT,No plan review,$12000.00,
25680,NEW,Plan Review,$1750000.00,
25681,ADD/ALT,Plan Review,$10000.00,
25682,ALTER,Plan Review,$221565.00,
25683,ADD/ALT,Plan Review,$319155.00,
25684,ADD/ALT,Plan Review,$100000.00,
25685,TEMP,Plan Review,$4993.00,
25686,ADD/ALT,Plan Review,$30000.00,
25687,ADD/ALT,No plan review,$2000.00,
25688,ADD/ALT,No plan review,$40000.00,
25689,ADD/ALT,No plan review,$1.00,
25690,ADD/ALT,No plan review,$50000.00,
25691,ADD/ALT,No plan review,$20000.00,
25692,ADD/ALT,No plan review,$125000.00,
25693,NEW,Plan Review,$278785.00,
25694,ADD/ALT,Plan Review,$195000.00,
25695,ADD/ALT,No plan review,$38000.00,
25696,ADD/ALT,No plan review,$4000.00,
25697,NEW,Plan Review,$281581.00,
25698,ADD/ALT,No plan review,$30000.00,
25699,ADD/ALT,Plan Review,$125000.00,
25700,ADD/ALT,No plan review,$32000.00,
25701,ADD/ALT,No plan review,$28000.00,
25702,DEMOLITION,Plan Review,$0.00,
25703,ADD/ALT,No plan review,$23000.00,
25704,DEMOLITION,No plan review,$0.00,
25705,TREE/VEGETATION MAINT/RESTORE,No plan review,$0.00,
25706,NEW,Plan Review,$295000.00,
25707,ADD/ALT,No plan review,$300.00,
25708,ADD/ALT,No plan review,$34081.00,
25709,ADD/ALT,Plan Review,$1769383.00,
25710,ADD/ALT,No plan review,$4606.00,
25711,ADD/ALT,No plan review,$80000.00,
25712,ADD/ALT,No plan review,$1.00,
25713,ADD/ALT,No plan review,$20000.00,
25714,ADD/ALT,Plan Review,$1.00,
25715,ADD/ALT,No plan review,$12000.00,
25716,ADD/ALT,Plan Review,$448000.00,
25717,ADD/ALT,Plan Review,$329000.00,
25718,ADD/ALT,No plan review,$40000.00,
25719,ADD/ALT,Plan Review,$20000.00,
25720,ADD/ALT,Plan Review,$37065.00,
25721,NEW,Plan Review,$304924.00,
25722,DEMOLITION,No plan review,$0.00,
25723,ADD/ALT,No plan review,$4500.00,
25724,ADD/ALT,No plan review,$26000.00,
25725,ADD/ALT,No plan review,$4200.00,
25726,ADD/ALT,No plan review,$2500.00,
25727,ADD/ALT,No plan review,$35000.00,
25728,ADD/ALT,No plan review,$11929.00,
25729,ADD/ALT,No plan review,$7680.00,
25730,DEMOLITION,No plan review,$0.00,
25731,ADD/ALT,Plan Review,$42135.00,
25732,ADD/ALT,Plan Review,$30000.00,
25733,ADD/ALT,No plan review,$3000.00,
25734,ADD/ALT,No plan review,$22380.00,
25735,ADD/ALT,Plan Review,$3000000.00,
25736,ADD/ALT,No plan review,$72000.00,
25737,ADD/ALT,No plan review,$3200.00,
25738,ALTER,Plan Review,$200000.00,
25739,ADD/ALT,Plan Review,$70000.00,
25740,ADD/ALT,Plan Review,$5000.00,
25741,ADD/ALT,Plan Review,$856800.00,
25742,NEW,Plan Review,$336582.00,
25743,ADD/ALT,No plan review,$5000.00,
25744,ADD/ALT,No plan review,$25000.00,
25745,ADD/ALT,No plan review,$25000.00,
25746,ADD/ALT,No plan review,$5000.00,
25747,ADD/ALT,Plan Review,$50000.00,
25748,ADD/ALT,Plan Review,$175000.00,
25749,NEW,Plan Review,$350609.00,
25750,ADD/ALT,Plan Review,$200000.00,
25751,NEW,Plan Review,$449331.00,
25752,ADD/ALT,No plan review,$8798.00,
25753,ADD/ALT,No plan review,$55000.00,
25754,ADD/ALT,No plan review,$5036.00,
25755,ALTER,Plan Review,$175000.00,
25756,ADD/ALT,No plan review,$50000.00,
25757,ADD/ALT,No plan review,$75000.00,
25758,DEMOLITION,No plan review,$0.00,
25759,ADD/ALT,No plan review,$75000.00,
25760,ADD/ALT,No plan review,$3000.00,
25761,ADD/ALT,Plan Review,$20000.00,
25762,TREE/VEGETATION MAINT/RESTORE,No plan review,$0.00,
25763,ADD/ALT,Plan Review,$10000.00,
25764,ADD/ALT,Plan Review,$63555.00,
25765,ALTER,Plan Review,$75000.00,
25766,ADD/ALT,No plan review,$3000.00,
25767,ADD/ALT,Plan Review,$120000.00,
25768,ADD/ALT,No plan review,$11000.00,
25769,NEW,Plan Review,$316736.00,
25770,ADD/ALT,No plan review,$20000.00,
25771,ADD/ALT,Plan Review,$24836.00,
25772,NEW,Plan Review,$91249017.00,
25773,ADD/ALT,Plan Review,$25000.00,
25774,ADD/ALT,No plan review,$12500.00,
25775,ADD/ALT,No plan review,$300000.00,
25776,ADD/ALT,No plan review,$10000.00,
25777,ADD/ALT,No plan review,$11040.00,
25778,ADD/ALT,Plan Review,$5000.00,
25779,ADD/ALT,No plan review,$325000.00,
25780,ADD/ALT,No plan review,$72500.00,
25781,ADD/ALT,Plan Review,$23000.00,
25782,ADD/ALT,No plan review,$1.00,
25783,ADD/ALT,No plan review,$20000.00,
25784,NEW,Plan Review,$287628.00,
25785,DEMOLITION,No plan review,$0.00,
25786,ALTER,Plan Review,$5000.00,
25787,ADD/ALT,Plan Review,$24016.00,
25788,ADD/ALT,Plan Review,$157000.00,
25789,ADD/ALT,No plan review,$100.00,
25790,ADD/ALT,No plan review,$45000.00,
25791,ADD/ALT,Plan Review,$150000.00,
25792,ADD/ALT,No plan review,$30000.00,
25793,ADD/ALT,No plan review,$5000.00,
25794,NEW,Plan Review,$620706.00,
25795,NEW,Plan Review,$329179.00,
25796,NEW,Plan Review,$371802.00,
25797,ADD/ALT,Plan Review,$10000.00,
25798,ADD/ALT,Plan Review,$40000.00,
25799,ADD/ALT,Plan Review,$10000.00,
25800,ADD/ALT,Plan Review,$15000.00,
25801,ADD/ALT,Plan Review,$15000.00,
25802,ADD/ALT,Plan Review,$3900.00,
25803,DEMOLITION,No plan review,$0.00,
25804,ADD/ALT,No plan review,$90000.00,
25805,NEW,Plan Review,$4727922.00,
25806,NEW,Plan Review,$219474.00,
25807,NEW,Plan Review,$398708.00,
25808,DEMOLITION,No plan review,$0.00,
25809,NEW,Plan Review,$222164.00,
25810,NEW,Plan Review,$223446.00,
25811,NEW,Plan Review,$352017.00,
25812,NEW,Plan Review,$181657.00,
25813,NEW,Plan Review,$916139.00,
25814,NEW,Plan Review,$222972.00,
25815,NEW,Plan Review,$232110.00,
25816,NEW,Plan Review,$225939.00,
25817,NEW,Plan Review,$286133.00,
25818,NEW,Plan Review,$192942.00,
25819,NEW,Plan Review,$197996.00,
25820,NEW,Plan Review,$192842.00,
25821,NEW,Plan Review,$381390.00,
25822,ADD/ALT,Plan Review,$53717.00,
25823,TREE/VEGETATION MAINT/RESTORE,No plan review,$0.00,
25824,NEW,Plan Review,$164498.00,
25825,DEMOLITION,No plan review,$0.00,
25826,NEW,Plan Review,$149058.00,
25827,ADD/ALT,Plan Review,$187680.00,
25828,ADD/ALT,Plan Review,$100000.00,
25829,NEW,Plan Review,$394388.00,
25830,ADD/ALT,Plan Review,$27000.00,
25831,ADD/ALT,Plan Review,$275000.00,
25832,ADD/ALT,Plan Review,$30000.00,
25833,ADD/ALT,Plan Review,$120649.00,
25834,ADD/ALT,Plan Review,$10000.00,
25835,NEW,Plan Review,$342181.00,
25836,ADD/ALT,No plan review,$20000.00,
25837,TREE/VEGETATION MAINT/RESTORE,No plan review,$0.00,
25838,ADD/ALT,No plan review,$8000.00,
25839,TREE/VEGETATION MAINT/RESTORE,No plan review,$0.00,
25840,DEMOLITION,No plan review,$0.00,
25841,NEW,Plan Review,$189584.00,
25842,NEW,Plan Review,$189584.00,
25843,NEW,Plan Review,$189584.00,
25844,ADD/ALT,Plan Review,$4364.00,
25845,ADD/ALT,No plan review,$100000.00,
25846,DEMOLITION,No plan review,$0.00,
25847,DEMOLITION,No plan review,$0.00,
25848,DEMOLITION,No plan review,$0.00,
25849,ADD/ALT,No plan review,$5000.00,
25850,ADD/ALT,Plan Review,$100000.00,
25851,ADD/ALT,Plan Review,$1.00,
25852,ADD/ALT,Plan Review,$1.00,
25853,TREE/VEGETATION MAINT/RESTORE,No plan review,$0.00,
25854,DEMOLITION,No plan review,$0.00,
25855,DEMOLITION,No plan review,$0.00,
25856,ADD/ALT,Plan Review,$77712.00,
25857,ADD/ALT,No plan review,$300000.00,
25858,ADD/ALT,Plan Review,$30000.00,
25859,ALTER,Plan Review,$24000.00,
25860,ADD/ALT,No plan review,$12000.00,
25861,ADD/ALT,Plan Review,$7600000.00,
25862,ADD/ALT,No plan review,$30000.00,
25863,ADD/ALT,No plan review,$38798.00,
25864,ADD/ALT,No plan review,$1000.00,
25865,ADD/ALT,No plan review,$30000.00,
25866,NEW,Plan Review,$743238.00,
25867,NEW,Plan Review,$298681.00,
25868,ADD/ALT,Plan Review,$87000.00,
25869,ADD/ALT,Plan Review,$10000.00,
25870,NO CONSTRUCTION,Plan Review,$23000.00,
25871,ADD/ALT,No plan review,$1000.00,
25872,ADD/ALT,No plan review,$20000.00,
25873,ADD/ALT,No plan review,$10000.00,
25874,ADD/ALT,Plan Review,$14000.00,
25875,ADD/ALT,No plan review,$80000.00,
25876,ADD/ALT,No plan review,$50000.00,
25877,ADD/ALT,No plan review,$75581.00,
25878,DEMOLITION,No plan review,$0.00,
25879,NEW,Plan Review,$438067.00,
25880,ADD/ALT,Plan Review,$180000.00,
25881,ADD/ALT,Plan Review,$1000.00,
25882,ADD/ALT,No plan review,$20000.00,
25883,ADD/ALT,No plan review,$190000.00,
25884,ADD/ALT,No plan review,$1000.00,
25885,ADD/ALT,Plan Review,$21000.00,
25886,ADD/ALT,Plan Review,$160000.00,
25887,ADD/ALT,No plan review,$5500.00,
25888,ADD/ALT,No plan review,$16000.00,
25889,ADD/ALT,Plan Review,$4000.00,
25890,ADD/ALT,No plan review,$30000.00,
25891,ADD/ALT,Plan Review,$200000.00,
25892,ADD/ALT,No plan review,$4300.00,
25893,DEMOLITION,No plan review,$0.00,
25894,ADD/ALT,No plan review,$67000.00,
25895,ADD/ALT,Plan Review,$175000.00,
25896,NEW,Plan Review,$286106.00,
25897,ADD/ALT,Plan Review,$2000.00,
25898,ADD/ALT,Plan Review,$200000.00,
25899,NEW,Plan Review,$174670.00,
25900,NEW,Plan Review,$167660.00,
25901,ADD/ALT,No plan review,$21000.00,
25902,ADD/ALT,Plan Review,$150000.00,
25903,ADD/ALT,Plan Review,$105000.00,
25904,NEW,Plan Review,$449422.00,
25905,ADD/ALT,Plan Review,$500000.00,
25906,ADD/ALT,Plan Review,$20000.00,
25907,ADD/ALT,No plan review,$20000.00,
25908,ALTER,Plan Review,$925000.00,
25909,ADD/ALT,Plan Review,$40000.00,
25910,ADD/ALT,Plan Review,$3400.00,
25911,ADD/ALT,Plan Review,$5000.00,
25912,ADD/ALT,No plan review,$18000.00,
25913,ADD/ALT,Plan Review,$2500.00,
25914,ADD/ALT,Plan Review,$250000.00,
25915,ADD/ALT,Plan Review,$25000.00,
25916,NEW,Plan Review,$36354600.00,
25917,ADD/ALT,No plan review,$30000.00,
25918,DEMOLITION,Plan Review,$0.00,
25919,NEW,Plan Review,$398308.00,
25920,ADD/ALT,Plan Review,$484930.00,
25921,ADD/ALT,No plan review,$3000.00,
25922,ALTER,Plan Review,$106289.00,
25923,DEMOLITION,No plan review,$0.00,
25924,NEW,Plan Review,$295137.00,
25925,ADD/ALT,Plan Review,$880000.00,
25926,ADD/ALT,No plan review,$4300.00,
25927,ADD/ALT,Plan Review,$153000.00,
25928,ADD/ALT,Plan Review,$617897.00,
25929,NEW,Plan Review,$0.00,
25930,ADD/ALT,Plan Review,$150000.00,
25931,ADD/ALT,Plan Review,$150000.00,
25932,ADD/ALT,Plan Review,$30000.00,
25933,ADD/ALT,No plan review,$15000.00,
25934,ADD/ALT,Plan Review,$45000.00,
25935,NEW,Plan Review,$317957.00,
25936,NEW,Plan Review,$259848.00,
25937,DEMOLITION,No plan review,$0.00,
25938,ADD/ALT,Plan Review,$180000.00,
25939,ADD/ALT,Plan Review,$20000.00,
25940,ADD/ALT,Plan Review,$200000.00,
25941,ADD/ALT,Plan Review,$25000.00,
25942,ADD/ALT,Plan Review,$8000.00,
25943,ADD/ALT,Plan Review,$60000.00,
25944,ADD/ALT,Plan Review,$10000.00,
25945,ADD/ALT,Plan Review,$5000.00,
25946,ADD/ALT,No plan review,$1500.00,
25947,ADD/ALT,Plan Review,$120000.00,
25948,ADD/ALT,Plan Review,$574009.00,
25949,ADD/ALT,Plan Review,$95000.00,
25950,ADD/ALT,No plan review,$12000.00,
25951,ADD/ALT,No plan review,$4000.00,
25952,ADD/ALT,No plan review,$31000.00,
25953,NEW,Plan Review,$4070726.00,
25954,ADD/ALT,No plan review,$6000.00,
25955,ADD/ALT,No plan review,$5000.00,
25956,ADD/ALT,No plan review,$4000.00,
25957,ALTER,Plan Review,$300000.00,
25958,ADD/ALT,No plan review,$20000.00,
25959,NEW,Plan Review,$30726.00,
25960,NEW,Plan Review,$318019.00,
25961,ADD/ALT,No plan review,$3650.00,
25962,ADD/ALT,No plan review,$20000.00,
25963,DEMOLITION,No plan review,$0.00,
25964,NEW,Plan Review,$335376.00,
25965,ADD/ALT,No plan review,$98000.00,
25966,ADD/ALT,Plan Review,$388700.00,
25967,DEMOLITION,No plan review,$0.00,
25968,ADD/ALT,No plan review,$28352.00,
25969,ADD/ALT,Plan Review,$45000.00,
25970,ADD/ALT,No plan review,$6000.00,
25971,NEW,Plan Review,$800000.00,
25972,NEW,Plan Review,$2517789.00,
25973,NEW,Plan Review,$1000.00,
25974,NEW,Plan Review,$1000.00,
25975,NEW,Plan Review,$1000.00,
25976,ADD/ALT,Plan Review,$56000.00,
25977,NEW,Plan Review,$291725.00,
25978,DEMOLITION,No plan review,$0.00,
25979,ADD/ALT,No plan review,$7000.00,
25980,NEW,Plan Review,$344350.00,
25981,DEMOLITION,No plan review,$0.00,
25982,ADD/ALT,No plan review,$5000.00,
25983,NEW,Plan Review,$1245069.00,
25984,ADD/ALT,Plan Review,$1000.00,
25985,ADD/ALT,Plan Review,$212577.00,
25986,NEW,Plan Review,$564007.00,
25987,ADD/ALT,Plan Review,$30000.00,
25988,ADD/ALT,Plan Review,$4000.00,
25989,ADD/ALT,No plan review,$75000.00,
25990,CURB CUT,No plan review,$0.00,
25991,ADD/ALT,No plan review,$92000.00,
25992,ADD/ALT,No plan review,$4000.00,
25993,ADD/ALT,No plan review,$35246.00,
25994,ADD/ALT,No plan review,$60000.00,
25995,ADD/ALT,No plan review,$102600.00,
25996,ADD/ALT,Plan Review,$1000.00,
25997,NEW,Plan Review,$337414.00,
25998,ADD/ALT,No plan review,$1000.00,
25999,NEW,Plan Review,$487445.00,
26000,ADD/ALT,Plan Review,$16000.00,
26001,ADD/ALT,Plan Review,$20000.00,
26002,ADD/ALT,Plan Review,$8000.00,
26003,ADD/ALT,Plan Review,$30000.00,
26004,ADD/ALT,No plan review,$12000.00,
26005,ADD/ALT,Plan Review,$100000.00,
26006,NEW,Plan Review,$194548.00,
26007,NEW,Plan Review,$181202.00,
26008,ALTER,Plan Review,$359000.00,
26009,ADD/ALT,No plan review,$4000.00,
26010,ADD/ALT,Plan Review,$21000.00,
26011,ADD/ALT,Plan Review,$3000.00,
26012,DEMOLITION,No plan review,$0.00,
26013,DEMOLITION,No plan review,$0.00,
26014,NEW,Plan Review,$279466.00,
26015,ADD/ALT,Plan Review,$8000.00,
26016,NEW,Plan Review,$1399632.00,
26017,ADD/ALT,No plan review,$250000.00,
26018,ADD/ALT,Plan Review,$315000.00,
26019,ADD/ALT,Plan Review,$45000.00,
26020,NEW,Plan Review,$304312.00,
26021,ADD/ALT,No plan review,$1.00,
26022,DEMOLITION,No plan review,$0.00,
26023,ADD/ALT,Plan Review,$400000.00,
26024,ADD/ALT,Plan Review,$250000.00,
26025,ADD/ALT,No plan review,$10000.00,
26026,ADD/ALT,Plan Review,$81100.00,
26027,ADD/ALT,No plan review,$91650.00,
26028,ADD/ALT,Plan Review,$14500.00,
26029,ADD/ALT,No plan review,$30000.00,
26030,ADD/ALT,Plan Review,$1000.00,
26031,ADD/ALT,No plan review,$25000.00,
26032,ADD/ALT,No plan review,$6252.00,
26033,ADD/ALT,No plan review,$50000.00,
26034,ADD/ALT,No plan review,$50000.00,
26035,ADD/ALT,No plan review,$8000.00,
26036,ADD/ALT,No plan review,$2000.00,
26037,DEMOLITION,Plan Review,$0.00,
26038,ADD/ALT,No plan review,$200000.00,
26039,ADD/ALT,No plan review,$10500.00,
26040,ALTER,Plan Review,$95000.00,
26041,NEW,Plan Review,$8541334.00,
26042,NEW,Plan Review,$1501239.00,
26043,ADD/ALT,Plan Review,$25000.00,
26044,ADD/ALT,No plan review,$24000.00,
26045,ADD/ALT,Plan Review,$203716.00,
26046,ADD/ALT,No plan review,$12700.00,
26047,ADD/ALT,No plan review,$55000.00,
26048,ADD/ALT,No plan review,$75000.00,
26049,ADD/ALT,No plan review,$25000.00,
26050,ADD/ALT,Plan Review,$40000.00,
26051,DEMOLITION,No plan review,$0.00,
26052,ADD/ALT,Plan Review,$120000.00,
26053,ADD/ALT,No plan review,$38000.00,
26054,NEW,Plan Review,$362778.00,
26055,DEMOLITION,No plan review,$0.00,
26056,ADD/ALT,Plan Review,$20000.00,
26057,ADD/ALT,Plan Review,$15000.00,
26058,ADD/ALT,Plan Review,$612000.00,
26059,ADD/ALT,Plan Review,$299269.00,
26060,ADD/ALT,No plan review,$31000.00,
26061,ADD/ALT,Plan Review,$18000.00,
26062,ADD/ALT,No plan review,$90883.00,
26063,ADD/ALT,Plan Review,$50000.00,
26064,ADD/ALT,No plan review,$1000.00,
26065,ADD/ALT,No plan review,$50000.00,
26066,ADD/ALT,No plan review,$5000.00,
26067,NEW,Plan Review,$771334.00,
26068,ADD/ALT,Plan Review,$5000.00,
26069,ADD/ALT,Plan Review,$52000.00,
26070,ADD/ALT,Plan Review,$110000.00,
26071,ADD/ALT,Plan Review,$462099.00,
26072,ADD/ALT,Plan Review,$25000.00,
26073,ADD/ALT,Plan Review,$75000.00,
26074,ADD/ALT,Plan Review,$10000.00,
26075,ADD/ALT,No plan review,$105000.00,
26076,ADD/ALT,No plan review,$385000.00,
26077,ADD/ALT,No plan review,$5000.00,
26078,ADD/ALT,Plan Review,$96995.00,
26079,GRADING,Plan Review,$0.00,
26080,ADD/ALT,Plan Review,$256353.00,
26081,ADD/ALT,No plan review,$250000.00,
26082,ADD/ALT,Plan Review,$170870.00,
26083,ADD/ALT,No plan review,$37335.00,
26084,ADD/ALT,No plan review,$5000.00,
26085,ADD/ALT,Plan Review,$540908.00,
26086,ADD/ALT,Plan Review,$56000.00,
26087,NEW,Plan Review,$258453.00,
26088,NEW,Plan Review,$811769.00,
26089,ADD/ALT,Plan Review,$3000.00,
26090,ADD/ALT,Plan Review,$15000.00,
26091,ADD/ALT,Plan Review,$112951.00,
26092,ADD/ALT,Plan Review,$141500.00,
26093,NEW,Plan Review,$609433.00,
26094,NEW,Plan Review,$641163.00,
26095,ADD/ALT,No plan review,$8000.00,
26096,ADD/ALT,Plan Review,$360000.00,
26097,ADD/ALT,Plan Review,$80000.00,
26098,ADD/ALT,No plan review,$35000.00,
26099,ADD/ALT,No plan review,$400.00,
26100,NEW,Plan Review,$384575.00,
26101,NEW,Plan Review,$385845.00,
26102,DEMOLITION,No plan review,$0.00,
26103,DEMOLITION,No plan review,$0.00,
26104,ADD/ALT,No plan review,$40000.00,
26105,ADD/ALT,Plan Review,$213816.00,
26106,ADD/ALT,Plan Review,$50000.00,
26107,ADD/ALT,Plan Review,$80000.00,
26108,ADD/ALT,No plan review,$600.00,
26109,ADD/ALT,Plan Review,$45000.00,
26110,ADD/ALT,Plan Review,$25000.00,
26111,ADD/ALT,Plan Review,$45000.00,
26112,ADD/ALT,Plan Review,$45000.00,
26113,NEW,Plan Review,$317375.00,
26114,ADD/ALT,Plan Review,$1000000.00,
26115,NEW,Plan Review,$560316.00,
26116,ADD/ALT,No plan review,$3000.00,
26117,ADD/ALT,No plan review,$55000.00,
26118,ADD/ALT,No plan review,$184000.00,
26119,ADD/ALT,Plan Review,$385000.00,
26120,ADD/ALT,No plan review,$62700.00,
26121,ADD/ALT,No plan review,$9200.00,
26122,DEMOLITION,No plan review,$0.00,
26123,NO CONSTRUCTION,No plan review,$0.00,
26124,ADD/ALT,No plan review,$37000.00,
26125,ADD/ALT,No plan review,$1.00,
26126,ADD/ALT,Plan Review,$6000.00,
26127,ALTER,Plan Review,$650000.00,
26128,ADD/ALT,Plan Review,$1.00,
26129,ADD/ALT,Plan Review,$95077.00,
26130,ADD/ALT,No plan review,$3000.00,
26131,ALTER,Plan Review,$67000.00,
26132,ADD/ALT,No plan review,$7000.00,
26133,ADD/ALT,Plan Review,$1500.00,
26134,NEW,Plan Review,$223461.00,
26135,NEW,Plan Review,$223461.00,
26136,NEW,Plan Review,$234100.00,
26137,ADD/ALT,No plan review,$15000.00,
26138,ADD/ALT,Plan Review,$500000.00,
26139,NEW,Plan Review,$454977.00,
26140,ADD/ALT,Plan Review,$70000.00,
26141,ADD/ALT,No plan review,$22134.00,
26142,NEW,Plan Review,$1000.00,
26143,ADD/ALT,Plan Review,$112000.00,
26144,ADD/ALT,Plan Review,$25000.00,
26145,ADD/ALT,Plan Review,$276000.00,
26146,ADD/ALT,Plan Review,$75000.00,
26147,ADD/ALT,Plan Review,$40000.00,
26148,ADD/ALT,Plan Review,$15000.00,
26149,NEW,Plan Review,$24557949.00,
26150,NEW,Plan Review,$205760.00,
26151,ADD/ALT,No plan review,$200000.00,
26152,NEW,Plan Review,$227588.00,
26153,NEW,Plan Review,$13465865.00,
26154,ADD/ALT,No plan review,$35000.00,
26155,ADD/ALT,No plan review,$52000.00,
26156,ADD/ALT,Plan Review,$65000.00,
26157,ADD/ALT,Plan Review,$250000.00,
26158,ADD/ALT,No plan review,$10692.00,
26159,ADD/ALT,No plan review,$8000.00,
26160,NO CONSTRUCTION,No plan review,$200.00,
26161,ADD/ALT,No plan review,$15000.00,
26162,ADD/ALT,Plan Review,$290000.00,
26163,ADD/ALT,Plan Review,$20000.00,
26164,NEW,Plan Review,$223461.00,
26165,ADD/ALT,No plan review,$70000.00,
26166,ADD/ALT,No plan review,$26500.00,
26167,ADD/ALT,No plan review,$25000.00,
26168,DEMOLITION,No plan review,$0.00,
26169,ADD/ALT,Plan Review,$207382.00,
26170,DEMOLITION,No plan review,$0.00,
26171,ADD/ALT,Plan Review,$2000.00,
