id,district,police_beat 
75327,Q,Q2
75328,R,R1
75329,K,K1
75330,G,G3
75331,M,M3
75332,M,M2
75333,N,N1
75334,K,K1
75335,O,O1
75336,D,D1
75337,W,W1
75338,S,S3
75339,S,S2
75340,N,N2
75341,L,L2
75342,M,M1
75343,L,L2
75344,N,N2
75345,M,M2
75346,D,D3
75347,M,M3
75348,D,D2
75349,U,U2
75350,M,M2
75351,D,D3
75352,E,E2
75353,J,J2
75354,K,K1
75355,R,R2
75356,Q,Q2
75357,R,R3
75358,K,K2
75359,D,D3
75360,N,N2
75361,M,M1
75362,C,C2
75363,Q,Q3
75364,C,C1
75365,B,B3
75366,Q,Q1
75367,Q,Q2
75368,M,M1
75369,K,K2
75370,D,D1
75371,G,G1
75372,F,F3
75373,M,M1
75374,S,S3
75375,B,B2
75376,B,B2
75377,N,N3
75378,G,G1
75379,M,M2
75380,F,F2
75381,E,E1
75382,O,O2
75383,C,C1
75384,R,R1
75385,D,D1
75386,B,B3
75387,J,J1
75388,K,K1
75389,Q,Q3
75390,E,E2
75391,E,E1
75392,J,J2
75393,M,M2
75394,B,B3
75395,J,J1
75396,N,N2
75397,R,R1
75398,F,F3
75399,F,F1
75400,F,F2
75401,F,F2
75402,Q,Q3
75403,L,L3
75404,U,U3
75405,W,W2
75406,C,C2
75407,O,O3
75408,B,B3
75409,K,K2
75410,R,R2
75411,L,L1
75412,C,C2
75413,N,N3
75414,D,D1
75415,W,W1
75416,K,K2
75417,K,K3
75418,B,B1
75419,K,K2
75420,K,K1
75421,N,N2
75422,U,U1
75423,E,E1
75424,D,D3
75425,B,B2
75426,J,J3
75427,K,K1
75428,L,L3
75429,E,E3
75430,R,R2
75431,E,E2
75432,J,J2
75433,E,E1
75434,B,B2
75435,B,B2
75436,M,M2
75437,M,M2
75438,N,N1
75439,J,J2
75440,M,M1
75441,J,J3
75442,W,W3
75443,K,K3
75444,G,G3
75445,Q,Q3
75446,M,M3
75447,J,J2
75448,J,J3
75449,S,S2
75450,M,M2
75451,N,N1
75452,L,L3
75453,U,U1
75454,L,L3
75455,C,C1
75456,S,S3
75457,D,D3
75458,D,D2
75459,U,U3
75460,C,C3
75461,U,U2
75462,M,M3
75463,G,G1
75464,U,U1
75465,C,C3
75466,B,B2
75467,G,G1
75468,S,S3
75469,R,R1
75470,F,F3
75471,S,S3
75472,K,K1
75473,M,M3
75474,D,D1
75475,C,C1
75476,C,C3
75477,C,C3
75478,L,L1
75479,N,N3
75480,Q,Q3
75481,E,E2
75482,J,J2
75483,E,E2
75484,Q,Q3
75485,W,W1
75486,C,C2
75487,E,E2
75488,D,D3
75489,E,E2
75490,J,J3
75491,Q,Q3
75492,O,O1
75493,E,E2
75494,B,B2
75495,G,G3
75496,R,R1
75497,U,U1
75498,E,E2
75499,R,R2
75500,G,G3
75501,E,E1
75502,U,U1
75503,R,R1
75504,W,W3
75505,G,G3
75506,C,C1
75507,B,B1
75508,Q,Q3
75509,R,R3
75510,D,D3
75511,K,K2
75512,Q,Q2
75513,U,U3
75514,U,U3
75515,U,U3
75516,J,J1
75517,M,M1
75518,K,K1
75519,Q,Q3
75520,M,M2
75521,B,B2
75522,M,M2
75523,D,D2
75524,S,S3
75525,O,O1
75526,D,D3
75527,U,U2
75528,N,N2
75529,B,B1
75530,L,L3
75531,L,L3
75532,J,J2
75533,B,B1
75534,Q,Q1
75535,J,J2
75536,S,S1
75537,M,M3
75538,G,G2
75539,D,D1
75540,N,N1
75541,U,U2
75542,O,O1
75543,Q,Q2
75544,B,B1
75545,L,L2
75546,N,N3
75547,B,B3
75548,O,O2
75549,J,J3
75550,K,K2
75551,L,L2
75552,M,M1
75553,U,U3
75554,K,K2
75555,F,F3
75556,J,J1
75557,K,K3
75558,G,G3
75559,M,M2
75560,D,D1
75561,E,E3
75562,J,J2
75563,N,N3
75564,C,C3
75565,E,E2
75566,Q,Q3
75567,K,K2
75568,M,M2
75569,M,M2
75570,B,B3
75571,N,N3
75572,N,N3
75573,J,J3
75574,L,L1
75575,U,U3
75576,Q,Q3
75577,U,U3
75578,E,E1
75579,K,K3
75580,D,D2
75581,M,M1
75582,L,L2
75583,W,W2
75584,N,N2
75585,E,E1
75586,U,U3
75587,Q,Q1
75588,K,K3
75589,M,M3
75590,R,R2
75591,B,B1
75592,E,E2
75593,G,G2
75594,Q,Q1
75595,R,R3
75596,O,O1
75597,Q,Q1
75598,D,D1
75599,R,R1
75600,R,R2
75601,M,M2
75602,M,M2
75603,B,B3
75604,C,C2
75605,J,J3
75606,E,E2
75607,M,M3
75608,F,F2
75609,K,K3
75610,L,L3
75611,C,C2
75612,J,J2
75613,N,N3
75614,B,B3
75615,W,W2
75616,F,F2
75617,M,M1
75618,N,N2
75619,L,L1
75620,L,L2
75621,U,U2
75622,M,M2
75623,B,B2
75624,C,C1
75625,F,F1
75626,G,G1
75627,E,E2
75628,J,J3
75629,S,S3
75630,B,B2
75631,L,L1
75632,B,B2
75633,B,B1
75634,E,E2
75635,N,N2
75636,W,W1
75637,B,B2
75638,B,B1
75639,B,B3
75640,L,L2
75641,B,B3
75642,J,J2
75643,B,B3
75644,L,L2
75645,U,U3
75646,U,U1
75647,J,J2
75648,B,B1
75649,L,L3
75650,U,U2
75651,L,L2
75652,M,M1
75653,M,M2
75654,L,L1
75655,E,E1
75656,99,99
75657,U,U3
75658,U,U1
75659,U,U2
75660,J,J2
75661,J,J1
75662,Q,Q3
75663,J,J1
75664,C,C3
75665,J,J1
75666,N,N2
75667,D,D1
75668,U,U2
75669,J,J3
75670,E,E3
75671,U,U3
75672,B,B3
75673,U,U3
75674,F,F1
75675,U,U1
75676,J,J2
75677,S,S2
75678,G,G3
75679,K,K2
75680,C,C2
75681,G,G3
75682,M,M3
75683,R,R1
75684,R,R3
75685,E,E2
75686,K,K2
75687,E,E3
75688,E,E3
75689,K,K1
75690,R,R1
75691,E,E3
75692,E,E3
75693,E,E3
75694,E,E3
75695,G,G1
75696,D,D1
75697,E,E2
75698,E,E3
75699,U,U1
75700,G,G3
75701,N,N3
75702,M,M1
75703,J,J2
75704,C,C1
75705,E,E1
75706,Q,Q3
75707,M,M3
75708,K,K1
75709,G,G3
75710,S,S1
75711,B,B1
75712,G,G2
75713,O,O3
75714,E,E2
75715,J,J2
75716,B,B3
75717,M,M3
75718,J,J2
75719,U,U2
75720,D,D1
75721,L,L2
75722,N,N2
75723,O,O3
75724,N,N2
75725,B,B2
75726,M,M2
75727,R,R1
75728,S,S3
75729,N,N2
75730,O,O2
75731,J,J1
75732,K,K3
75733,K,K2
75734,G,G3
75735,U,U2
75736,J,J1
75737,U,U1
75738,K,K3
75739,E,E2
75740,R,R2
75741,R,R3
75742,N,N2
75743,B,B3
75744,L,L3
75745,E,E3
75746,N,N1
75747,U,U2
75748,U,U2
75749,W,W2
75750,E,E1
75751,M,M2
75752,O,O3
75753,B,B3
75754,M,M3
75755,M,M1
75756,K,K1
75757,D,D3
75758,N,N3
75759,G,G3
75760,U,U1
75761,U,U1
75762,Q,Q2
75763,D,D3
75764,M,M1
75765,M,M1
75766,K,K1
75767,Q,Q1
75768,M,M1
75769,D,D2
75770,K,K3
75771,Q,Q3
75772,K,K2
75773,K,K3
75774,M,M1
75775,D,D2
75776,G,G2
75777,B,B1
75778,Q,Q2
75779,K,K2
75780,M,M3
75781,K,K2
75782,U,U1
75783,K,K1
75784,D,D3
75785,D,D3
75786,M,M2
75787,F,F2
75788,D,D1
75789,D,D1
75790,G,G2
75791,Q,Q1
75792,Q,Q1
75793,C,C2
75794,D,D2
75795,D,D2
75796,D,D2
75797,D,D1
75798,D,D1
75799,K,K2
75800,M,M1
75801,C,C2
75802,U,U3
75803,K,K2
75804,D,D1
75805,M,M2
75806,M,M1
75807,D,D1
75808,E,E2
75809,E,E2
75810,K,K3
75811,K,K1
75812,E,E2
75813,Q,Q2
75814,M,M2
75815,D,D3
75816,M,M2
75817,Q,Q2
75818,G,G3
75819,N,N1
75820,U,U1
75821,R,R2
75822,M,M2
75823,M,M2
75824,K,K1
75825,S,S3
75826,F,F1
75827,B,B1
75828,D,D1
75829,D,D1
75830,G,G1
75831,Q,Q3
75832,O,O1
75833,C,C3
75834,U,U1
75835,U,U2
75836,U,U2
75837,N,N1
75838,C,C2
75839,M,M3
75840,W,W2
75841,E,E2
75842,U,U2
75843,J,J1
75844,W,W1
75845,S,S3
75846,B,B1
75847,K,K1
75848,Q,Q1
75849,M,M2
75850,Q,Q3
75851,O,O2
75852,E,E2
75853,Q,Q2
75854,K,K1
75855,Q,Q3
75856,L,L3
75857,K,K1
75858,M,M2
75859,D,D2
75860,F,F2
75861,W,W3
75862,F,F2
75863,W,W3
75864,J,J1
75865,W,W2
75866,K,K2
75867,U,U1
75868,U,U1
75869,M,M3
75870,B,B1
75871,F,F1
75872,K,K2
75873,B,B3
75874,E,E2
75875,K,K1
75876,F,F3
75877,G,G3
75878,O,O2
75879,U,U1
75880,G,G1
75881,K,K3
75882,J,J3
75883,B,B1
75884,S,S2
75885,E,E2
75886,U,U3
75887,N,N3
75888,E,E1
75889,E,E2
75890,D,D2
75891,D,D3
75892,U,U1
75893,C,C3
75894,E,E2
75895,C,C2
75896,S,S1
75897,99,99
75898,G,G1
75899,D,D3
75900,M,M2
75901,S,S3
75902,G,G1
75903,D,D2
75904,L,L3
75905,G,G2
75906,C,C3
75907,M,M2
75908,K,K2
75909,M,M2
75910,R,R2
75911,S,S2
75912,B,B3
75913,Q,Q1
75914,F,F3
75915,M,M2
75916,J,J1
75917,J,J3
75918,D,D1
75919,M,M1
75920,B,B3
75921,O,O1
75922,D,D1
75923,M,M2
75924,N,N2
75925,L,L1
75926,U,U1
75927,M,M1
75928,C,C1
75929,B,B2
75930,N,N1
75931,S,S1
75932,B,B1
75933,E,E2
75934,K,K2
75935,J,J2
75936,Q,Q1
75937,Q,Q2
75938,O,O3
75939,U,U2
75940,D,D2
75941,B,B3
75942,S,S1
75943,Q,Q3
75944,Q,Q2
75945,M,M3
75946,B,B2
75947,D,D3
75948,D,D1
75949,B,B2
75950,U,U2
75951,B,B3
75952,B,B2
75953,W,W2
75954,D,D1
75955,S,S1
75956,U,U1
75957,Q,Q3
75958,F,F3
75959,U,U2
75960,M,M2
75961,C,C1
75962,M,M1
75963,C,C2
75964,Q,Q2
75965,L,L3
75966,E,E1
75967,S,S2
75968,B,B1
75969,U,U2
75970,Q,Q3
75971,K,K3
75972,E,E1
75973,E,E1
75974,W,W3
75975,D,D1
75976,K,K2
75977,E,E2
75978,L,L1
75979,L,L3
75980,R,R1
75981,U,U2
75982,L,L1
75983,W,W1
75984,W,W1
75985,Q,Q2
75986,S,S2
75987,M,M1
75988,W,W2
75989,N,N2
75990,C,C1
75991,D,D1
75992,M,M1
75993,K,K1
75994,B,B1
75995,Q,Q2
75996,W,W1
75997,U,U1
75998,N,N2
75999,K,K1
76000,D,D2
76001,Q,Q1
76002,B,B3
76003,W,W1
76004,L,L2
76005,K,K1
76006,W,W1
76007,N,N1
76008,E,E2
76009,S,S1
76010,O,O2
76011,E,E3
76012,U,U2
76013,M,M3
76014,U,U1
76015,E,E2
76016,U,U2
76017,L,L3
76018,J,J3
76019,D,D3
76020,M,M1
76021,D,D3
76022,S,S3
76023,J,J3
76024,R,R3
76025,Q,Q3
76026,Q,Q3
76027,F,F3
76028,Q,Q3
76029,D,D1
76030,N,N3
76031,E,E2
76032,E,E2
76033,N,N3
76034,G,G2
76035,M,M2
76036,O,O2
76037,N,N3
76038,R,R3
76039,N,N3
76040,R,R2
76041,B,B3
76042,F,F2
76043,R,R2
76044,B,B1
76045,O,O3
76046,O,O1
76047,E,E3
76048,S,S3
76049,R,R3
76050,W,W3
76051,R,R2
76052,K,K3
76053,K,K3
76054,R,R2
76055,R,R2
76056,M,M2
76057,S,S3
76058,J,J2
76059,F,F2
76060,F,F3
76061,R,R2
76062,O,O1
76063,O,O2
76064,N,N2
76065,K,K1
76066,N,N3
76067,R,R2
76068,K,K3
76069,K,K2
76070,C,C1
76071,K,K2
76072,D,D3
76073,M,M1
76074,D,D3
76075,D,D3
76076,D,D1
76077,Q,Q3
76078,K,K2
76079,D,D1
76080,K,K3
76081,M,M2
76082,W,W2
76083,K,K2
76084,U,U3
76085,F,F3
76086,M,M3
76087,Q,Q3
76088,N,N2
76089,Q,Q1
76090,S,S2
76091,U,U3
76092,O,O1
76093,K,K3
76094,K,K1
76095,B,B3
76096,W,W3
76097,F,F3
76098,L,L2
76099,C,C2
76100,N,N2
76101,U,U3
76102,G,G3
76103,M,M2
76104,G,G1
76105,S,S1
76106,R,R3
76107,N,N2
76108,E,E3
76109,U,U3
76110,D,D2
76111,E,E2
76112,K,K2
76113,B,B3
76114,E,E2
76115,C,C2
76116,D,D2
76117,G,G3
76118,G,G3
76119,E,E2
76120,G,G1
76121,M,M1
76122,D,D3
76123,E,E2
76124,M,M2
76125,G,G2
76126,E,E3
76127,C,C1
76128,C,C1
76129,L,L3
76130,Q,Q2
76131,Q,Q2
76132,L,L1
76133,G,G3
76134,W,W2
76135,D,D1
76136,N,N2
76137,K,K1
76138,W,W1
76139,U,U1
76140,M,M1
76141,M,M1
76142,W,W1
76143,B,B2
76144,F,F2
76145,B,B3
76146,B,B1
76147,U,U3
76148,Q,Q1
76149,M,M1
76150,B,B1
76151,N,N3
76152,B,B1
76153,L,L2
76154,S,S1
76155,B,B1
76156,O,O2
76157,U,U1
76158,W,W3
76159,W,W3
76160,B,B2
76161,L,L3
76162,W,W3
76163,W,W3
76164,K,K2
76165,M,M1
76166,M,M3
76167,O,O3
76168,N,N3
76169,K,K3
76170,B,B1
76171,U,U3
76172,K,K2
76173,D,D2
76174,M,M3
76175,S,S3
76176,U,U1
76177,F,F1
76178,E,E2
76179,S,S3
76180,B,B3
76181,B,B1
76182,B,B1
76183,U,U1
76184,W,W1
76185,O,O3
76186,L,L1
76187,U,U3
76188,N,N1
76189,B,B3
76190,C,C2
76191,F,F2
76192,Q,Q1
76193,U,U3
76194,N,N1
76195,J,J1
76196,B,B1
76197,R,R3
76198,K,K3
76199,Q,Q2
76200,D,D2
76201,G,G1
76202,B,B1
76203,S,S2
76204,R,R1
76205,D,D2
76206,L,L2
76207,F,F3
76208,N,N3
76209,C,C2
76210,E,E1
76211,J,J1
76212,D,D3
76213,C,C3
76214,Q,Q2
76215,R,R3
76216,S,S3
76217,G,G3
76218,C,C3
76219,R,R3
76220,M,M1
76221,F,F2
76222,M,M2
76223,E,E2
76224,W,W3
76225,D,D1
76226,C,C1
76227,K,K3
76228,E,E3
76229,E,E3
76230,W,W3
76231,K,K3
76232,G,G3
76233,U,U2
76234,M,M1
76235,J,J2
76236,U,U3
76237,U,U3
76238,E,E3
76239,Q,Q1
76240,C,C1
76241,R,R2
76242,N,N1
76243,M,M3
76244,E,E1
76245,M,M1
76246,D,D2
76247,L,L2
76248,J,J2
76249,R,R2
76250,C,C1
76251,E,E2
76252,U,U1
76253,K,K1
76254,E,E1
76255,K,K2
76256,L,L2
76257,Q,Q3
76258,B,B2
76259,W,W3
76260,B,B1
76261,R,R3
76262,F,F3
76263,U,U1
76264,G,G2
76265,K,K3
76266,B,B3
76267,N,N2
76268,L,L2
76269,U,U3
76270,N,N3
76271,R,R2
76272,J,J1
76273,W,W2
76274,M,M2
76275,D,D2
76276,Q,Q3
76277,O,O2
76278,R,R3
76279,O,O1
76280,C,C3
76281,99,99
76282,S,S1
76283,B,B2
76284,O,O2
76285,R,R1
76286,O,O1
76287,M,M1
76288,F,F3
76289,F,F1
76290,Q,Q3
76291,R,R3
76292,G,G3
76293,O,O2
76294,R,R3
76295,K,K3
76296,U,U3
76297,E,E3
76298,J,J2
76299,S,S2
76300,B,B3
76301,W,W1
76302,R,R1
76303,K,K2
76304,E,E2
76305,U,U2
76306,Q,Q2
76307,J,J2
76308,N,N1
76309,N,N3
76310,N,N3
76311,E,E2
76312,N,N1
76313,U,U2
76314,B,B2
76315,U,U3
76316,E,E1
76317,S,S3
76318,L,L2
76319,E,E3
76320,Q,Q1
76321,U,U3
76322,E,E3
76323,C,C2
76324,E,E3
76325,E,E3
76326,U,U3
76327,U,U3
76328,L,L2
76329,J,J2
76330,E,E3
76331,U,U3
76332,R,R3
76333,U,U3
76334,K,K3
76335,N,N3
76336,F,F1
76337,R,R2
76338,J,J1
76339,F,F3
76340,J,J2
76341,U,U3
76342,G,G3
76343,D,D2
76344,E,E3
76345,U,U3
76346,S,S1
76347,O,O3
76348,J,J1
76349,B,B2
76350,E,E3
76351,U,U3
76352,C,C1
76353,U,U3
76354,K,K3
76355,W,W3
76356,S,S3
76357,W,W3
76358,U,U2
76359,Q,Q2
76360,N,N3
76361,D,D3
76362,W,W2
76363,W,W1
76364,U,U1
76365,W,W1
76366,L,L3
76367,E,E2
76368,O,O3
76369,B,B1
76370,B,B2
76371,K,K1
76372,C,C1
76373,B,B3
76374,D,D2
76375,F,F1
76376,R,R3
76377,D,D2
76378,R,R3
76379,M,M3
76380,G,G3
76381,B,B2
76382,N,N1
76383,B,B2
76384,U,U1
76385,C,C3
76386,U,U1
76387,S,S3
76388,E,E1
76389,R,R2
76390,U,U2
76391,U,U2
76392,D,D1
76393,O,O3
76394,L,L2
76395,E,E2
76396,D,D3
76397,S,S3
76398,L,L2
76399,K,K3
76400,D,D1
76401,S,S3
76402,S,S2
76403,K,K2
76404,S,S2
76405,C,C1
76406,L,L2
76407,L,L2
76408,G,G2
76409,K,K1
76410,O,O2
76411,E,E2
76412,K,K1
76413,U,U3
76414,D,D1
76415,N,N2
76416,J,J1
76417,L,L2
76418,J,J1
76419,U,U2
76420,E,E3
76421,U,U3
76422,E,E3
76423,U,U3
76424,R,R3
76425,R,R3
76426,D,D3
76427,E,E2
76428,D,D2
76429,W,W3
76430,B,B3
76431,U,U1
76432,E,E1
76433,C,C2
76434,Q,Q1
76435,W,W1
76436,C,C2
76437,G,G3
76438,B,B2
76439,U,U3
76440,N,N2
76441,N,N2
76442,U,U2
76443,E,E2
76444,C,C1
76445,E,E1
76446,R,R3
76447,S,S2
76448,M,M1
76449,D,D1
76450,U,U1
76451,D,D3
76452,Q,Q3
76453,G,G3
76454,D,D2
76455,E,E3
76456,C,C2
76457,U,U3
76458,U,U3
76459,L,L2
76460,L,L1
76461,E,E1
76462,K,K1
76463,K,K3
76464,N,N3
76465,N,N2
76466,Q,Q3
76467,N,N1
76468,E,E3
76469,Q,Q1
76470,S,S3
76471,G,G2
76472,W,W3
76473,E,E3
76474,R,R2
76475,E,E3
76476,G,G3
76477,B,B1
76478,F,F3
76479,E,E2
76480,F,F1
76481,U,U3
76482,E,E3
76483,R,R3
76484,U,U2
76485,U,U3
76486,D,D1
76487,B,B3
76488,M,M1
76489,R,R2
76490,M,M1
76491,M,M2
76492,M,M2
76493,B,B2
76494,G,G1
76495,B,B3
76496,N,N2
76497,G,G2
76498,B,B3
76499,E,E2
76500,Q,Q3
76501,S,S1
76502,E,E2
76503,C,C1
76504,K,K1
76505,K,K3
76506,G,G1
76507,Q,Q3
76508,G,G3
76509,K,K3
76510,N,N2
76511,R,R3
76512,F,F3
76513,R,R2
76514,F,F2
76515,E,E1
76516,R,R3
76517,E,E3
76518,U,U1
76519,U,U1
76520,W,W2
76521,U,U3
76522,U,U2
76523,W,W1
76524,L,L3
76525,B,B1
76526,U,U3
76527,U,U2
76528,C,C1
76529,E,E3
76530,E,E2
76531,N,N2
76532,M,M3
76533,K,K3
76534,C,C3
76535,N,N3
76536,N,N1
76537,C,C1
76538,E,E1
76539,O,O1
76540,B,B3
76541,U,U1
76542,K,K1
76543,L,L1
76544,M,M3
76545,E,E2
76546,Q,Q1
76547,R,R2
76548,E,E3
76549,F,F1
76550,M,M3
76551,E,E2
76552,E,E1
76553,J,J3
76554,E,E2
76555,E,E2
76556,L,L2
76557,N,N3
76558,O,O1
76559,U,U2
76560,J,J1
76561,G,G3
76562,E,E2
76563,E,E1
76564,G,G2
76565,Q,Q3
76566,E,E2
76567,U,U2
76568,C,C1
76569,S,S1
76570,S,S3
76571,O,O1
76572,Q,Q2
76573,L,L2
76574,R,R3
76575,E,E1
76576,B,B2
76577,M,M3
76578,U,U2
76579,J,J1
76580,U,U1
76581,W,W3
76582,W,W2
76583,B,B3
76584,U,U2
76585,N,N3
76586,D,D3
76587,B,B1
76588,G,G1
76589,S,S2
76590,E,E3
76591,G,G1
76592,W,W1
76593,Q,Q1
76594,U,U3
76595,O,O3
76596,S,S1
76597,E,E3
76598,E,E3
76599,U,U3
76600,L,L3
76601,E,E3
76602,J,J2
76603,C,C2
76604,E,E2
76605,K,K1
76606,R,R3
76607,K,K1
76608,L,L2
76609,M,M2
76610,F,F3
76611,W,W3
76612,K,K2
76613,D,D1
76614,K,K2
76615,E,E2
76616,N,N2
76617,L,L1
76618,U,U1
76619,F,F2
76620,D,D2
76621,Q,Q3
76622,R,R2
76623,B,B3
76624,L,L3
76625,D,D2
76626,F,F2
76627,M,M1
76628,F,F2
76629,Q,Q1
76630,L,L3
76631,Q,Q1
76632,U,U3
76633,U,U3
76634,L,L2
76635,K,K1
76636,R,R1
76637,W,W1
76638,,
76639,W,W3
76640,D,D2
76641,B,B3
76642,C,C3
76643,N,N1
76644,L,L3
76645,B,B2
76646,E,E2
76647,S,S3
76648,K,K3
76649,K,K2
76650,R,R3
76651,C,C1
76652,U,U1
76653,K,K3
76654,C,C1
76655,M,M3
76656,M,M3
76657,K,K2
76658,L,L1
76659,K,K3
76660,B,B1
76661,Q,Q2
76662,L,L1
76663,E,E3
76664,D,D3
76665,L,L3
76666,G,G3
76667,O,O3
76668,Q,Q3
76669,B,B3
76670,U,U1
76671,U,U2
76672,K,K2
76673,C,C2
76674,K,K1
76675,L,L1
76676,K,K1
76677,G,G3
76678,S,S1
76679,U,U3
76680,S,S3
76681,N,N1
76682,W,W2
76683,B,B3
76684,D,D2
76685,U,U3
76686,J,J2
76687,C,C2
76688,E,E3
76689,D,D2
76690,B,B1
76691,E,E3
76692,R,R3
76693,B,B2
76694,E,E1
76695,D,D3
76696,L,L2
76697,E,E2
76698,L,L2
76699,U,U1
76700,K,K3
76701,O,O1
76702,S,S1
76703,J,J3
76704,F,F1
76705,D,D2
76706,B,B3
76707,U,U1
76708,U,U2
76709,B,B1
76710,B,B3
76711,J,J2
76712,U,U3
76713,N,N3
76714,B,B3
76715,N,N1
76716,S,S3
76717,R,R1
76718,M,M2
76719,K,K3
76720,S,S2
76721,F,F1
76722,L,L1
76723,F,F3
76724,O,O1
76725,F,F2
76726,R,R3
76727,G,G1
76728,M,M2
76729,D,D2
76730,N,N2
76731,D,D3
76732,K,K3
76733,B,B2
76734,R,R1
76735,S,S2
76736,N,N2
76737,L,L2
76738,U,U3
76739,E,E2
76740,B,B2
76741,L,L2
76742,E,E3
76743,U,U2
76744,F,F2
76745,G,G1
76746,R,R1
76747,W,W2
76748,C,C3
76749,B,B1
76750,R,R3
76751,B,B1
76752,L,L2
76753,R,R1
76754,N,N1
76755,W,W2
76756,W,W2
76757,D,D3
76758,F,F2
76759,W,W2
76760,R,R3
76761,F,F1
76762,B,B1
76763,N,N3
76764,B,B1
76765,B,B3
76766,D,D3
76767,U,U1
76768,U,U3
76769,M,M3
76770,D,D2
76771,N,N2
76772,L,L2
76773,F,F1
76774,K,K2
76775,G,G1
76776,L,L1
76777,B,B2
76778,B,B1
76779,U,U2
76780,U,U2
76781,U,U1
76782,D,D3
76783,L,L3
76784,M,M3
76785,E,E2
76786,R,R3
76787,M,M1
76788,U,U3
76789,L,L2
76790,C,C3
76791,D,D3
76792,S,S2
76793,F,F2
76794,S,S3
76795,U,U2
76796,B,B2
76797,U,U1
76798,B,B1
76799,B,B1
76800,M,M1
76801,M,M3
76802,L,L1
76803,F,F3
76804,U,U2
76805,L,L1
76806,F,F2
76807,J,J1
76808,L,L1
76809,J,J1
76810,S,S2
76811,B,B3
76812,D,D1
76813,N,N2
76814,L,L2
76815,D,D1
76816,D,D2
76817,D,D1
76818,M,M3
76819,O,O3
76820,G,G3
76821,L,L2
76822,K,K1
76823,W,W2
76824,E,E3
76825,U,U3
76826,W,W1
76827,F,F1
76828,U,U1
76829,U,U3
76830,L,L1
76831,G,G3
76832,U,U1
76833,E,E1
76834,N,N1
76835,B,B1
76836,B,B1
76837,U,U1
76838,N,N1
76839,M,M2
76840,O,O2
76841,N,N3
76842,W,W1
76843,K,K1
76844,K,K2
76845,W,W2
76846,K,K2
76847,R,R3
76848,F,F2
76849,U,U1
76850,R,R1
76851,Q,Q3
76852,K,K1
76853,W,W1
76854,E,E2
76855,G,G1
76856,K,K3
76857,E,E2
76858,W,W1
76859,W,W3
76860,Q,Q1
76861,D,D3
76862,J,J1
76863,C,C2
76864,G,G2
76865,B,B1
76866,D,D2
76867,C,C3
76868,E,E3
76869,B,B1
76870,G,G2
76871,R,R1
76872,D,D1
76873,E,E3
76874,E,E2
76875,S,S3
76876,B,B2
76877,M,M2
76878,E,E2
76879,B,B1
76880,L,L1
76881,F,F3
76882,R,R2
76883,M,M2
76884,U,U2
76885,Q,Q3
76886,N,N3
76887,O,O2
76888,Q,Q3
76889,W,W3
76890,E,E3
76891,U,U3
76892,U,U3
76893,W,W3
76894,J,J2
76895,E,E3
76896,E,E3
76897,B,B2
76898,J,J2
76899,W,W2
76900,B,B2
76901,S,S2
76902,J,J1
76903,K,K2
76904,S,S3
76905,F,F3
76906,R,R3
76907,C,C3
76908,W,W1
76909,L,L3
76910,K,K3
76911,R,R1
76912,F,F3
76913,D,D2
76914,O,O3
76915,F,F3
76916,W,W2
76917,E,E1
76918,W,W1
76919,R,R1
76920,B,B1
76921,G,G1
76922,Q,Q2
76923,G,G2
76924,G,G2
76925,M,M1
76926,M,M2
76927,F,F2
76928,M,M1
76929,K,K1
76930,K,K3
76931,Q,Q3
76932,D,D2
76933,R,R2
76934,E,E1
76935,E,E2
76936,W,W3
76937,U,U3
76938,B,B2
76939,E,E3
76940,J,J3
76941,E,E3
76942,K,K2
76943,E,E1
76944,N,N3
76945,E,E2
76946,U,U1
76947,S,S2
76948,D,D1
76949,C,C3
76950,M,M3
76951,K,K1
76952,S,S2
76953,R,R2
76954,D,D1
76955,F,F2
76956,E,E2
76957,U,U3
76958,L,L3
76959,U,U3
76960,N,N3
76961,M,M2
76962,J,J2
76963,E,E1
76964,E,E3
76965,W,W1
76966,E,E3
76967,E,E3
76968,U,U3
76969,N,N1
76970,N,N1
76971,Q,Q2
76972,U,U3
76973,J,J2
76974,Q,Q1
76975,C,C1
76976,C,C3
76977,J,J1
76978,U,U3
76979,W,W2
76980,Q,Q3
76981,Q,Q3
76982,B,B1
76983,K,K1
76984,W,W1
76985,B,B1
76986,N,N1
76987,,
76988,C,C3
76989,D,D2
76990,D,D3
76991,U,U3
76992,L,L2
76993,W,W1
76994,J,J2
76995,Q,Q1
76996,E,E3
76997,S,S3
76998,U,U3
76999,B,B3
77000,F,F1
77001,F,F3
77002,L,L3
77003,D,D1
77004,B,B2
77005,B,B3
77006,R,R1
77007,L,L3
77008,R,R3
77009,K,K3
77010,W,W3
77011,B,B2
77012,U,U3
77013,U,U3
77014,S,S3
77015,C,C3
77016,R,R3
77017,J,J2
77018,M,M1
77019,U,U2
77020,O,O3
77021,R,R1
77022,E,E2
77023,,
77024,M,M3
77025,G,G3
77026,G,G1
77027,E,E1
77028,D,D2
77029,J,J2
77030,R,R1
77031,D,D2
77032,C,C3
77033,W,W3
77034,Q,Q3
77035,M,M3
77036,F,F2
77037,E,E2
77038,O,O3
77039,W,W2
77040,E,E2
77041,U,U2
77042,K,K1
77043,D,D2
77044,U,U3
77045,D,D1
77046,Q,Q1
77047,Q,Q1
77048,D,D1
77049,Q,Q3
77050,S,S1
77051,K,K2
77052,Q,Q1
