id,title,description,media,measurements,Public_Art_Data_id
265,Black Sun,'Large carved black donut-shape standing on end.',Brazilian black granite,"110""x37""",
266,Untitled,"'Abstract sculpture consisting of thin bars criss-crossing each other with small, round and conical shapes attached, scattered throughout work.'",Bronze (?),"48""X60""X12""",
267,Untitled,'Bronze gates integrated with brick wall entrance to the library.',Bronze,,
268,Barbet,'Gray stone sculpture that faintly resembles a bird.',Carved boulder,"19""X34""X25""",
269,Fu,'Two sculptured concrete Chinese lions on inscribed pedestals.',Sculptured concrete,"55""X20""X29"" EACH",
270,Fountain Of Creation,"'Three separate art works: ""evolution of man / tree of life""; ""flight of gulls""; and ""seaweed"" in cast bronze placed in an undulating basin that is 40x120'.'","Bronze, colored concrete",,
271,Fountain Of The Northwest,"'Welded assemblage of bold cast bronze shapes evocative of the rocks, forests  and waterfalls of the NW, conduits carry water throughout the sculpture which has been tapped into at multiple points to create a cloak around the sculpture.'",Welded cast bronze,"20'6x11'x10'6""",
272,Playform,'',Concrete,,
273,Mother Reading with Child,"'Abstract bronze wall sculpture showing a figure sitting on a chair with its legs crossed at the ankles, reading to a child on its lap.'",Cast bronze,"54""X34""X6""",
274,Activity in Growth,"'Cut out pieces of flat metal twisted, bent and embossed, then accented with steel-rod filigree and a rich brown color.  The shapes imitate growing and moving natural forms.'","Sheet metal, steel rod","5'6""x9'10""",
275,Water Into Electricity (That Man May Use It Freely),"'Inlaid glass mosaic inspired by Emile Zola's words:  ""One day will come when electricity will be for everyone as the waters of the rivers and the winds of Heaven.  It should not merely be supplied, but lavished, that men may use it at their will as the air they breathe.""'",Venetian glass tile; grout,Over 256 square feet,
276,American Youth and Freedom,"'Mural depicts youth engaged in various activities and reads ""Laurence Colman pool""'",Paint on board,,
277,Dr. Mark A. Matthews,'Cast bronze bust of pastor of First Presbyterian Church in Seattle in 1902.',Cast bronze,"3'6""H",
278,Story of North Island (Totem Pole),"'Traditional Haida Totem, unpainted'",Carved cedar,"40'x2'10x2""",
279,American Doughboy Bringing Home Victory,'Sculptured cast bronze statue of a soldier in fatigues on a sculptured rock granite base; memorial to the World War I veteran soldier.',Bronze,12'H,
280,Judge Thomas Burke,'Granite column memorial bears Judge Burke's profile in bronze.  The rest of the memorial concentrates on symbolic references to his career.  It is flanked by two classical heroic figures:  justice and a Greco-Roman Indian.  ',"Granite, marble, bronze",13'H,
281,Prefontaine Fountain,"'Seattle's first public fountain, a shallow basin covered with blue tile, with stone animal figures around the rim.'","Granite, blue tile",,
282,Hiker Memorial Statue,'',Cast bronze,H: 14',
283,Untitled,'Sculptural frieze on retaining wall with women (three graces) and animals (lions).',Concrete,5.5'X23.5',
284,Sherwood Gillespie,"'A four-foot granite pedestal flanked on each side by small bronze drinking fountains and topped by a small bronze statue of a golfer, the bowls of the drinking fountains are encircled  by bronze fish.'","Bronze, granite","5'7""H",
285,Pergola,'Cast iron and glass pergola designed as both a shelter for trolley passengers and as the entrance to a large underground public comfort station.',"Cast iron, glass",YESLER WY & 1ST AVE,
286,Chief Seattle Fountain,'Bronze bust of Chief Seattle adorning a cast iron fountain basin.',"Bronze, cast iron","72"" height 53"" diameter",
287,Governor John Harte Mcgraw,"'Realistic historical statue of John H. McGraw, Washington state's second governor, standing on a granite base.'",Bronze,,
288,William H. Seward,'Realistic historic statue of William Seward standing on a granite base.',Bronze,,
289,South Park Lights,'Community-inspired designs illuminate the exterior western wall of the South Park Branch Library.',,,
290,The Unity and Oneness of all,"'ASSEMBLAGE SEWN ENTIRELY BY HAND FROM ARTIFICAL FUR AND  OTHER FABRICS, SHOWING A PLAY OF IMAGINARY CREATURES WITH BOTH   HUMAN AND ANIMAL CHARCTERISTICS; IT CONSISTS OF ONE LARGE, CENTRAL, ""MOTHER"" FIGURE SURROUNDED BY AND CONNECTED TO, MANY   SMALL AND'","Fabric, artificial fur",,
291,Dragonfly Pavilion and Garden,'A large red-bronze sculptural dragonfly hovers over a terrazzo seating area. Surrounding teh seating area are wing-shaped water-wise garden areas demonstrating salmon friendly and water-wise gardening techniques.',,,
292,Garden Path,'Concrete play sculptures and ceramic inserts of leaves and handprints incorporated into pathway.',Ceramic; concrete,,
293,Japanese Lantern,"'Japanese lantern of five identical, but successively smaller pagodas standing atop one another.'",Granite,18',
294,Chinese Grand Pavilion,'Wooden canopy in a Chinese architectural style',"Carved, painted wood",,
295,Sun and Raven (Totem),'',"Carved, painted cedar",(H)35',
296,Tsonqua (Totem),'',"Carved, painted cedar",(H)13',
297,Tree Bench,"'Made of colored mortar, concrete and stainless steel inlays, Tree Bench takes the shape of a tree sliced in half lengthwise, floating above the ground and inviting visitors to sit on its trunk and branches.'",,,
298,Children of the Sea,"'mixed-media installation of recycled and reclaimed copper features three 5-foot by 3-foot African-American cherub-like figures that ""swim"" among patinated seaweed and vines on the west interior wall of the library addition.'",,,
299,Points of View,"'28ft. Sculpture comprised of two conical forms, one suspended directly above the other so that the point of the hanging cone and that of the standing cone almost touch each other. The bronze cone is fabricated so that it responds to air current and vibrations.'","Granite, bronze, limestone, and sandblasted quartzite",28' x 3' x 3' Sculpture 29' x 18' curved wall,
300,Waterway 15,'Artist integrated the history of north Lake Union from Native American times to the present into a narrative which is woven through this street end park.',,Photographs/STONES,
301,Cornerstone,'Cast stone relief',Cast stone,"27.625x33.125""",
302,Angie's Umbrella,'A wind-generated kinetic sculpture of red umbrella at the intersection of Lenora and Western in Belltown.',"Stainless steel, powder coated aluminum and cast urethane",30' x 45' diameter,
303,Neighbors,"'Multi-colored ceramic people, animals and wood cutouts of homes; window seat symbolizes a road through the community and a separate design swirls around the tan ceramic floor symbolizing the whirlwind of activity in the community.'","Ceramic, wood","10'2x25'x16'8""",
304,Human Forms in Balance,'',Black steatite,,
305,Kobe Bell,"'Cast bronze bell in wooden temple. Inscribed in Japanese and English:  ""Presented by the people of Kobe to the people of Seattle as a symbol of friendship.  May this bell ring forever signifying friendship between the nations of the United States and Japan.”'","Cast bronze, wood",,
306,Untitled Bird-Bath,'Cube-form steel bird bath with blue enamel square top area  on which water collects; slightly raised spiral design on west face of cube',"Corten steel, enamel","24x24x24""",
307,Skylight Aperture Sundial,"'Five colored glass discs in the ceiling, held in place by steel brackets, which project colorful spotlights that float through the library as the sun moves across the sky.'",,,
308,Untitled,"'Fused glass screen of multi-faceted and vari-colored glass pieces, walnut frame.  Epoxied to the top of a wood bookcase.'","Fused glass, walnut",,
309,SAMARA,"'The 18-foot-tall tapered steel pole features clusters of seed pods dangling from branches. The pods, inspired by the helicopter seed pods of maple trees, are made of fiberglass.'",,,
310,Duets for Animals and People,"'Outdoor audio Installation:  five sound-equipped benches programmed to play a composition/story written by the artist about the senses of sight, smell, and hearing, or about linking people and animals in a natural setting.  '","Wood, steel, audio equipment","EA BENCH: 30""X70""X21"", EA SPKR: 6.5""X9.75""X6.5""",
311,Sundial,"'Low cylindrical platform with a cone in the center, covered with ceramic tile in crescents of color which indicate seasons.'","Concrete, ceramic tile",,
312,Duck Windvane,"'Red, yellow, and green flying duck on a swivel pole of aggregate surrounded at the base with four bronze duck feet set in the sidewalk.'","Concrete, aluminum",,
313,Junior League of Seattle Playground Compass Rose,'Mosaic inlaid in concrete that replicates a compass rose and nautical/aviation themes.  These themes are to commemorate the site's use as a naval air station.',Mosaic inlaid in concrete,,
314,Straight Shot,"'12 six-foot ink jade limestone columns placed precisely along this baseline. Drilled into each stone are two circular holes that allow visitors literally a straight shot of views of the surrounding park, reinforcing the use of the baseline.'",,,
315,Big Tesla,"'Big Tesla is a sculptural portrait of Nikolai Tesla, who pioneered alternating current. Hand cut ceramic tile mosaic covers the concrete sculpture and renders the features of the head. Plantings provide ""hair"" out of the top of the planter.'",,,
316,Lake City Gateway,,"Concrete, wire, painted steel",,
