id,Type,Description,Value
3012367,SEPA THRESHOLD DETERMINATION,"Land Use Application to allow a new minor communication utility and installation of 12 panel antennas and equipment cabinets on the roof of an existing retail, residential, office building (Verizon Wireless).",$1.00
3012083,SEPA THRESHOLD DETERMINATION,Land Use Application to allow an expansion of a minor communication utility (AT&T) consisting of three panel antennas and supporting equipment all within new shrouds on the rooftop of an existing multifamily structure.,$15000.00
3011957,"DESIGN REVIEW WITH EDG, SEPA THRESHOLD DETERMINATION","Land Use Application to allow a five-story, 59,111 sq. ft. multifamily structure containing 62 residential units.  Parking for 36 vehicles to be provided below grade.  Existing structures to be demolished.",$11000000.00
3012419,ADMINISTRATIVE CONDITIONAL USE,Cancel per customer log 12-57,$1.00
3012393,LOT BOUNDARY ADJUSTMENT PLAT,"Land use application to adjust the boundary between two parcels of land. Proposed parcel sizes are: A) 5,232 sq.ft.,B) 9,015 sq. ft.",$0.00
3012407,SHORT PLAT,Land Use Application to subdivide one development site into two unit lots. The construction of residential units is being reviewed under Project #6277148. This subdivision of property is only for the purpose of allowing sale or lease of the unit lots.  Development standards will be applied to the original parcel and not to each of the new unit lots.,$0.00
3012361,"ADMINISTRATIVE CONDITIONAL USE, SEPA THRESHOLD DETERMINATION",Land Use Application to allow an expansion of a minor communication utility (AT&T) consisting of three panel antennas and supporting equipment all within new shrouds on the rooftop of an existing multifamily structure.,$15000.00
3012275,SEPA THRESHOLD DETERMINATION,Land Use Application to allow an expansion of a minor communication utility (AT&T) consisting of three panel antennas on the rooftop of an existing multifamily structure.,$15000.00
3012273,SEPA THRESHOLD DETERMINATION,Land Use Application to allow an expansion of a minor communication utility (AT&T) consisting of three panel antennas on the rooftop of an existing multifamily structure.,$15000.00
3001064,"DESIGN REVIEW WITH EDG, SEPA THRESHOLD DETERMINATION","Land Use Application to allow one, 6-story building containing 102 assisted living units and 1,445 sq. ft. of retail space.  Parking for 37 vehicles to be provided below grade.  Project includes 10,000 cu. yds. of grading. Existing structure to be demolished.",$16000000.00
3012380,SHORT PLAT,Land Use Application to subdivide one development site into four unit lots. The construction of residential units has been approved under Project #6129834. This subdivision of property is only for the purpose of allowing sale or lease of the unit lots. Development standards will be applied to the original parcel and not to each of the new unit lots.,$0.00
3008298,SEPA THRESHOLD DETERMINATION,4/7/2015 - CANCELLED CUSTOMER LOG #15-579,$0.00
3012381,ADMINISTRATIVE CONDITIONAL USE,CANCELED  Land Use Application to expand a minor communication utility by adding one new equipment cabinet on the roof of existing structure (AT&T Mobility). Equipment cabinet is serviced by a new fiber line from the from the property line via conduit to the roof of existing structure.  Existing minor communication utility to remain.,$25000.00
3012364,SEPA THRESHOLD DETERMINATION,CANCELLED PENDING FEES-10/3/14-RC,$1.00
3012243,"ADMINISTRATIVE CONDITIONAL USE, SEPA THRESHOLD DETERMINATION",Land Use Application to allow an expansion of a minor communication utility (AT&T) consisting of three panel antennas on the rooftop of an existing institution.,$15000.00
3012433,SHORT PLAT,Land Use Application to subdivide one development site into four unit lots. The construction of residential units has been approved under Project #6250744. This subdivision of property is only for the purpose of allowing sale or lease of the unit lots. Development standards will be applied to the original parcel and not to each of the new unit lots.,$0.00
3012373,SHORT PLAT,Land Use Application to subdivide one development site into four unit lots. The construction of residential units has been approved under Project #6158833. This subdivision of property is only for the purpose of allowing sale or lease of the unit lots.  Development standards will be applied to the original parcel and not to each of the new unit lots.,$0.00
3012434,LOT BOUNDARY ADJUSTMENT PLAT,"Land use application to adjust the boundary between two parcels of land. Proposed parcel sizes are:Y)7201 sq.ft., Z)8793.8 sq.ft.",$0.00
3012348,SHORT PLAT,Land Use Application to subdivide one development site into three unit lots. The construction of residential units has been approved under Project #6251448. This subdivision of property is only for the purpose of allowing sale or lease of the unit lots.  Development standards will be applied to the original parcel and not to each of the new unit lots.,$0.00
3012347,SHORT PLAT,Land Use Application to subdivide one development site into three unit lots. The construction of residential units has been approved under Project #6077808. This subdivision of property is only for the purpose of allowing sale or lease of the unit lots.  Development standards will be applied to the original parcel and not to each of the new unit lots.,$0.00
3012345,SEPA THRESHOLD DETERMINATION,Land Use Application to allow an expansion of a minor communication utility (AT&T) consisting of two panel antennas and supporting equipment on the rooftop of an existing multifamily structure.,$15000.00
3012333,SHORT PLAT,"Land Use Application to subdivide one parcel into two parcels of land.  Proposed parcel sizes are:  A) 5,758 sq. ft. and B) 5,806 sq. ft.  Existing structures to be demolished.",$0.00
3012192,SHORELINE DEVELOPMENT,"Shoreline Substantial Development Application to allow a 4,800 sq. ft. deck on the third floor of an existing commercial structure.",$190000.00
3012298,SEPA THRESHOLD DETERMINATION,"PROJECT HOLD 4/27/12 -- Land Use Application to allow the change of use of 157,154  sq. ft. of office and retail to 80,000 sq. ft. of laboratory and 77,154 sq. ft. of office (Fred Hutchinson Cancer Research Center).  Project includes expansion of the rooftop mechanical screening and reduction in parking spaces from 295 to 260 parking spaces.",$1000000.00
3011959,"DESIGN REVIEW WITH EDG, SEPA THRESHOLD DETERMINATION","Land Use Application to allow a seven-story structure containing 109 units over 6,000 sq. ft. of retail and eight live/work units.  Parking for 102 vehicles to be provided below grade.  Project includes 20,000 cu. yds. of grading.  Existing structures to be demolished.   Design Review and SEPA review for #3011959 to be conducted under #3011958.",$20000000.00
3011958,"DESIGN REVIEW WITH EDG, SEPA THRESHOLD DETERMINATION","Land Use Application to allow a seven-story structure containing 167 units over 6,000 sq. ft. of retail and eight live/work units.  Parking for 189 vehicles to be provided below grade.  Project includes 45,000 cu. yds. of grading.  Design Review and SEPA review for #3011959 to be conducted under #3011958.",$30000000.00
3012383,"SEPA THRESHOLD DETERMINATION, SHORELINE DEVELOPMENT","Shoreline Substantial Development Application to allow a 222 square foot expansion and repair of an existing marina pier walkway (Thunderbird Marina). Project includes repair of 26 pier piles, removal of 14 existing pier and mooring piles, replacement of five existing batter piles, repair of one batter pile, and installation of two new batter piles.",$160000.00
3012315,LOT BOUNDARY ADJUSTMENT PLAT,"Land use application to adjust the boundary between 11 Unit Lots resulting in 6 Unit Lots. Parcel sizes vary from 2791 sq.ft. to 3,488 sq.ft.",$0.00
3012363,"ADMINISTRATIVE CONDITIONAL USE, SEPA THRESHOLD DETERMINATION",Land Use Application to allow an expansion of a minor communication utility (AT&T) consisting of three panel antennas on the rooftop of an existing multifamily structure.,$10000.00
3012266,SHORT PLAT,"CANCELED    Land Use Application to subdivide one parcel into two parcels of land. Proposed parcel sizes are:  A) 3,998 sq. ft. and B) 3,998.1 sq. ft. Existing structures to be removed.",$0.00
3011289,ENVIRONMENTALLY CRITICAL AREA,CANCELLED DUE TO INACTIVITY 1/26/16 RC,$1.00
3012378,"DESIGN REVIEW WITH EDG, SEPA THRESHOLD DETERMINATION",REVISION OF #3006603,$6100000.00
3012262,SHORELINE DEVELOPMENT,CANCELLED DUE TO INACTIVITY 1/26/16 RC,$1.00
3012285,SEPA THRESHOLD DETERMINATION,Land Use Application to allow an expansion of a minor communication utility (AT&T) consisting of three panel antennas on the rooftop of an existing multifamily structure.,$10000.00
3012021,LOT BOUNDARY ADJUSTMENT PLAT,Canceled as expired - 11/25/2015 jh,$0.00
3012338,SEPA THRESHOLD DETERMINATION,"Land Use Application to demolish a 7,832 sq. ft. warehouse structure in an environmentally critical area.",$35000.00
3012260,VARIANCE,"Land Use Application to allow a 1,280 sq. ft. two-story addition to an existing two-story nursing home in a Lowrise 1 zone.",$128000.00
3012204,"ADMINISTRATIVE CONDITIONAL USE, SEPA THRESHOLD DETERMINATION",Land Use Application to allow an expansion of a minor communication utility (AT&T Wireless) consisting of three additional panel antennas mounted inside a 60' tall monopole.  Ancillary equipment to be installed near the base of the structure.,$15000.00
3012137,SEPA THRESHOLD DETERMINATION,Land Use Application to allow an expansion of a minor communication utility (AT&T) consisting of three panel antennas on the rooftop of an existing multifamily/commercial structure.,$15000.00
3012312,LOT BOUNDARY ADJUSTMENT PLAT,"Land use application to adjust the boundary between 11 Unit Lots resulting in 9 Unit Lots. Parcel sizes vary from 1,383 sq.ft. to 2,933   sq.ft.",$0.00
3012311,LOT BOUNDARY ADJUSTMENT PLAT,"Land use application to adjust the boundary between 19 Unit Lots resulting in 9 Unit Lots. Parcel sizes vary from 2,713sq.ft. to 3,436  sq.ft.",$0.00
3012279,"ADMINISTRATIVE CONDITIONAL USE, SEPA THRESHOLD DETERMINATION",Land Use Application to allow the expansion of a minor communication utility (AT&T) consisting of three panel antennas on an existing Seattle City Light transmission tower. Project includes the addition of ancillary equipment within the foot print of the tower.,$15000.00
3012272,ADMINISTRATIVE CONDITIONAL USE,"Project Cancelled 8/8/2012 -- Land Use Application to allow a 3-story, 2,700 sq. ft. expansion for new entry to existing institution (Phinney Neighborhood Center).  Project will provide a new interior elevator and minor alterations in existing building.  Portions of existing structure to be demolished. Eight additional surface parking spaces to be provided for a total of 151 parking spaces.",$1.00
3012331,SHORT PLAT,Land Use Application to subdivide one development site into seven unit lots. The construction of residential units has been approved under Project #6143224. This subdivision of property is only for the purpose of allowing sale or lease of the unit lots.  Development standards will be applied to the original parcel and not to each of the new unit lots.,$0.00
3012317,SHORT PLAT,"Land Use Application to subdivide one parcel into two parcels of land.  Proposed parcel sizes are:  Y) 7,211.7 sq. ft. and Z) 7,200.1 sq. ft.  Existing structure to remain.",$0.00
3012278,"ADMINISTRATIVE CONDITIONAL USE, SEPA THRESHOLD DETERMINATION",Land Use Application to allow the expansion of a minor communication utility (AT&T) consisting of three replacement panel antennas mounted on an existing Seattle City Light transmission tower. Project includes the addition of ancillary equipment on and within the footprint of the tower.,$15000.00
3010954,"DESIGN REVIEW WITH EDG, SEPA THRESHOLD DETERMINATION","Land Use Application to allow two, 3-story structures containing a total of 16 low income residential units. Project includes 1,250 cu. yds. of grading.",$3000000.00
3006169,VARIANCE,Land Use Application to allow a 2½ story (743 sq. ft.) addition to an existing single family residence.  Existing deck to be demolished and replaced.,$100000.00
3012379,SHORT PLAT,"Land Use Application to subdivide one parcel into two parcels of land. Proposed parcel sizes are: A) 3499 sq ft, and B) 1625 sq ft.  Existing residential structure is proposed to remain.",$0.00
3012087,SEPA THRESHOLD DETERMINATION,Land Use Application to allow an expansion of a minor communication utility (AT&T) consisting of three panel antennas on the rooftop of an existing commercial/multifamily structure.,$15000.00
3012310,LOT BOUNDARY ADJUSTMENT PLAT,"Land use application to adjust the boundary between 14 unit lots  resulting in 9 unit lots. Parcel sizes vary from 1,073 sq.ft. to 2,282 sq.ft.",$0.00
3012191,SHORT PLAT,"Land Use Application to subdivide one parcel of land containing two existing single family residences into two parcels with one single family residence on each. Proposed parcel sizes are:  A) 3,827 sq. ft. and B) 2,471 sq. ft.  Existing structures to remain.",$0.00
3008455,"DESIGN REVIEW WITH EDG, SEPA THRESHOLD DETERMINATION","Land Use Application to allow a five story building containing 40 apartment units. Parking for 32 vehicles to be provided within the structure. Project includes 2,000 cu. yds. of grading.  Existing structures to be demolished.",$4000000.00
3012188,"DESIGN REVIEW WITH EDG, SEPA THRESHOLD DETERMINATION","Land Use Application to allow a 27-story structure with 298 residential units over 921 sq. ft. of retail at grade.  Parking for 191 vehicles will be provided in six levels below grade. Existing 8,880 sq. ft. office building to be demolished.",$1.00
3012230,SEPA THRESHOLD DETERMINATION,Land Use Application to allow the relocation of the University of Washington Athletic Department's track and field from Husky Stadium,$6000000.00
3012236,SHORT PLAT,"CANCELED 10/14/2011    Land Use Application to subdivide one parcel containing two existing residences (one single family and one duplex) into two parcels land. Residences to remain.  Proposed parcel sizes are:  A) 3,955 sq. ft. and B) 3,048.1 sq. ft. Review includes unit lot subdivision of proposed Parcel A into two unit lots. The unit lot subdivision of property is only for the purpose of allowing sale or lease of the unit lots.  Development standards will be applied to the original parcel and",$0.00
3012128,SEPA THRESHOLD DETERMINATION,Land Use Application to allow the replacement of three existing panel antennas and the addition of one equipment module for an existing minor communication utility (AT & T) all on the rooftop of an existing multifamily structure.,$1.00
3011448,"DESIGN REVIEW WITH EDG, SEPA THRESHOLD DETERMINATION","Land Use Application to allow a 4-story building containing three  live/work units with 101 residential units above. Parking for 95 vehicles to be provided within the structure. Project includes 11,000 cu. yds. of grading and two driveways on 15th Ave NW. Existing structures to be demolished.",$6250000.00
3012045,SHORT PLAT,Land Use Application to subdivide one development site into two unit lots. The construction of residential units is being reviewed under Project #6274210. This subdivision of property is only for the purpose of allowing sale or lease of the unit lots.  Development standards will be applied to the original parcel and not to each of the new unit lots.,$0.00
3012384,VARIANCE,Land Use Application to allow a parking space for one vehicle in the required front yard of a single family residence.,$5000.00
3010429,"DESIGN REVIEW WITH EDG, SEPA THRESHOLD DETERMINATION",CANCELLED PER APPLICANT'S REQUEST 4/8/2014 JH,$4000000.00
3012202,SHORT PLAT,Land Use Application to subdivide one parcel into six unit lots in an environmentally critical area. (SEPA review conducted under #3012122) The construction of townhouses is being reviewed under Project #6273948. This subdivision of property is only for the purpose of allowing sale or lease of the unit lots.  Development standards will be applied to the original parcel and not to each of the new unit lots.,$0.00
3012152,VARIANCE,Land Use Application to allow a 12 foot tall retaining wall accessory to a single family residence (to permit work already completed).,$120000.00
3012099,SHORT PLAT,Land Use Application to subdivide one parcel into six unit lots in an environmentally critical area. (SEPA review conducted under #3012100). The construction of townhouses is being reviewed under Project #6273944. This subdivision of property is only for the purpose of allowing sale or lease of the unit lots.  Development standards will be applied to the original parcel and not to each of the new unit lots.,$0.00
3012290,LOT BOUNDARY ADJUSTMENT PLAT,"CANCELED 5/19/2011  Land use application to adjust the boundary between two parcels of land. Proposed parcel sizes are:A)3617.9 sq.ft,  B)3617.9 sq.ft.",$0.00
3012094,"ADMINISTRATIVE CONDITIONAL USE, SEPA THRESHOLD DETERMINATION",Land Use Application to allow the expansion of a minor communication utility (AT&T) consisting of three panel antennas and ancillary equipment on the rooftop of an existing multifamily structure.,$15000.00
3012086,SEPA THRESHOLD DETERMINATION,Land Use Application to allow the expansion of a minor communication utility (AT&T) consisting of three panel antennas and ancillary equipment on the rooftop of an existing multifamily structure.,$12000.00
3012132,SEPA THRESHOLD DETERMINATION,"Land Use Application to allow two, 6,048 sq. ft. single family dwelling units in an environmentally critical area. Parking for four vehicles will be provided on the site.",$1.00
3012020,"SEPA THRESHOLD DETERMINATION, SHORT PLAT","Land Use Application to subdivide one parcel into two parcels of land in an environmentally critical area. Proposed parcel sizes are: A) 2,494 sq. ft. and B) 2,496 sq. ft.  Existing structures to remain.",$0.00
3012117,"COUNCIL ACTION, SEPA THRESHOLD DETERMINATION","CANCELLED PER APPLICANT 10/1/14   Council Land Use Action to rezone 110,442 sq. ft. from IC-85 to SM-85 (1120 John St). Property is bounded on north and south by Thomas and John Streets, and on the east and west by Fairview Ave N and Boren Ave N.(CF# 311541)",$1.00
3012171,SEPA THRESHOLD DETERMINATION,Land Use Application to allow an expansion of a minor communication utility (AT&T). Six existing panel antennas will be replaced with three panel antenna for LTE service and three replacement panel antennas on the rooftop of an existing retail/multifamily structure.,$0.00
3012235,SHORT PLAT,Land Use Application to subdivide one development site into four unit lots. The construction of residential units has been approved under Project #6271034. This subdivision of property is only for the purpose of allowing sale or lease of the unit lots.  Development standards will be applied to the original parcel and not to each of the new unit lots.,$0.00
3012231,SHORT PLAT,Land Use Application to subdivide one development site into two unit lots. The construction of residential units is being reviewed under Project #6275775. This subdivision of property is only for the purpose of allowing sale or lease of the unit lots.  Development standards will be applied to the original parcel and not to each of the new unit lots.,$0.00
3012212,SEPA THRESHOLD DETERMINATION,"Land Use Application to allow four, 3-story structures, three with two residential units and one with one residential unit (totaling seven residential units).  Parking for eight vehicles to be provided within the structures.  Existing structures to be demolished.",$1285612.00
3012183,"SEPA THRESHOLD DETERMINATION, STREAMLINED ADMIN DESIGN RVW","Land Use Application to allow the renovation of Husky Stadium to replace the existing facility except for the north stands.  Project includes 122,000 cu. yds. of grading within the stadium foot print, the development of new structures for seating, programs and stadium support facilities, new sports medicine clinic and interior parking for 200 vehicles.  No increase of seating or reduction in parking is proposed. The removal of two exceptional trees has been approved. Draft and Final Supplementar",$250000000.00
3011964,"DESIGN REVIEW WITH EDG, SEPA THRESHOLD DETERMINATION",Land Use Application to allow a four-story structure containing 48 residential units above three live work units. Parking for 34 vehicles to be provided at grade.,$5000000.00
3011867,"DESIGN REVIEW WITH EDG, SEPA THRESHOLD DETERMINATION",Land Use Application to allow a four-story structure containing three live-work units at grade and 54 residential units above. Parking for 40 vehicles to be provided within the structure.,$5000000.00
3012159,"ADMINISTRATIVE CONDITIONAL USE, SEPA THRESHOLD DETERMINATION",Land Use Application to allow an expansion of a minor communication utility (AT&T) consisting of three panel antennas on the rooftop of an existing multifamily structure.,$15000.00
3012055,SHORT PLAT,"Land Use Application to subdivide two parcels into three parcels of land.  Proposed parcel sizes are:  A) 5,616 sq. ft.; B) 5,619 sq. ft. and C) 8,151 sq. ft.  Existing residence to remain.",$0.00
3011208,SEPA THRESHOLD DETERMINATION,"Land Use Application to demolish a 14,000 sq. ft. storage building and establish parking for 44 parking stalls for a total of 472 parking stalls accessory to Quality Food Center (QFC) in an environmentally critical area.",$75000.00
3012098,SHORT PLAT,Land Use Application to subdivide one development site into two unit lots. Review includes the construction of a second dwelling unit (single family residence) under Project #6177556. Existing single family residence to remain. This subdivision of property is only for the purpose of allowing sale or lease of the unit lots.  Development standards will be applied to the original parcel and not to each of the new unit lots.,$0.00
3011862,"SEPA THRESHOLD DETERMINATION, SHORELINE DEVELOPMENT",Shoreline Substantial Development Application to allow stormwater drainage and drainage repair. Project also includes 470 cu. yds. of grading.,$80000.00
3012096,"ADMINISTRATIVE CONDITIONAL USE, SEPA THRESHOLD DETERMINATION",Land Use Application to allow an expansion of a minor communication utility (AT&T) consisting of three panel antennas on the rooftop of an existing multifamily structure.,$15000.00
3012011,SHORT PLAT,"Land Use Application to subdivide one parcel into two parcels of land.  Proposed parcel sizes are:  A) 385,830 sq. ft. and B) 28,645 sq. ft.  Existing structures to remain.",$0.00
3012156,LOT BOUNDARY ADJUSTMENT PLAT,Land use application to adjust the boundary between eleven (11) Unit Lots resulting in six (6)Unit Lots.,$0.00
3012139,"ADMINISTRATIVE CONDITIONAL USE, SEPA THRESHOLD DETERMINATION",Land Use Application to allow an expansion of a minor communication utility (AT&T) consisting of three panel antennas on the rooftop of an existing multifamily structure.,$15000.00
3012111,ENVIRONMENTALLY CRITICAL AREA,"Land Use Application to allow a four-story 3,900 sq. ft. single family residence in an environmentally critical area.",$500000.00
3012090,"ADMINISTRATIVE CONDITIONAL USE, SEPA THRESHOLD DETERMINATION",Land Use Application to allow an expansion of a minor communication utility (AT&T) consisting of three panel antennas on the rooftop of an existing multifamily structure.,$15000.00
3011901,"SEPA THRESHOLD DETERMINATION, SHORELINE DEVELOPMENT","Shoreline Substantial Development Application to replace 250 sq. ft. of the existing bulkhead, removal of existing sand volleyball court and construction of a 1,800 sq. ft. pickleball court in an environmentally critical area (Seattle Tennis Club). Project also includes 573 cu. yds. of grading.",$350000.00
3011434,"DESIGN REVIEW WITHOUT EDG, SEPA THRESHOLD DETERMINATION","Land Use Application to allow a 7-story structure containing 102 residential units above four live work units. Parking for 86 vehicles to be provided within the proposed structure.   Project includes 6,500 cu. yds. of grading.  Early Design Guidance has been conducted under 2302124.",$12000000.00
3007157,SHORT PLAT,"Land Use Application to subdivide one parcel into three parcels of land.  Proposed parcel sizes are:  A) 3,372.9 sq. ft., B) 2,667.1 sq. ft.; and C) 1,926.5 sq. ft. Project also includes unit lot subdivision of Parcel A into two unit lots. Existing duplex to remain (constructed in 1943 under Permit #355736). The subdivision of Parcel A is only for the purpose of allowing sale or lease of the unit lots. Development standards for Parcel A will be applied to Parcel A as a whole and not to each of t",$0.00
3024267,SHORT PLAT,short plat site into two separate parcels,$0.00
3012031,LOT BOUNDARY ADJUSTMENT PLAT,"Land use application to adjust the boundary between two parcels of land in an environmentally critical area. Proposed parcel sizes are: A)132,763  sq.ft. and  B)5,323,486 sq.ft. Existing structures to remain.",$0.00
3012097,SEPA THRESHOLD DETERMINATION,Land Use Application to allow an expansion of a minor communication utility (AT&T) consisting of three panel antennas on the rooftop of an existing multifamily structure.,$15000.00
3012092,SEPA THRESHOLD DETERMINATION,Land Use Application to allow an expansion of a minor communication utility (AT&T) consisting of three panel antennas on the rooftop of an existing multifamily structure.,$15000.00
3011755,SHORT PLAT,"Land Use Application to subdivide one parcel into two parcels of land.  Proposed parcel sizes are: X) 12,744 sq. ft. and Y) 21,311 sq. ft.",$0.00
3012155,LOT BOUNDARY ADJUSTMENT PLAT,Land use application to adjust the boundary between eleven (11) Unit Lots resulting in nine (9)Unit Lots.,$0.00
3012165,SHORT PLAT,Land Use Application to subdivide one development site into three unit lots. The construction of residential units is being reviewed under Project #6262426. This subdivision of property is only for the purpose of allowing sale or lease of the unit lots.  Development standards will be applied to the original parcel and not to each of the new unit lots.,$0.00
3012147,ADMINISTRATIVE CONDITIONAL USE,"Land Use Application to allow a 1,677 sq. ft. change of use from Community Center to Child Care Center, Light House Montessori School.",$29000.00
3012169,SEPA THRESHOLD DETERMINATION,Land Use Application to allow an expansion of a minor communication utility (AT&T) consisting of three panel antennas on the rooftop of an existing commercial/multifamily structure.,$15000.00
3011995,"SEPA THRESHOLD DETERMINATION, SHORELINE DEVELOPMENT","Shoreline Substantial Development Application to relocate an existing 3,762 sq. ft. boatshed from 1341 N Northlake Way to 205 N Northlake Way in an environmentally critical area.",$400000.00
3012138,"ADMINISTRATIVE CONDITIONAL USE, SEPA THRESHOLD DETERMINATION",Land Use Application to allow an expansion of a minor communication utility (AT&T) consisting of three panel antennas on the rooftop of an existing multifamily structure.  Project includes rooftop equipment cabinet.,$1500.00
3012126,"ADMINISTRATIVE CONDITIONAL USE, SEPA THRESHOLD DETERMINATION",Land Use Application to allow an expansion of a minor communication utility (AT&T) consisting of three panel antennas on the rooftop of an existing multifamily structure.,$15000.00
3012093,SEPA THRESHOLD DETERMINATION,Land Use Application to allow an expansion of a minor communication utility (AT & T) consisting of three panel antennas on the rooftop of an existing retail/residential structure.,$15000.00
3010370,"DESIGN REVIEW WITH EDG, SEPA THRESHOLD DETERMINATION","Land Use Application to allow a 7-story building containing 236 residential units above 5,000 sq. ft. of ground level retail and three levels of parking to accommodate 204 vehicles. Existing structures to be demolished. Project includes excavation of 13,370 cu. yds. of soil. Proposed alley vacation has been submitted under Clerk File No. 311420.",$21000000.00
3012135,"ADMINISTRATIVE CONDITIONAL USE, SEPA THRESHOLD DETERMINATION",Land Use Application to allow an expansion of a minor communication utility (AT&T) consisting of three panel antennas on the rooftop of an existing multifamily structure.,$15000.00
3012106,LOT BOUNDARY ADJUSTMENT PLAT,"Land use application to adjust the boundary between two parcels of land. Proposed parcel sizes are: A) 3,934 sq. ft. and  B) 1,460 sq. ft.  Existing structure on proposed Parcel A to remain.",$0.00
3011560,"SEPA THRESHOLD DETERMINATION, SHORT PLAT","Land Use Application to subdivide one parcel into two parcels of land in an environmentally critical area. Proposed parcel sizes are: A) 5,292.4 sq. ft. and B) 5,102.9 sq. ft.  Existing single family residence to be demolished.",$0.00
3009932,"DESIGN REVIEW WITH EDG, SEPA THRESHOLD DETERMINATION","Land Use Application to allow a 13-story structure containing 132 residential units above 3,577 sq. ft. of retail at ground level. Parking for 76 vehicles to be provided below grade. Existing structure to be demolished under separate permit. Early Design Guidance was conducted under Project #3009506.",$0.00
3012216,SHORELINE CONDITIONAL USE,Cancelled due to lack of activity 2/24/2015 mgc.,$50000.00
3011969,SEPA THRESHOLD DETERMINATION,"Land Use Application to demolish 95,915 sq. ft. building (Harborview Hall). Project includes construction of new plaza.",$40000000.00
3012203,SHORT PLAT,Land Use Application to subdivide one development site into five unit lots. The construction of residential units is being reviewed under Project #6244005. This subdivision of property is only for the purpose of allowing sale or lease of the unit lots. Development standards will be applied to the original parcel and not to each of the new unit lots.,$0.00
3011487,"SEPA THRESHOLD DETERMINATION, SHORELINE DEVELOPMENT","Shoreline Substantial Development Application to allow the replacement of a 2,527 sq. ft. dock located partially overwater (already constructed).",$7500.00
3012085,"ADMINISTRATIVE CONDITIONAL USE, SEPA THRESHOLD DETERMINATION",Land Use Application to allow an expansion of a minor communication utility (AT&T) consisting of three panel antennas on the rooftop of an existing multifamily structure.,$15000.00
3012095,SEPA THRESHOLD DETERMINATION,Land Use Application to allow an expansion of a minor communication utility (AT&T) consisting of three panel antennas on the rooftop of an existing commercial/multifamily structure.,$15000.00
3012084,SEPA THRESHOLD DETERMINATION,Land Use Application to allow an expansion of a minor communication utility (AT&T) consisting of three panel antennas on the rooftop of an existing multifamily structure.,$15000.00
3012041,SHORT PLAT,Land Use Application to subdivide one development site into six unit lots.  The construction of residential structures is being reviewed under Project #6151937. This subdivision of property is only for the purpose of allowing sale or lease of the unit lots.  Development standards will be applied to the original parcel and not to each of the new unit lots.,$0.00
3008808,LOT BOUNDARY ADJUSTMENT PLAT,"Land use application to adjust the boundary between two parcels of land. Proposed parcel sizes are:  A)7,200 sq. ft. and  B)10,312.3 sq. ft. Existing structure to remain.",$0.00
3024266,,NEW SINGLE FAMILY RESIDENCE.,$0.00
3012036,ENVIRONMENTALLY CRITICAL AREA,"Land Use Application to allow a two-story, 3,265 sq. ft. single family residence in an environmentally critical area.",$500000.00
3011668,VARIANCE,Land Use Application to allow a future short plat creating one site less than minimum lot size.,$1.00
3010987,VARIANCE,Land Use Application to allow a detached 576 sq.ft. 2-car garage with a workshop basement in the required front yard.,$48000.00
3012149,LOT BOUNDARY ADJUSTMENT PLAT,Land use application to adjust the boundary between eleven (11) Unit Lots resulting in nine (9)Unit Lots.,$0.00
3012118,SHORT PLAT,Land Use Application to subdivide one development site into four unit lots. The construction of residential units has been approved under Project #6245492. This subdivision of property is only for the purpose of allowing sale or lease of the unit lots.  Development standards will be applied to the original parcel and not to each of the new unit lots.,$0.00
3012148,LOT BOUNDARY ADJUSTMENT PLAT,"Land use application to adjust the boundary between 11 Unit Lots resulting in 6 Unit Lots. Parcel sizes vary from 2,700 sq.ft. to 3,825 sq.ft.",$0.00
3011994,LOT BOUNDARY ADJUSTMENT PLAT,"Land use application to adjust the boundary between four parcels of land. Proposed parcel sizes are: A)13,328 sq.ft.; B)1,881 sq.ft; C) 23,376 sq. ft.; D) 164869 sq. ft. Existing structures to remain.",$0.00
3011425,"DESIGN REVIEW WITH EDG, SEPA THRESHOLD DETERMINATION","Land Use Application to allow a 4-story structure containing 4,710 sq. ft. of commercial space at ground level with 87 residential units above. Parking for 21 vehicles to be provided within the structure. Project includes 1,800 cu. yds. of grading.",$9000000.00
3011361,LOT BOUNDARY ADJUSTMENT PLAT,"Land use application to adjust the boundary between three parcels of land. Proposed parcel sizes are: A) 7,259 sq, ft, B) 5,210 sq. ft.",$0.00
3012150,SHORT PLAT,Land Use Application to subdivide one development site into six unit lots in an environmentally critical area.  The construction of residential units has been approved under Project #6100532. Environmental review has been conducted under 2502005. This subdivision of property is only for the purpose of allowing sale or lease of the unit lots.  Development standards will be applied to the original parcel and not to each of the new unit lots.,$0.00
3012127,"SEPA THRESHOLD DETERMINATION, SHORT PLAT",Land Use Application to subdivide one development site into two unit lots in an environmentally critical area. Review includes the construction of a second dwelling unit (single family residence) under Project #6252937. Existing townhouse to remain. This subdivision of property is only for the purpose of allowing sale or lease of the unit lots.  Development standards will be applied to the original parcel and not to each of the new unit lots.,$0.00
3011988,"ADMINISTRATIVE CONDITIONAL USE, SEPA THRESHOLD DETERMINATION","Land Use Application to allow the expansion of an existing institution (Seattle Preparatory School). Project includes parking for nine (9) school buses with new access off Boyer Avenue East and parking for two school buses with access off Delmar Drive East, in an environmentally critical area.  Project includes a fenced practice area and 3,900 cubic yards of grading.",$300000.00
