id,case_type,description,case_group
18643,HOUSING / ZONING,Complainant states a lounge and musical venue is in use on the property. Cmplnt has recorded video's and high decibel noise readings that show disturbances for the nearby residential uses.,ZONING
18644,CITATION,Violation of Weeds & Veg Ordinance.,WEEDS AND VEGETATION
18645,CITATION,Violation of Weeds & Vegetation Ord-,WEEDS AND VEGETATION
18646,CITATION,"02/26/09- E Jenkins-I observed outdoor junk storage such as but not limited to tires, rolls of material and miscellaneous items.  Vehicles parked it the required front and side yards and more than the allowed 3 vehicles on the property not in a enclosed area.",ZONING
18647,HOUSING / ZONING,Violations of the HBMC/See Case #1018619/inspec notes,HOUSING
18648,CITATION,Vegetation impacting the ROW.,WEEDS AND VEGETATION
18649,CITATION,2/27/09 E Jenkins- I observed two inoperable vehicles with tires blocked with stones and missing rear bumpers located in the rear yard.,ZONING
18650,CITATION,Violation of Land Use- Outdoor junk storage,ZONING
18651,CONSTRUCTION,PERMIT REQUIRED FOR PARKING PAD STRUCTURE ON STEEP SLOPE ECA,BUILDING
18652,HOUSING / ZONING,"Commercial vehicles parked on site, two dump trucks and a trackhoe, a small commercial vehicle  Big & Small hauling also on site along with a Jeep.  A large amount of fill on site, photos taken.",ZONING
18653,HOUSING / ZONING,Complaint concerns a couple of stalls not sized properly as per the Land Use Code and car parking impacting sidewalk use.,ZONING
18654,CITATION,Inspection shows vegetation encroaching into the sidewalk.,WEEDS AND VEGETATION
18655,CITATION,Violation of land Use- Outdoor junk storage and parking in required front yard.,ZONING
18656,CITATION,Weeds and Vegetation Ordinance Violation,WEEDS AND VEGETATION
18657,CITATION,Inspection shows outdoor junk storage such as but not limited to wood in the rear yard and miscellaneous items in the front and side yards.,ZONING
18658,CITATION,Vegetation growing over the sidewalk.,WEEDS AND VEGETATION
18659,CITATION,Violation of Land use- Parking of seven vehicles in required yards.,ZONING
18660,CITATION,Vegetation growing over the sidewalk.,WEEDS AND VEGETATION
18661,CITATION,Vegetation growing over the sidewalk.,WEEDS AND VEGETATION
18662,CITATION,"Inspections shows outdoor junk storage such as but not limited to tires, toilet, wood, cabinets and other miscellaneous items.",ZONING
18663,CONSTRUCTION,PERMIT REQUIRED FOR ELECTRICAL WORK IN BATHROOMS,ELECTRICAL
18664,CONSTRUCTION,PERMIT REQUIRED FOR ROCKERY,BUILDING
18665,CITATION,Violations of Weeds & Vegetation Ordinance,WEEDS AND VEGETATION
18666,CITATION,Vegetation over the sidewalk.,WEEDS AND VEGETATION
18667,CITATION,Inspection shows outdoor junk storage such as but not limited to wood and other miscellaneous items located in the driveway.,ZONING
18668,HOUSING / ZONING,Inspection shows light in the rear yard directed towards alley and neighboring properties.,ZONING
18669,CITATION,Violation of Weeds & Vegetation Ord-,WEEDS AND VEGETATION
18670,HOUSING / ZONING,VIOLATION OF THE SEATTLE HOUSING AND BUILDING MAINTENANCE CODE OBSERVED (BROKEN GALZING IN BEDROOM WINDOW),HOUSING
18671,CITATION,"Inspection shows vegetation encroaching into the public right of way, the street.",WEEDS AND VEGETATION
18672,HOUSING / ZONING,Warning on HBMC,HOUSING
18673,CITATION,Inspection shows outdoor junk storage such as but not limited to inoperable vehicle on the property.,ZONING
18674,CITATION,Violation of Land Use- Home Occupation,ZONING
18675,CITATION,Inspection shows outdoor junk storage such as but not limited to tires and miscellaneous items.,ZONING
18676,HOUSING / ZONING,Open to entry ; outdoor storage.,VACANT BUILDING
18677,CITATION,Weeds and Vegetation Ordinance Violation,WEEDS AND VEGETATION
18678,CITATION,NS inspected the property on 2/24/09- Weeds and vegetation violation. Vegetation encroaching into the sidewalk.,WEEDS AND VEGETATION
18679,CITATION,NS inspected the property on 2/24/09- Low hanging tree branch encroaching into the alley.,WEEDS AND VEGETATION
18680,CITATION,Jumping the curb to park both a boat and an RV.,ZONING
18681,CITATION,VIOLATION OF THE SEATTLE LAND USE AND ZONING CODE OBSERVED (VEHICLES PARKED IN REQUIRED FRONT  YARD SF LOT).,ZONING
18682,UNFIT BUILDING OR PREMISES,unfit single family residence,HOUSING
18683,CITATION,NS inspected the property on 2/24/09- inspection shows weeds and vegetation violation. Low hanging tree branch hanging low in the alley.,WEEDS AND VEGETATION
18684,CITATION,VIOLATION OF THE SEATTLE LAND USE AND ZONING CODE OBSERVED (5 VEHICLES PARKED OUTDOORS ON THE  SF LOT).,ZONING
18685,CITATION,"NS inspected the property on 2/24/09- Inspection shows outdoor junk storage including but not limited to boxes, appliances and misc. junk stored in the side and front yard.",ZONING
18686,CONSTRUCTION,REVISED PLANS WITH A SURVEY MUST BE SUBMITTED SHOWING DECK IN RELATION TO PROPERTY LINE,BUILDING
18687,CITATION,Inspection shows pile of rocks located in the driveway/easement.,ZONING
18688,CONSTRUCTION,PERMIT REQUIRED FOR RETAINING WALLS IN STEEP SLOPE ECA,BUILDING
18689,CITATION,VIOLATION OF THE SEATTLE LAND USE AND ZONING CODE OBSERVED (THREE TV'S DUMPED ON VACANT LOT).,ZONING
18690,CITATION,VIOLATION  OF THE SEATTLE WEEDS AND VEGETATION  ORDINANCE OBSERVED (OVERGROWTH OVERHANGING THE OBSTRUCTING PUBLIC USE OF STREET ALONG 21 ST AVENUE S.)T OOK PHOTOS.,WEEDS AND VEGETATION
18691,CITATION,junk on sf property,ZONING
18692,HOUSING / ZONING,2nd dwelling on sf lot discontinued,ZONING
18693,CITATION,Violation of Land use- Outdoor junk storage,ZONING
18694,CITATION,VIOLATION  OF THE SEATTLE WEEDS AND VEGETATION  ORDINANCE OBSERVED (OVERGROWTH OBSTRUCTING PUBLIC USE OF THE BETWEEN 39TH AVENUE S AND S SULLIVAN ST.)TOOK PHOTOS.,WEEDS AND VEGETATION
18695,HOUSING / ZONING,Unit 20 unauthorized floats & cantilevers > 161 sq. ft.,ZONING
18696,HOUSING / ZONING,Unit 19 unauthorized float & cantilever 193 sq. ft.,ZONING
18697,HOUSING / ZONING,Unit 18 unauthorized floats 189 sq. ft.,ZONING
18698,CITATION,Land Use Code Violation,ZONING
18699,CITATION,Violation of Land Use- Outdoor junk storage,ZONING
18700,HOUSING / ZONING,"Inspection shows housing code violations, such as but not limited to cracks in the ceiling of the through the unit, deteriorated caulking around the tub, signs on the wall behind the toilet, water damage wall covering around the bathroom sink and other miscellaneous items.",HOUSING
18701,CONSTRUCTION,PROVIDE A REPORT FROM STRUCTURAL ENGINEER EVALUATING THE STABILITY OF THE AWNING--IF REPAIRS ARE REQUIRED THEY MUST BE DONE WITH A BUILDING PERMIT,BUILDING
18702,CONSTRUCTION,Loose brick has been removed from deteriorating chimney on south side of house. As of 3/6/09 scaffolding was in place and chimney repair was almost complete.,BUILDING
18703,CITATION,Violation of Land Use- Outdoor junk storage,ZONING
18704,CITATION,Violation of Weeds & Vegetation Ord-,WEEDS AND VEGETATION
18705,CITATION,Violation of Weeds & Veg Ordinance-,WEEDS AND VEGETATION
18706,CITATION,Violation of Weeds & Veg Ordinance-,WEEDS AND VEGETATION
18707,CITATION,Four vehicles on the property 3 in the sideyard and one in the front yard. photos taken. bg,ZONING
18708,CITATION,Motor home parked in the front yard and a pickup truck parked in the side yard - both appear inoperable. Plastic buckets and assorted household debris located in the front yard. photos taken. bg,ZONING
18709,HOUSING / ZONING,VIOLATION OF THE SEATTLE LAND USE AND ZONING CODE CONFIRMED (MOTOR HOME STORED ON PROPERTY BY NON-RESIDENT).,ZONING
18710,CITATION,"Site visit, no trespassing sign posted on the fence.  Photos taken from S. Augusta St. Bags of garbage all down the slope on the west side of the residence. A vehicle just west of the entrance along with junk and debris.  photos taken. bg",ZONING
18711,CITATION,"Planting strip is all mud/dirt, grass has been removed due to driving through the planting strip to park.  Only one vehicle allowed in the front yard to be parked in the paved driveway. photos taken.",ZONING
18712,CITATION,VIOLATION  OF THE SEATTLE WEEDS AND VEGETATION OBSERVED (OVERGROWTH OBSTRUCTING PUBLIC USE OF THE BETWEEN 19TH AVE S AND 20TH AVE S). TOOK PHOTOS.,WEEDS AND VEGETATION
18713,CITATION,"Two vehicles in the front yard, a van and camper trailer in rear yard and a boat in the planting strip.  photos taken",ZONING
18714,HOUSING / ZONING,"Dump trucks and trailers on site, track hoe and construction debris.  Photos taken.",ZONING
18715,CITATION,VIOLATION  OF THE SEATTLE WEEDS AND VEGETATION OBSERVED (OVERGROWTH OBSTRUCTING PUBLIC USE OF THE BETWEEN 19TH AVE S AND 20TH AVE S). TOOK PHOTOS.,WEEDS AND VEGETATION
18716,HOUSING / ZONING,Violation of Land use- Failure to comply with the terms of the owner occupancy certification.,ZONING
18717,CITATION,"Vegetation overgrown onto the sidewalk, photos taken. bg",WEEDS AND VEGETATION
18718,CITATION,Violation of Land use- Outdoor junk storage,ZONING
18719,CITATION,"Inspection shows massive outdoor junk storage such as but not limited to luggage, paint cans, pile of miscellaneous items in front, side, back yards and driveway.",ZONING
18720,CITATION,severe junk storage in sf zone,ZONING
18721,CONSTRUCTION,PERMIT REQUIRED FOR REMODEL,BUILDING
18722,HOUSING / ZONING,Violations of the Seattle HBMC. photos taken,HOUSING
18723,HOUSING / ZONING,"Several violations of the Seattle HBMC in Unit 102, the apartment laundry room and the exterior hall outside of Unit 102. photos taken",HOUSING
18724,HOUSING / ZONING,Inspection shows no required permanent heat source provided for the home.,HOUSING
18725,HOUSING / ZONING,HBMC Violation,HOUSING
18726,CONSTRUCTION,PERMITS REQUIRED FOR REMODEL,BUILDING
18727,CITATION,Vegetation over the sidewalk.,ZONING
18728,CONSTRUCTION,MANAGER NEEDS TO HIRE ELECTRICAL CONTRACTOR AND GET PERMIT TO CORRECT THE NON-CONFORMING ELECTRICAL WORK,ELECTRICAL
18729,VACANT BUILDING MONITORING,"Inspected vacant property, open to entry and weather.",VACANT BUILDING
18730,CONSTRUCTION,Required permit & inspections never obtained for constructing a deck & stairs in a required side yard on a site mapped as a Steep Slope & Potential Slide Environmentally Critical Area (ECA).,BUILDING
18731,CONSTRUCTION,REMODEL REQUIRES PERMITS,BUILDING
18732,HOUSING / ZONING,VIOLATION OF THE SEATTLE LAND USE AND ZONING CODE OBSERVED (EXTERIOR LIGHTING IS NOT SHIELDED AND DIRECTED AWAY FROM ADJACENT USES).,ZONING
18733,CONSTRUCTION,PERMIT REQUIRED FOR NEON SIGN,SIGNS
18734,HOUSING / ZONING,Inspection show rear door of the house open to entry.,ZONING
18735,CONSTRUCTION,SIGNS HAVE BEEN INSTALLED THAT ARE NOT INCLUDED IN PERMIT #6132027--MUST BE REMOVED,SIGNS
18736,VACANT BUILDING MONITORING,Inspection show rear door of the house open to entry.,VACANT BUILDING
18737,HOUSING / ZONING,"Litter, trash, homeless encampment detritus, inoperable vehicles ( a Ford Ranger pickup), broken glass, broken limbs and car parts.",ZONING
18738,HOUSING / ZONING,Property open to entry.,VACANT BUILDING
18739,CITATION,"Two large piles at the front of the duplex, construction debris, furniture and carpet. Photos taken. bg",ZONING
18740,VACANT BUILDING MONITORING,"Rear entry door unsecured; deterioration, at least 5 vehicles stored on site; collapsed garage.",VACANT BUILDING
18741,CITATION,VIOLATION  OF THE SEATTLE WEEDS AND VEGETATION OBSERVED (OVERGROWTH OBSTRUCTING PUBLIC USE OF THE BETWEEN 19TH AVE S AND 20TH AVE S),WEEDS AND VEGETATION
18742,CITATION,VIOLATION  OF THE SEATTLE WEEDS AND VEGETATION OBSERVED (OVERGROWTH OBSTRUCTING PUBLIC USE OF THE BETWEEN 19TH AVE S AND 20TH AVE S),WEEDS AND VEGETATION
18743,CITATION,Land Use Code Violation,ZONING
18744,CITATION,Occupied; vehicles parked in front yard; outdoor storage.,ZONING
18745,HOUSING / ZONING,SPOKE WITH RALPH SIU - SFD - HE WILL IS INVESTIGATING FIRE SAFETY ISSUES.,ZONING
18746,CITATION,Vegetation over the street. Six properties.,WEEDS AND VEGETATION
18747,CITATION,Vegetation impacting the sidewalk.,WEEDS AND VEGETATION
18748,CITATION,"VIOLATION OF THE SEATTLE LAND USE AND ZONING CODE OBSERVED (MATTRESSES, SCRAP PAPER,PLASTIC AND DEBRIS ON VACANT LOT).",ZONING
18749,CITATION,A hedge growing over the sidewalk.,WEEDS AND VEGETATION
18750,HOUSING / ZONING,Issuance of a deficient notice to terminate tenancy in violation of the Just Cause Eviction Ordinance SMC 22.206.160.C,JUST CAUSE EVICTION
18751,CITATION,Outdoor junk storage and piles of cut brush. No sign of a homeless encampment.,ZONING
18752,CITATION,"VIOLATION OF THE SEATTLE LAND USE AND ZONING CODE OBSERVED (MATTRESSES, COMPUTER MONITOR IN THEYARDS ).",ZONING
18753,CITATION,"Tree limbs over sidewalk and in the planting strip.  This was originally sent to the wrong address. (SR 25029)  Site visit was conducted on 01/13/09, photos in file. bg",WEEDS AND VEGETATION
18754,CITATION,"VIOLATION OF THE SEATTLE LAND USE AND ZONING CODE OBSERVED (AUTO TIRES, SCRAP PAPER, APPLIANCES AND OTHER JUNK STORAGE IN YARDS ).",ZONING
18755,VACANT BUILDING MONITORING,Secure; deterioration; outdoor & vehicle storage.,VACANT BUILDING
18756,HOUSING / ZONING,Unit 17 unauthorized float 189 sq. ft.,ZONING
18757,HOUSING / ZONING,Unit 16 unauthorized float & cantilever 254 sq. ft.,ZONING
18758,HOUSING / ZONING,Unit 15 unauthorized floats & cantilevers 216 sq. ft.,ZONING
18759,HOUSING / ZONING,Unit 14 unauthorized floats & cantilevers 278 sq. ft.,ZONING
18760,HOUSING / ZONING,"Unauthorized accessory float, approx. 195 square feet.",ZONING
18761,HOUSING / ZONING,"Inspected vacant property, open to entry and weather.",ZONING
18762,HOUSING / ZONING,The garage located at the front of the house along 12th Ave SW has been enclosed.  There is also a driveway up to what is now the enclosed garage.  A garage is also located at the rear of the property with a driveway off of SW Kenyon St.  photo taken,ZONING
18763,HOUSING / ZONING,Violations of HBMC.,HOUSING
18764,HOUSING / ZONING,Inspection shows the vacant house open to elements.,HOUSING
18765,CONSTRUCTION,STOP WORK ISSUED--PERMIT REQUIRED FOR REMODEL,BUILDING
18766,HOUSING / ZONING,Inspected w/Editha Constales. Many housing violations,HOUSING
18767,CITATION,"Tree limbs in the planting strip along S Warsaw St, encroaching onto the sidewalk. photos taken. bg",WEEDS AND VEGETATION
18768,HOUSING / ZONING,Inspection shows no required permanment heat source provide for the home.,HOUSING
18769,CITATION,"Vegetation encroaching onto the sidewalk along Latona Ave NE, photo taken. bg",WEEDS AND VEGETATION
18770,HOUSING / ZONING,Secure; no rear access; outdoor storage; veg. overgrowth; deterioration.,VACANT BUILDING
18771,CITATION,zoning/ HOUSE IS OWNER OCCUPIED,ZONING
18772,CITATION,Vegetation overgrown onto the sidewalk along Latona Ave NE and branches hanging over the fence along Woodlawn Ave NE.  photos taken. bg,WEEDS AND VEGETATION
18773,HOUSING / ZONING,Violation: Bright light in alley service area/glare/needs shielding.,ZONING
18774,CITATION,Weeds and Vegetation Ordinance Violation,WEEDS AND VEGETATION
18775,CITATION,VIOLATION OF LAND USE & ZONING CODE.,ZONING
18776,CITATION,Violation: Outdoor junk storage in rear yard.,ZONING
18777,CITATION,"Violation of Land Use- Outdoor junk storage including but not limited to lumbers, appliances and possible inoperable car in rear yard.",ZONING
18778,HOUSING / ZONING,"Inspection shows housing code violations such as but not limited to missing weather stripping around entry doors, deteriorated chalking around the tub, leaking faucet in the kitchen and other miscellaneous items.",HOUSING
18779,CITATION,Violation of Land Use Code/Outdoor Junk Storage.,ZONING
18780,HOUSING / ZONING,HBMC violations,HOUSING
18781,CITATION,Vehicle & boat in req'd front yd,ZONING
18782,CONSTRUCTION,Permit 6208109 was issued 2/17/09 and received final approval 3/12/09 for work originally started without a permit and inspections.,BUILDING
18783,HOUSING / ZONING,This was a parking on the planting strip complaint but the curb cut needs to be restored because it is not being used anymore. The curb cut should have been restored when the house was demolished and rebuilt.,ZONING
18784,HOUSING / ZONING,2/2/09/Inspec:Possible Violation of Land Use Code/Research Required.,ZONING
18785,CONSTRUCTION,PERMIT REQUIRED FOR REPAIR OF BUILDING EXTERIOR,BUILDING
18786,HOUSING / ZONING,Emergency Order to Close and Vacate for No water service,HOUSING
18787,HOUSING / ZONING,"Multiple small housing issues including a small tub leak, ungrounded outlets and a piece of loose Formica in the bathroom.",HOUSING
18788,CITATION,"Inspection shows outdoor junk storage such as but not limited to buckets, plastic tubs and other miscellaneous items.",ZONING
18789,HOUSING / ZONING,Violation of Land Use-  illegal dwelling unit in the basement-,ZONING
18790,HOUSING / ZONING,Parking spaces are being used for storage of boxes of produce and the handicap parking in front of Min Tam's Market is also being used for storage of produce and hand carts.  photos taken  bg,ZONING
18791,CITATION,Inspection shows solid fence exceeds the allow height of 6'.,ZONING
18792,HOUSING / ZONING,Unit 12 unauthorized float >396 sq. ft.,ZONING
18793,HOUSING / ZONING,Unit 11 unauthorized cantilevers total approx. 263 sq. ft.,ZONING
18794,HOUSING / ZONING,Unit 10 unauthorized float & cantilever total 232 sq. ft.,ZONING
18795,HOUSING / ZONING,Unit 9 unauthorized cantilevers total 141 sq. ft.,ZONING
18796,CITATION,Inspection shows vegetation encroaching onto the sidewalk.,WEEDS AND VEGETATION
18797,HOUSING / ZONING,Unit 8 unauthorized floats & cantilevers total >80 sq. ft.,ZONING
18798,CITATION,NS inspected the property on 2/12/09- Inspection shows a blue truck license plate number A27139S parked in the side yard.also a brown jeep and a covered vehicle parked in the rear yard.,ZONING
18799,CONSTRUCTION,"Zoning approval, plan review, permits & inspections required for remodel, large addition & additional dwelling units being constructed without permits. STOP WORK ORDER posted 2/11/09. Replacing all plumbing & mechanical requires permits & inspections too.",BUILDING
18800,HOUSING / ZONING,"The roof sheathing, viewed from the opened ceiling in unit 306 is badly damaged and leaking. The swimming pool fence is rotting and the pool in inoperable.",HOUSING
18801,CITATION,Home occupation and outdoor storage issues.,ZONING
18802,CONSTRUCTION,PERMIT REQUIRED FOR TRIPLEX REMODEL,BUILDING
18803,CONSTRUCTION,INSPECTOR OBSERVED SIGNS OF BASEMENT REMODEL,BUILDING
18804,CONSTRUCTION,PERMIT IS REQUIRED TO BUILD RETAINING WALL IN ECA,BUILDING
18805,CONSTRUCTION,PERMIT REQUIRED FOR CONSTRUCTION OF RETAINING WALL IN ECA,BUILDING
18806,HOUSING / ZONING,Unit 7 unauthorized floats >280 sq. ft total,ZONING
18807,HOUSING / ZONING,Unit 6 unauthorized cantilevers 101 sq. ft. total,ZONING
18808,HOUSING / ZONING,Unit 3 unauthorized cantlevered decks 102 sq. ft total approx,ZONING
18809,CITATION,VIOLATION OF THE SEATTLE LAND USE AND ZONING CODE OBSERVED (AUTO PARTS ON TOP OF TRUNK).,ZONING
18810,CONSTRUCTION,PERMITS ARE REQUIRED FOR REMODEL,BUILDING
18811,CITATION,Outdoor storage of a couple of hundred items.,ZONING
18812,VACANT BUILDING MONITORING,"Open to entry, deterioration, outdoor storage.",VACANT BUILDING
18813,CONSTRUCTION,"BUILDING, ELECTRICAL AND PLUMBING  PERMITS ARE REQUIRED",BUILDING
18814,CONSTRUCTION,PERMIT REQUIRED FOR ROOF FRAMING REPAIR AND TWO WINDOWS,BUILDING
18815,HOUSING / ZONING,The tenant was shocked by touching the power panel.,HOUSING
18816,CITATION,VIOLATION OF THE SEATTLE WEEDS AND VEGETATION ORDINANCE OBSERVED (OVER GROWTH OBSTRUCTING PUBLIC USE OF THE SIDEWALK ALONG  S MOUNT BAKER BLVD.,WEEDS AND VEGETATION
18817,HOUSING / ZONING,35 sq. ft. cantilever,ZONING
18818,HOUSING / ZONING,2 x 24 deck on west side of floating home; no permits,ZONING
18819,CITATION,Vegetation encroaching on the sidewalk along NW 85th St and 24th Ave NW. photos taken.,WEEDS AND VEGETATION
18820,CITATION,"Site visit, hedge on both NW 85th St and 24th Ave NW encroaching onto the sidewalk.  photos taken. bg",WEEDS AND VEGETATION
18821,CITATION,VIOLATION OF THE SEATTLE WEEDS AND VEGETATION ORDINANCE OBSERVED (OVER GROWTH OBSTRUCTING PUBLIC USE OF THE SIDEWALK ALONF  S MOUNT BAKER BLVD.,WEEDS AND VEGETATION
18822,CITATION,Numerous violations.  Off street parking has been removed.  House is unsafe.  Excessive overgrowth of shrubery.,ZONING
18823,HOUSING / ZONING,"Open to entry; outdoor storage; items being buried, picture in file.",VACANT BUILDING
18824,HOUSING / ZONING,"Inspected property, observed violation of Vacant Building Standards. PR",VACANT BUILDING
18825,TENANT RELOCATION ORDINANCE,Application for a Tenant Relocation License.  Total units: 1; Total units occupied: 1.  Demolition.,
18826,HOUSING / ZONING,"Inspection shows outdoor junk storage such as but not limited to car seats, cots, water jugs and other miscellaneous items.",HOUSING
18827,CITATION,One vehicle in the driveway at the front of the property and 3 vehicles at the rear.  Vehicles in the rear do not meet required setbacks for a reversed corner lot.  photos taken,ZONING
18828,HOUSING / ZONING,"Land Use violation, illegal use",ZONING
18829,CITATION,Land Use Code Violation,ZONING
18830,CITATION,Weeds and Vegetation Ordinance Violation,WEEDS AND VEGETATION
18831,CONSTRUCTION,NEW ELECTRICAL CONDUIT ON NORTH SIDE OF HOUSE REQUIRES ELECTRICAL PERMIT,ELECTRICAL
18832,HOUSING / ZONING,Issuance of a deficient notice to terminate tenancy in violation of the Just Cause Eviction Ordinance.,JUST CAUSE EVICTION
18833,HOUSING / ZONING,"VIOLATION OF THE SEATTLE LAND USE AND ZONING CODE CONFIRMED (AUTO TIRE, SCRAP WOOD, PLASTIC BAGS AND OTHER MATERIALS IN YARDS OF RESTAURANT FOR MORE THAN 72 HOURS).",ZONING
18834,CITATION,"citation violations: pking, outdoor junk salvage",ZONING
18835,HOUSING / ZONING,using art studio as 2nd dwelling unit on lot,ZONING
18836,HOUSING / ZONING,HBMC violations,HOUSING
18837,CONSTRUCTION,Permit 6211647 was issued 4/15/09 and received final approval 10/2/09 for work originally started without a permit.,BUILDING
18838,CITATION,"Construction debris, tires, an number of mattresses and assorted household debris, a van parked on the vacant lot and a small addition being added to the rear of the building.",ZONING
18839,CITATION,Vegetation overgrown onto the sidewalk. photos taken.,WEEDS AND VEGETATION
18840,HOUSING / ZONING,Duplex open to entry.,VACANT BUILDING
18841,CITATION,VIOLATION OF THE SEATTLE LAND USE AND ZONING CODE OBSERVED (TWO VEHICLES IN SIDE YARD ON LDT LOT (ONE HAS FRONT DRIVER SIDE FLAT TIRE).,ZONING
18842,CITATION,"outdoor salvage, pking in req'd front yd and over 3 vehs, warning with owner on site 1/30/09, w due 2/24/09.",ZONING
18843,HOUSING / ZONING,Lack of Approved water service,HOUSING
18844,CITATION,"Inspected property, observed violation of Land Use Code.",ZONING
18845,CITATION,Vegetation overgrown on to the sidewalk along Delridge Way SW. photos taken.,WEEDS AND VEGETATION
18846,CITATION,Vegetation overgrown and encroaching over the sidewalk along Delridge Way SW.  photo taken,WEEDS AND VEGETATION
18847,CITATION,Vegetation overgrown onto the sidewalk along Delridge Way SW. photos taken,WEEDS AND VEGETATION
18848,CITATION,A sofa and miscellaneous furniture and junk at the rear of the property. photos taken,ZONING
18849,CONSTRUCTION,STOP PUMPING WATER TO ALLEY--INSTALL SILT FENCE AND OTHER EROSION CONTROL MEASUREES,SITE
18850,CITATION,"Toys and excercise equipment in the planting strip, buckets and tree limbs in the driveway and wood debris on deck and stairs. photos taken",ZONING
18851,HOUSING / ZONING,"salvage & junk being dumped on site, business in C1-40 zone",ZONING
18852,HOUSING / ZONING,VIOLATION OF THE SEATTLE LAND USE AND ZONING CODE OBSERVED. VEHICLES AND TRAILERS PARKED ON VACANT LOTB IN LDT ZONE.,ZONING
18853,CITATION,outdoor junk storage,ZONING
18854,CITATION,"Vehicle covered in tarp, appears inoperable tires off and laying on the ground, auto parts on the driveway.  photos taken.",ZONING
18855,TENANT RELOCATION ORDINANCE,Application for a Tenant Relocation License.  Total units: 1; total units occupied: 1.  Demolition.,
18856,HOUSING / ZONING,Inspection shows water service has been disconnected.,HOUSING
18857,CITATION,"VIOLATION OF THE SEATTLE LAND USE AND ZONING CODE OBSERVED (WATER HEATER, AND DEBRIS IN YARD OF L3 ZONE).",ZONING
18858,CITATION,Extensive outdoor junk storage in the back of the property.,ZONING
18859,CITATION,INSPECTED PROPERTY WITH OWNER/OCCUPANT ALBERT PRESENT.HE SAID UHAUL TRUCK HAS A DEAD BATTERY AND WAS NOT REPLACED BECAUSE OF PROBLEMS WITH TRESSPASSERS & VANDALISM.HE WILL CHARGE BATTERY OR REMOVE VEHICLE FROM PROPERTY. UPHOLSTERED CHAIR WILL ALSO BE REMOVED FROM YARD.,ZONING
18860,CITATION,"Vegetation encroaching on to the sidewalk along N 80th St and tree branches overhanging street at the corner.  Research of the internet notes Card Cafe at this address, with 1 to 5 employees.  No evidence of Home Occ while on site, one vehicle in the driveway. Junk located at the side of the house near the driveway",WEEDS AND VEGETATION
18861,CITATION,"VIOLATION OF THE SEATTLE LAND USE AND ZONING CODE OBSERVED (AUTO TIRES, SCRAP WOOD, GLASS AND OTHER MATERIALS IN THE YARDS).",ZONING
18862,HOUSING / ZONING,Small garage door & adjacent window unsecured.,VACANT BUILDING
18863,CITATION,Vegetation obstructing the sidewalk along Fremont Ave N. photos taken,WEEDS AND VEGETATION
18864,CITATION,Large shrub obstructing the sidewalk along NW 60th St.  photos taken,WEEDS AND VEGETATION
18865,CITATION,"VIOLATION OF THE SEATTLE LAND USE AND ZONING CODE OBSERVED (HOUSEHOLD GOODS, AUTO TIRE AND OTHER MATERIALS IN THE YARDS THE YARDS).",ZONING
18866,HOUSING / ZONING,Open to entry with outdoor storage & deflected accessory structure; picture in file.,VACANT BUILDING
18867,CITATION,"VIOLATION OF THE SEATTLE LAND USE AND ZONING CODE OBSERVED (MATTRESS, SOFA AND OTHER MATERIALS IN THE YARDS).ABANDONED VEHICLE IS NOT ON PRIVATE PROPERTY.",ZONING
18868,CITATION,"VIOLATION OF THE SEATTLE LAND USE AND ZONING CODE OBSERVED (MATTRESS, SOFA AND OTHER MATERIALS IN THE YARDS).",ZONING
18869,TENANT RELOCATION ORDINANCE,Issuance of an Owner's Certification of Exemption/Tenant Relocation License.  Total units: 1; total units occupied: 0. Demolition.,
18870,HOUSING / ZONING,NS inspected the property on 12/29/08- inspection shows outdoor junk storage including but not limited to appliances and piles of wood debris and more misc.items stored in the required front yard.,ZONING
18871,CITATION,"Inspected property, observed violation of Land Use Code.",ZONING
18872,HOUSING / ZONING,"Inspection shows outdoor junk storage such as but not limited to car seats, cots, water jugs and other miscellaneous items.",HOUSING
18873,HOUSING / ZONING,"House is vacant, windows broken and unsecure.  Junk and debris on the property along with 4 vehicles, one identified as stolen and the police removed from the property on 01/28/09. Property posted with a notice to vacate along with a notice re: Corporate owned property - for sale with Brown Real Estate Group 206.306.9196 photos taken. bg",VACANT BUILDING
18874,HOUSING / ZONING,Building open to entry.,VACANT BUILDING
18875,HOUSING / ZONING,Building open to entry.,VACANT BUILDING
18876,HOUSING / ZONING,VIOLATION OF THE SEATTLE LAND USE AND ZONING CODE OBSERVED (TIRES DUMPED ON VACANT LOT AT SE CORNER OF 23RD AVENUE S AND S GRAND ST.,ZONING
18877,HOUSING / ZONING,Housing violation. Per Andy Roach (SHA manager) and Rasheena Thomas bedbugs present in this unit.,HOUSING
18878,CONSTRUCTION,Temporary Erosion & Sedimentation Control (TESC) is per Permit 6127648 as of 9/10/09.,SITE
18879,HOUSING / ZONING,Heat shut-off for non-payment.,HOUSING
18880,HOUSING / ZONING,Both building entry doors & the crawl space are open to entry.,VACANT BUILDING
18881,CONSTRUCTION,FOUNDATION AND FRAMING HAVE BEEN COMPLETED--PERMIT NOT YET ISSUED,BUILDING
18882,CONSTRUCTION,STOP WORK POSTED--PERMIT REQUIRED FOR EXTERIOR REPAIR,BUILDING
