id,applicant_id,permit_type,decision_type,design_review_included,status
5196,,LOT BOUNDARY ADJUSTMENT PLAT,I,N,Permit Finaled
5197,,SHORT PLAT,II,N,Permit Finaled
5198,,"ADMINISTRATIVE CONDITIONAL USE, SEPA THRESHOLD DETERMINATION",II,N,Permit Closed
5199,,"ENVIRONMENTALLY CRITICAL AREA, SEPA THRESHOLD DETERMINATION",II,N,Permit Issued
5200,,SHORT PLAT,II,N,Permit Closed
5201,,SHORT PLAT,II,N,Permit Closed
5202,,"DESIGN REVIEW, SEPA THRESHOLD DETERMINATION",II,Y,Permit Closed
5203,,LOT BOUNDARY ADJUSTMENT PLAT,I,N,Permit Finaled
5204,,LOT BOUNDARY ADJUSTMENT PLAT,I,N,Permit Finaled
5205,,SHORT PLAT,II,N,Permit Finaled
5206,,SHORT PLAT,II,N,Permit Finaled
5207,,SIDEWALK CAFE,I,N,Permit Closed
5208,,SHORT PLAT,II,N,Permit Finaled
5209,,SHORT PLAT,II,N,Permit Finaled
5210,,"SEPA THRESHOLD DETERMINATION, SHORT PLAT",II,N,Permit Finaled
5211,,SHORT PLAT,II,N,Permit Finaled
5212,,SEPA THRESHOLD DETERMINATION,II,N,CANCELLED
5213,,SEPA THRESHOLD DETERMINATION,II,N,Permit Closed
5214,,SHORT PLAT,II,N,Permit Finaled
5215,,SHORT PLAT,II,N,Permit Finaled
5216,,SHORT PLAT,II,N,CANCELLED
5217,,"SEPA THRESHOLD DETERMINATION, SHORELINE DEVELOPMENT",II,N,Permit Issued
5218,,SHORT PLAT,II,N,Permit Finaled
5219,,SHORT PLAT,II,N,Permit Finaled
5220,,"COUNCIL ACTION, SEPA THRESHOLD DETERMINATION",IV,N,Permit Closed
5221,,SEPA THRESHOLD DETERMINATION,II,N,Permit Closed
5222,,SEPA THRESHOLD DETERMINATION,II,N,Permit Closed
5223,,SHORT PLAT,II,N,Permit Finaled
5224,,SHORT PLAT,II,N,Permit Finaled
5225,,SHORT PLAT,II,N,CANCELLED
5226,,VARIANCE,II,N,CANCELLED
5227,,"SEPA THRESHOLD DETERMINATION, SHORT PLAT",II,N,Permit Finaled
5228,,SHORT PLAT,II,N,CANCELLED
5229,,COUNCIL ACTION,V,N,CANCELLED
5230,,LOT BOUNDARY ADJUSTMENT PLAT,I,N,Permit Closed
5231,,SHORT PLAT,II,N,Permit Finaled
5232,,SHORT PLAT,II,N,Permit Finaled
5233,,SHORT PLAT,II,N,Permit Finaled
5234,,SEPA THRESHOLD DETERMINATION,II,N,Permit Closed
5235,,SEPA THRESHOLD DETERMINATION,II,N,Permit Closed
5236,,SEPA THRESHOLD DETERMINATION,II,N,Permit Closed
5237,,SHORT PLAT,II,N,CANCELLED
5238,,SHORT PLAT,II,N,Permit Closed
5239,,SEPA THRESHOLD DETERMINATION,II,N,Permit Closed
5240,,SHORT PLAT,II,N,Permit Finaled
5241,,SHORT PLAT,II,N,Permit Finaled
5242,,"SEPA THRESHOLD DETERMINATION, SHORT PLAT",II,N,Permit Closed
5243,,"OTHER LAND USE ACTIONS, SEPA THRESHOLD DETERMINATION",II,N,CANCELLED
5244,,"SEPA THRESHOLD DETERMINATION, SHORELINE DEVELOPMENT, VARIANCE",II,N,Permit Issued
5245,,"ADMINISTRATIVE CONDITIONAL USE, SEPA THRESHOLD DETERMINATION",II,N,Permit Closed
5246,,SEPA THRESHOLD DETERMINATION,II,N,Permit Issued
5247,,SHORT PLAT,II,N,CANCELLED
5248,,"SEPA THRESHOLD DETERMINATION, SHORELINE DEVELOPMENT",II,N,CANCELLED
5249,,SHORT PLAT,II,N,CANCELLED
5250,,SHORT PLAT,II,N,Permit Finaled
5251,,SHORT PLAT,II,N,Permit Closed
5252,,SHORT PLAT,II,N,Permit Finaled
5253,,SHORT PLAT,II,N,Permit Finaled
5254,,SEPA THRESHOLD DETERMINATION,II,N,Permit Closed
5255,,"ADMINISTRATIVE DESIGN REVIEW, SEPA THRESHOLD DETERMINATION",II,Y,Permit Closed
5256,,SHORT PLAT,II,N,Permit Finaled
5257,,SHORT PLAT,II,N,Permit Finaled
5258,,SHORT PLAT,II,N,CANCELLED
5259,,SEPA THRESHOLD DETERMINATION,II,N,Permit Closed
5260,,"DESIGN REVIEW WITH EDG, SEPA THRESHOLD DETERMINATION",II,Y,CANCELLED
5261,,SHORT PLAT,II,N,Permit Finaled
5262,,SHORT PLAT,II,N,Permit Finaled
5263,,SHORT PLAT,II,N,Permit Finaled
5264,,VARIANCE,II,N,Permit Issued
5265,,SHORT PLAT,II,N,CANCELLED
5266,,SEPA THRESHOLD DETERMINATION,II,N,CANCELLED
5267,,SIDEWALK CAFE,I,N,Permit Closed
5268,,SHORT PLAT,II,N,Permit Finaled
5269,,SHORT PLAT,II,N,Permit Finaled
5270,,SHORT PLAT,II,N,Permit Finaled
5271,,LOT BOUNDARY ADJUSTMENT PLAT,I,N,Permit Finaled
5272,,LOT BOUNDARY ADJUSTMENT PLAT,I,N,Permit Finaled
5273,,SHORT PLAT,II,N,Permit Finaled
5274,,SHORT PLAT,II,N,Permit Finaled
5275,,SEPA THRESHOLD DETERMINATION,II,N,Permit Issued
5276,,SEPA THRESHOLD DETERMINATION,II,N,CANCELLED
5277,,"OTHER LAND USE ACTIONS, SEPA THRESHOLD DETERMINATION",II,N,Permit Closed
5278,,SHORT PLAT,II,N,Permit Finaled
5279,,SEPA THRESHOLD DETERMINATION,II,N,Permit Closed
5280,,SEPA THRESHOLD DETERMINATION,II,N,Permit Closed
5281,,SEPA THRESHOLD DETERMINATION,II,N,Permit Closed
5282,,SHORT PLAT,II,N,Permit Closed
5283,,SEPA THRESHOLD DETERMINATION,II,N,Permit Closed
5284,,SHORT PLAT,II,N,Permit Finaled
5285,,SEPA THRESHOLD DETERMINATION,II,N,Permit Closed
5286,,"DESIGN REVIEW WITH EDG, SEPA THRESHOLD DETERMINATION",II,Y,Permit Closed
5287,,SEPA THRESHOLD DETERMINATION,II,N,Permit Issued
5288,,SHORT PLAT,II,N,Permit Finaled
5289,,SHORT PLAT,II,N,Permit Finaled
5290,,SHORT PLAT,II,N,Permit Finaled
5291,,SHORT PLAT,II,N,Permit Finaled
5292,,SEPA THRESHOLD DETERMINATION,II,N,Permit Closed
5293,,"DESIGN REVIEW WITH EDG, SEPA THRESHOLD DETERMINATION",II,Y,CANCELLED
5294,,"DESIGN REVIEW WITH EDG, SEPA THRESHOLD DETERMINATION",II,Y,Permit Issued
5295,,LOT BOUNDARY ADJUSTMENT PLAT,I,N,Permit Finaled
5296,,"SEPA THRESHOLD DETERMINATION, SHORELINE DEVELOPMENT",II,,Permit Closed
5297,,ADMINISTRATIVE CONDITIONAL USE,II,N,Permit Closed
5298,,ADMINISTRATIVE CONDITIONAL USE,II,N,CANCELLED
5299,,LOT BOUNDARY ADJUSTMENT PLAT,I,N,Permit Finaled
5300,,SHORT PLAT,II,N,Permit Finaled
5301,,SHORT PLAT,II,N,Permit Finaled
5302,,SEPA THRESHOLD DETERMINATION,II,N,Permit Closed
5303,,SHORT PLAT,II,N,CANCELLED
5304,,SHORT PLAT,II,N,Permit Finaled
5305,,"DESIGN REVIEW WITH EDG, SEPA THRESHOLD DETERMINATION",II,Y,Permit Finaled
5306,,LOT BOUNDARY ADJUSTMENT PLAT,I,N,CANCELLED
5307,,SEPA THRESHOLD DETERMINATION,II,N,Permit Closed
5308,,LOT BOUNDARY ADJUSTMENT PLAT,I,N,Permit Finaled
5309,,SHORT PLAT,II,N,Permit Finaled
5310,,SEPA THRESHOLD DETERMINATION,II,N,Permit Issued
5311,,SHORT PLAT,II,N,CANCELLED
5312,,"SEPA THRESHOLD DETERMINATION, SHORELINE DEVELOPMENT",II,N,Permit Closed
5313,,LOT BOUNDARY ADJUSTMENT PLAT,I,N,Permit Finaled
5314,,SEPA THRESHOLD DETERMINATION,II,N,Permit Closed
5315,,SHORT PLAT,II,N,CANCELLED
5316,,SHORT PLAT,II,N,CANCELLED
5317,,"DESIGN REVIEW WITH EDG, SEPA THRESHOLD DETERMINATION",II,Y,Permit Issued
5318,,"COUNCIL ACTION, SEPA THRESHOLD DETERMINATION",IV,N,Permit Closed
5319,,VARIANCE,II,N,CANCELLED
5320,,SEPA THRESHOLD DETERMINATION,II,N,Permit Issued
5321,,"DESIGN REVIEW WITH EDG, SEPA THRESHOLD DETERMINATION",II,Y,Permit Issued
5322,,SHORT PLAT,II,N,Permit Finaled
5323,,LOT BOUNDARY ADJUSTMENT PLAT,I,N,Permit Finaled
5324,,SHORT PLAT,II,N,Permit Closed
5325,,SHORT PLAT,II,N,Permit Finaled
5326,,VARIANCE,II,N,Permit Closed
5327,,SHORT PLAT,II,N,Permit Finaled
5328,,SHORT PLAT,II,N,Permit Finaled
5329,,TEMPORARY LAND USE,II,N,Permit Finaled
5330,,LOT BOUNDARY ADJUSTMENT PLAT,I,N,CANCELLED
5331,,SEPA THRESHOLD DETERMINATION,II,N,Permit Issued
5332,,SHORT PLAT,II,N,Permit Finaled
5333,,LOT BOUNDARY ADJUSTMENT PLAT,I,N,Permit Finaled
5334,,SHORT PLAT,II,N,Permit Finaled
5335,,SHORT PLAT,II,N,Permit Finaled
5336,,SHORT PLAT,II,N,Permit Finaled
5337,,LOT BOUNDARY ADJUSTMENT PLAT,I,N,CANCELLED
5338,,"ENVIRONMENTALLY CRITICAL AREA, SEPA THRESHOLD DETERMINATION",II,,Permit Finaled
5339,,"ENVIRONMENTALLY CRITICAL AREA, SEPA THRESHOLD DETERMINATION",II,,Permit Finaled
5340,,"SEPA THRESHOLD DETERMINATION, SHORELINE DEVELOPMENT",II,N,Permit Closed
5341,,SEPA THRESHOLD DETERMINATION,II,N,Permit Issued
5342,,SHORT PLAT,II,N,Permit Finaled
5343,,SHORT PLAT,II,N,Permit Finaled
5344,,SHORT PLAT,II,N,CANCELLED
5345,,SHORT PLAT,II,N,Permit Finaled
5346,,SHORT PLAT,II,N,Permit Finaled
5347,,SHORT PLAT,II,N,Permit Finaled
5348,,SHORT PLAT,II,N,Permit Finaled
5349,,SEPA THRESHOLD DETERMINATION,II,N,Permit Closed
5350,,"ADMINISTRATIVE DESIGN REVIEW, SEPA THRESHOLD DETERMINATION",II,Y,Permit Closed
5351,,SEPA THRESHOLD DETERMINATION,II,N,Permit Closed
5352,,SHORT PLAT,II,N,CANCELLED
5353,,"DESIGN REVIEW WITH EDG, SEPA THRESHOLD DETERMINATION",II,Y,Permit Issued
5354,,"DESIGN REVIEW WITH EDG, SEPA THRESHOLD DETERMINATION",II,Y,CANCELLED
5355,,SHORT PLAT,II,N,Permit Closed
5356,,SHORT PLAT,II,N,Permit Finaled
5357,,SHORT PLAT,II,N,Permit Finaled
5358,,SHORT PLAT,II,N,Permit Finaled
5359,,SHORT PLAT,II,N,Permit Finaled
5360,,"DESIGN REVIEW WITH EDG, SEPA THRESHOLD DETERMINATION",II,Y,Permit Issued
5361,,SHORT PLAT,II,N,Permit Finaled
5362,,"SEPA THRESHOLD DETERMINATION, SHORT PLAT",II,N,Permit Finaled
5363,,VARIANCE,II,N,Permit Closed
5364,,VARIANCE,II,N,Permit Closed
5365,,"DESIGN REVIEW WITH EDG, SEPA THRESHOLD DETERMINATION",II,Y,Permit Issued
5366,,SEPA THRESHOLD DETERMINATION,II,N,Permit Closed
5367,,LOT BOUNDARY ADJUSTMENT PLAT,I,N,Permit Finaled
5368,,SHORT PLAT,II,N,CANCELLED
5369,,DESIGN REVIEW WITHOUT EDG,II,N,CANCELLED
5370,,"SEPA THRESHOLD DETERMINATION, SHORT PLAT",II,N,Permit Finaled
5371,,"ENVIRONMENTALLY CRITICAL AREA, SEPA THRESHOLD DETERMINATION",II,N,Permit Issued
5372,,LOT BOUNDARY ADJUSTMENT PLAT,I,N,Permit Finaled
5373,,SHORT PLAT,II,N,Permit Finaled
5374,,SHORT PLAT,II,N,Permit Finaled
5375,,"ADMINISTRATIVE CONDITIONAL USE, SEPA THRESHOLD DETERMINATION",II,N,Permit Issued
5376,,"DESIGN REVIEW WITH EDG, SEPA THRESHOLD DETERMINATION",II,Y,CANCELLED
5377,,"DESIGN REVIEW, SEPA THRESHOLD DETERMINATION",II,Y,Permit Closed
5378,,LOT BOUNDARY ADJUSTMENT PLAT,I,N,Permit Finaled
5379,,"COUNCIL ACTION, SEPA THRESHOLD DETERMINATION",V,N,CANCELLED
5380,,SHORT PLAT,II,N,Permit Finaled
5381,,"DESIGN REVIEW WITH EDG, SEPA THRESHOLD DETERMINATION",II,Y,CANCELLED
5382,,SHORT PLAT,II,N,Permit Finaled
5383,,SHORT PLAT,II,N,CANCELLED
5384,,SHORT PLAT,II,N,Permit Finaled
5385,,SPECIAL EXCEPTION,II,N,Permit Closed
5386,,SHORT PLAT,II,N,Permit Finaled
5387,,SHORT PLAT,II,N,Permit Finaled
5388,,LOT BOUNDARY ADJUSTMENT PLAT,I,N,Permit Finaled
5389,,SHORT PLAT,II,N,Permit Finaled
5390,,SHORT PLAT,II,N,Permit Closed
5391,,SHORT PLAT,II,N,Permit Finaled
5392,,SEPA THRESHOLD DETERMINATION,II,N,CANCELLED
5393,,SEPA THRESHOLD DETERMINATION,II,N,CANCELLED
5394,,"COUNCIL ACTION, SEPA THRESHOLD DETERMINATION",IV,N,Permit Closed
5395,,"DESIGN REVIEW WITH EDG, SEPA THRESHOLD DETERMINATION",II,Y,Permit Issued
5396,,LOT BOUNDARY ADJUSTMENT PLAT,I,N,CANCELLED
5397,,"DESIGN REVIEW WITH EDG, SEPA THRESHOLD DETERMINATION",II,Y,Permit Issued
5398,,SHORT PLAT,II,N,CANCELLED
5399,,SHORT PLAT,II,N,Permit Finaled
5400,,SHORT PLAT,II,N,CANCELLED
5401,,"COUNCIL ACTION, SEPA THRESHOLD DETERMINATION",IV,N,Permit Closed
5402,,"SEPA THRESHOLD DETERMINATION, SHORT PLAT",II,N,Permit Finaled
5403,,"DESIGN REVIEW WITH EDG, SEPA THRESHOLD DETERMINATION",II,Y,Permit Closed
5404,,SHORT PLAT,II,N,Permit Finaled
5405,,SHORT PLAT,II,N,Permit Finaled
5406,,SEPA THRESHOLD DETERMINATION,II,N,Permit Closed
5407,,SEPA THRESHOLD DETERMINATION,II,N,Permit Closed
5408,,SHORT PLAT,II,N,Permit Finaled
5409,,,II,,
5410,,SHORT PLAT,II,N,Permit Finaled
5411,,SHORT PLAT,II,N,Permit Finaled
5412,,SHORT PLAT,II,N,Permit Finaled
5413,,SHORT PLAT,II,N,Permit Finaled
5414,,"SEPA THRESHOLD DETERMINATION, SHORELINE DEVELOPMENT, TEMPORARY LAND USE",II,N,Permit Issued
5415,,"DESIGN REVIEW WITH EDG, SEPA THRESHOLD DETERMINATION",II,Y,CANCELLED
5416,,SIDEWALK CAFE,I,N,Permit Closed
5417,,"ENVIRONMENTALLY CRITICAL AREA, SEPA THRESHOLD DETERMINATION",II,N,Permit Issued
5418,,LOT BOUNDARY ADJUSTMENT PLAT,I,N,Permit Finaled
5419,,LOT BOUNDARY ADJUSTMENT PLAT,I,N,Permit Finaled
5420,,"SEPA THRESHOLD DETERMINATION, SHORT PLAT",II,N,Permit Finaled
5421,,SEPA THRESHOLD DETERMINATION,II,N,Permit Closed
5422,,SEPA THRESHOLD DETERMINATION,II,N,Permit Closed
5423,,LOT BOUNDARY ADJUSTMENT PLAT,I,N,Permit Finaled
5424,,LOT BOUNDARY ADJUSTMENT PLAT,I,N,Permit Finaled
5425,,SHORT PLAT,II,N,CANCELLED
5426,,SEPA THRESHOLD DETERMINATION,II,N,Permit Issued
5427,,SHORT PLAT,II,N,Permit Finaled
5428,,LOT BOUNDARY ADJUSTMENT PLAT,I,N,Permit Finaled
5429,,"DESIGN REVIEW WITH EDG, SEPA THRESHOLD DETERMINATION",II,Y,Permit Issued
5430,,"ADMINISTRATIVE CONDITIONAL USE, SEPA THRESHOLD DETERMINATION",II,N,Permit Issued
5431,,"DESIGN REVIEW WITH EDG, SEPA THRESHOLD DETERMINATION",II,Y,Permit Issued
5432,,SHORT PLAT,II,N,Permit Finaled
5433,,SHORT PLAT,II,N,Permit Finaled
5434,,ADMIN DESIGN REVIEW WO/EDG,II,,
5435,,SHORT PLAT,II,N,Permit Finaled
5436,,"ADMINISTRATIVE CONDITIONAL USE, DESIGN REVIEW WITH EDG, SEPA THRESHOLD DETERMINATION",II,Y,Permit Issued
5437,,LOT BOUNDARY ADJUSTMENT PLAT,I,N,Permit Finaled
5438,,SEPA THRESHOLD DETERMINATION,II,N,CANCELLED
5439,,"ADMINISTRATIVE CONDITIONAL USE, SEPA THRESHOLD DETERMINATION",II,N,Permit Issued
5440,,SHORT PLAT,II,N,Permit Finaled
5441,,SHORT PLAT,II,N,Permit Finaled
5442,,"ADMIN DESIGN REVIEW WITH EDG, DESIGN REVIEW WITH EDG, SEPA THRESHOLD DETERMINATION",II,Y,CANCELLED
5443,,"SEPA THRESHOLD DETERMINATION, SHORT PLAT",II,N,CANCELLED
5444,,SHORT PLAT,II,N,Permit Finaled
5445,,"SEPA THRESHOLD DETERMINATION, SHORT PLAT",II,N,Permit Finaled
5446,,SHORT PLAT,II,N,Permit Finaled
5447,,"DESIGN REVIEW WITH EDG, SEPA THRESHOLD DETERMINATION",II,Y,CANCELLED
5448,,"DESIGN REVIEW WITH EDG, SEPA THRESHOLD DETERMINATION",II,Y,CANCELLED
5449,,"DESIGN REVIEW, SEPA THRESHOLD DETERMINATION",II,Y,Permit Closed
5450,,"DESIGN REVIEW, SEPA THRESHOLD DETERMINATION",II,Y,Permit Closed
5451,,"DESIGN REVIEW WITH EDG, SEPA THRESHOLD DETERMINATION",II,Y,Permit Issued
5452,,"DESIGN REVIEW WITH EDG, SEPA THRESHOLD DETERMINATION",II,Y,CANCELLED
5453,,LOT BOUNDARY ADJUSTMENT PLAT,I,N,Permit Finaled
5454,,SHORT PLAT,II,N,Permit Finaled
5455,,SEPA THRESHOLD DETERMINATION,II,N,Permit Issued
5456,,"DESIGN REVIEW WITH EDG, SEPA THRESHOLD DETERMINATION",II,Y,Permit Closed
5457,,SHORT PLAT,II,N,Permit Finaled
5458,,SHORT PLAT,II,N,Permit Finaled
5459,,"DESIGN REVIEW WITH EDG, ENVIRONMENTALLY CRITICAL AREA",II,,
5460,,SHORT PLAT,II,N,Permit Finaled
5461,,SEPA THRESHOLD DETERMINATION,II,N,Permit Closed
5462,,"DESIGN REVIEW WITH EDG, SEPA THRESHOLD DETERMINATION",II,Y,Permit Closed
5463,,LOT BOUNDARY ADJUSTMENT PLAT,I,N,Permit Finaled
5464,,LOT BOUNDARY ADJUSTMENT PLAT,I,N,Permit Finaled
5465,,"COUNCIL ACTION, SEPA THRESHOLD DETERMINATION",IV,N,Permit Closed
5466,,"SEPA THRESHOLD DETERMINATION, SHORT PLAT",II,N,Permit Finaled
5467,,"DESIGN REVIEW WITH EDG, SEPA THRESHOLD DETERMINATION",II,Y,Permit Issued
5468,,LOT BOUNDARY ADJUSTMENT PLAT,I,N,Permit Finaled
5469,,SHORT PLAT,II,N,Permit Finaled
5470,,VARIANCE,II,N,Permit Closed
5471,,"SEPA THRESHOLD DETERMINATION, SHORELINE DEVELOPMENT",II,N,CANCELLED
5472,,SHORT PLAT,II,N,Permit Finaled
5473,,SEPA THRESHOLD DETERMINATION,II,N,Permit Closed
5474,,"SEPA THRESHOLD DETERMINATION, SHORT PLAT",II,N,Permit Finaled
5475,,SHORT PLAT,II,N,CANCELLED
5476,,SHORT PLAT,II,N,CANCELLED
5477,,SHORT PLAT,II,N,Permit Finaled
5478,,SEPA THRESHOLD DETERMINATION,II,N,Permit Closed
5479,,SEPA THRESHOLD DETERMINATION,II,N,CANCELLED
5480,,SIDEWALK CAFE,I,N,Permit Closed
5481,,LOT BOUNDARY ADJUSTMENT PLAT,I,N,Permit Finaled
5482,,"SEPA THRESHOLD DETERMINATION, TEMPORARY LAND USE",II,N,Permit Closed
5483,,"SEPA THRESHOLD DETERMINATION, TEMPORARY LAND USE",II,N,Permit Issued
5484,,SHORT PLAT,II,N,Permit Finaled
5485,,"SEPA THRESHOLD DETERMINATION, TEMPORARY LAND USE",II,N,Permit Closed
5486,,SHORT PLAT,II,N,Permit Finaled
5487,,"DESIGN REVIEW WITH EDG, SEPA THRESHOLD DETERMINATION",II,Y,Permit Closed
5488,,SHORT PLAT,II,N,Permit Finaled
5489,,SHORT PLAT,II,N,Permit Finaled
5490,,SHORT PLAT,II,N,Permit Finaled
5491,,SHORT PLAT,II,N,Permit Finaled
5492,,SEPA THRESHOLD DETERMINATION,II,N,Permit Closed
5493,,SHORT PLAT,II,N,Permit Finaled
5494,,SEPA THRESHOLD DETERMINATION,II,N,Permit Closed
5495,,"DESIGN REVIEW WITH EDG, SEPA THRESHOLD DETERMINATION",II,Y,Permit Issued
5496,,LOT BOUNDARY ADJUSTMENT PLAT,I,N,Permit Finaled
5497,,SHORT PLAT,II,N,Permit Finaled
5498,,"SEPA THRESHOLD DETERMINATION, SHORELINE CONDITIONAL USE, SHORELINE DEVELOPMENT",II,N,CANCELLED
5499,,"ADMINISTRATIVE CONDITIONAL USE, DESIGN REVIEW WITH EDG, SEPA THRESHOLD DETERMINATION, SHORELINE DEVELOPMENT",II,Y,CANCELLED
5500,,LOT BOUNDARY ADJUSTMENT PLAT,I,N,Permit Finaled
5501,,SHORT PLAT,II,N,Permit Finaled
5502,,SPECIAL EXCEPTION,II,N,Permit Closed
5503,,SHORT PLAT,II,N,Permit Finaled
5504,,LOT BOUNDARY ADJUSTMENT PLAT,I,N,CANCELLED
5505,,LOT BOUNDARY ADJUSTMENT PLAT,I,N,CANCELLED
5506,,SHORT PLAT,II,N,Permit Finaled
5507,,"DESIGN REVIEW WITH EDG, SEPA THRESHOLD DETERMINATION",II,Y,CANCELLED
5508,,LOT BOUNDARY ADJUSTMENT PLAT,I,N,Permit Finaled
5509,,SHORT PLAT,II,N,Permit Finaled
5510,,SHORT PLAT,II,N,Permit Finaled
5511,,SEPA THRESHOLD DETERMINATION,II,N,Permit Closed
5512,,"DESIGN REVIEW WITH EDG, SEPA THRESHOLD DETERMINATION",II,Y,Permit Issued
5513,,"DESIGN REVIEW WITH EDG, SEPA THRESHOLD DETERMINATION",II,Y,Permit Issued
5514,,LOT BOUNDARY ADJUSTMENT PLAT,I,N,Permit Finaled
5515,,LOT BOUNDARY ADJUSTMENT PLAT,I,N,CANCELLED
5516,,SHORT PLAT,II,N,Permit Finaled
5517,,SHORT PLAT,II,N,Permit Finaled
5518,,SEPA THRESHOLD DETERMINATION,II,N,Permit Closed
5519,,"ADMINISTRATIVE CONDITIONAL USE, SEPA THRESHOLD DETERMINATION",II,N,Permit Closed
5520,,SHORT PLAT,II,N,Permit Finaled
5521,,SHORT PLAT,II,N,Permit Finaled
5522,,SHORT PLAT,II,N,Permit Finaled
5523,,SHORT PLAT,II,N,Permit Finaled
5524,,SHORT PLAT,II,N,Permit Closed
5525,,SHORT PLAT,II,N,Permit Finaled
5526,,SHORT PLAT,II,N,Permit Finaled
5527,,ADMINISTRATIVE CONDITIONAL USE,II,N,Permit Issued
5528,,SEPA THRESHOLD DETERMINATION,II,N,Permit Closed
5529,,SHORT PLAT,II,N,Permit Finaled
5530,,SEPA THRESHOLD DETERMINATION,II,N,Permit Closed
5531,,SHORT PLAT,II,N,Permit Finaled
5532,,SHORT PLAT,II,N,Permit Finaled
5533,,ADMINISTRATIVE CONDITIONAL USE,II,N,Permit Issued
5534,,"SEPA THRESHOLD DETERMINATION, SHORELINE DEVELOPMENT",II,N,Permit Closed
5535,,SHORT PLAT,II,N,Permit Finaled
5536,,"OTHER LAND USE ACTIONS, SEPA THRESHOLD DETERMINATION",II,N,Permit Closed
5537,,SHORT PLAT,II,N,Permit Finaled
5538,,SHORT PLAT,II,N,Permit Closed
5539,,SEPA THRESHOLD DETERMINATION,II,N,Permit Issued
5540,,"SEPA THRESHOLD DETERMINATION, SHORT PLAT",II,N,Permit Finaled
5541,,SHORT PLAT,II,N,Permit Finaled
5542,,SHORT PLAT,II,N,Permit Closed
5543,,SHORT PLAT,II,N,Permit Finaled
5544,,SHORT PLAT,II,N,Permit Finaled
5545,,"DESIGN REVIEW, SEPA THRESHOLD DETERMINATION",II,Y,Permit Closed
5546,,"DESIGN REVIEW WITH EDG, ENVIRONMENTALLY CRITICAL AREA",II,,
5547,,LOT BOUNDARY ADJUSTMENT PLAT,I,N,Permit Finaled
5548,,SHORT PLAT,II,N,Permit Closed
5549,,SHORT PLAT,II,N,Permit Finaled
5550,,SHORT PLAT,II,N,Permit Finaled
5551,,SHORT PLAT,II,N,Permit Finaled
5552,,"SEPA THRESHOLD DETERMINATION, SHORELINE DEVELOPMENT",II,N,Permit Issued
5553,,SEPA THRESHOLD DETERMINATION,II,N,Permit Issued
5554,,SEPA THRESHOLD DETERMINATION,II,N,CANCELLED
5555,,OTHER LAND USE ACTIONS,II,N,Permit Finaled
5556,,SHORT PLAT,II,N,Permit Finaled
5557,,SHORT PLAT,II,N,CANCELLED
5558,,SHORT PLAT,II,N,CANCELLED
5559,,SHORT PLAT,II,N,CANCELLED
5560,,ADMINISTRATIVE CONDITIONAL USE,II,N,Permit Closed
5561,,"DESIGN REVIEW, SEPA THRESHOLD DETERMINATION",II,Y,Permit Closed
5562,,SEPA THRESHOLD DETERMINATION,II,N,Permit Closed
5563,,SEPA THRESHOLD DETERMINATION,II,N,CANCELLED
5564,,SHORT PLAT,II,N,Permit Finaled
5565,,"DESIGN REVIEW WITH EDG, SEPA THRESHOLD DETERMINATION",II,Y,CANCELLED
5566,,SHORT PLAT,II,N,Permit Finaled
5567,,LOT BOUNDARY ADJUSTMENT PLAT,I,N,CANCELLED
5568,,"SEPA THRESHOLD DETERMINATION, SHORELINE CONDITIONAL USE, SHORELINE DEVELOPMENT",II,N,Permit Closed
5569,,SEPA THRESHOLD DETERMINATION,II,N,CANCELLED
5570,,SHORT PLAT,II,N,Permit Finaled
5571,,LOT BOUNDARY ADJUSTMENT PLAT,I,N,Permit Finaled
5572,,SEPA THRESHOLD DETERMINATION,II,N,Permit Closed
5573,,SHORT PLAT,II,N,Permit Finaled
5574,,SHORT PLAT,II,N,Permit Finaled
5575,,LOT BOUNDARY ADJUSTMENT PLAT,I,N,Permit Finaled
5576,,SHORT PLAT,II,N,Permit Finaled
5577,,SHORT PLAT,II,N,CANCELLED
5578,,SEPA THRESHOLD DETERMINATION,II,N,Permit Issued
5579,,SEPA THRESHOLD DETERMINATION,II,N,CANCELLED
5580,,SEPA THRESHOLD DETERMINATION,II,N,Permit Issued
5581,,SHORT PLAT,II,N,Permit Finaled
5582,,SEPA THRESHOLD DETERMINATION,II,N,Permit Issued
5583,,"COUNCIL ACTION, SEPA THRESHOLD DETERMINATION",IV,N,Permit Closed
5584,,"SEPA THRESHOLD DETERMINATION, SHORELINE DEVELOPMENT",II,N,Permit Issued
5585,,SEPA THRESHOLD DETERMINATION,II,N,Permit Issued
5586,,SHORT PLAT,II,N,Permit Finaled
5587,,ADMINISTRATIVE CONDITIONAL USE,II,N,CANCELLED
5588,,SHORT PLAT,II,N,Permit Finaled
5589,,SHORT PLAT,II,N,Permit Finaled
5590,,SHORT PLAT,II,N,Permit Finaled
5591,,SEPA THRESHOLD DETERMINATION,II,N,Permit Issued
5592,,SEPA THRESHOLD DETERMINATION,II,N,CANCELLED
5593,,SEPA THRESHOLD DETERMINATION,II,N,Permit Issued
5594,,"DESIGN REVIEW WITH EDG, SEPA THRESHOLD DETERMINATION",II,Y,CANCELLED
5595,,SHORT PLAT,II,N,Permit Finaled
5596,,SHORT PLAT,II,N,Permit Finaled
5597,,SHORT PLAT,II,N,Permit Finaled
5598,,SHORT PLAT,II,N,Permit Finaled
5599,,SHORT PLAT,II,N,Permit Finaled
